Code,Title,Time,Location,Professor,Size,Days
CMPSC     4,Computer Science Boot Camp,3:30pm - 4:45pm,WEBB 1100,KOC C K,89 / 90,M W
CMPSC     8,Introduction to Computer Science,9:30 am - 10:45am,CHEM 1171,MATNI Z A,110 / 105,M W
CMPSC     8,Introduction to Computer Science,2:00pm - 3:15pm,CHEM 1171,MIRZA D,113 / 105,T R
CMPSC    16,Problem Solving with Computers I,6:30pm - 7:45pm,HFH  1104,KHARITONOVA Y,110 / 110,T R
CMPSC    16,Problem Solving with Computers I,3:30pm - 4:45pm,PSYCH1924,KHARITONOVA Y,114 / 105,T R
CMPSC    24,Problem Solving with Computers II,2:00pm - 3:15pm,PSYCH1924,MIRZA D,112 / 105,M W
CMPSC    32,Object Oriented Design and Implementation,9:30 am - 10:45am,PSYCH1924,WANG R K,84 / 105,M W
CMPSC    40,Foundations of Computer Science,2:00pm - 3:15pm,PSYCH1924,SU J,94 / 90,T R
CMPSC    48,Computer Science Project,2:00pm - 3:15pm,PHELP3526,CONRAD P T,78 / 78,M W
CMPSC    64,Computer Organization and Logic Design,3:30pm - 4:45pm,GIRV 2128,MATNI Z A,70 / 70,T R
CMPSC   111,Introduction to Computational Science,9:30 am - 10:45am,PHELP3515,GILBERT J R,83 / 84,M W
CMPSC   130A,Data Structures and Algorithms I,12:30pm - 1:45pm,BUCHN1920,SURI S,121 / 120,T R
CMPSC   130B,Data Structures and Algorithms II,11:00am - 12:15pm,PSYCH1902,LOKSHTANOV D,73 / 81,M W
CMPSC   140,Parallel Scientific Computing,12:30pm - 1:45pm,GIRV 2128,YANG T,62 / 70,M W
CMPSC   154,Computer Architecture,12:30pm - 1:45pm,CHEM 1171,KOC C K,112 / 105,M W
CMPSC   165A,Artificial Intelligence,12:30pm - 1:45pm,GIRV 2128,WANG YUXIANG,68 / 70,T R
CMPSC   165B,Machine Learning,11:00am - 12:15pm,BRDA 1640,DING YUFEI,80 / 85,M W
CMPSC   170,Operating Systems,2:00pm - 3:15pm,CHEM 1171,AGRAWAL D,89 / 90,M W
CMPSC   170,Operating Systems,11:00am - 12:15pm,PHELP2510,GUPTA T,26 / 35,T R
CMPSC   176B,Network Computing,2:00pm - 3:15pm,PHELP3515,ALMEROTH K C,81 / 80,M W
CMPSC   181,Introduction to Computer Vision,3:30pm - 4:45pm,BRDA 1640,WANG Y F,38 / 40,M W
CMPSC   190C,Special Topics in Computer Science: Programming Languages and Software Engineering,9:00 am - 10:50am,PHELP2510,KRINTZ C,8 / 10,M W
