Code,Title,Time,Location,Professor,Size,Days,Lecture
C LIT    30B,Major Works in European Literature,9:30 am - 10:45am,MUSICLLCH,MACARTHUR E J,299 / 300,T R,['y']
C LIT    30B,Major Works in European Literature,9:00 am - 9:50 am,387  1011,JAN K L,25 / 25,F,['n']
C LIT    30B,Major Works in European Literature,9:00 am - 9:50 am,387  1015,TUDISCO J J,27 / 25,F,['n']
C LIT    30B,Major Works in European Literature,4:00pm - 4:50pm,PHELP3523,KEYNEJAD N P,25 / 25,R,['n']
C LIT    30B,Major Works in European Literature,4:00pm - 4:50pm,GIRV 1119,JAN K L,25 / 25,R,['n']
C LIT    30B,Major Works in European Literature,10:00am - 10:50am,PHELP1508,KEYNEJAD N P,25 / 25,F,['n']
C LIT    30B,Major Works in European Literature,10:00am - 10:50am,HSSB 2251,LOVETT D W,23 / 25,F,['n']
C LIT    30B,Major Works in European Literature,11:00am - 11:50am,387  1015,TYBJERG D M,25 / 25,F,['n']
C LIT    30B,Major Works in European Literature,11:00am - 11:50am,387  1011,LMAIFI M,25 / 25,F,['n']
C LIT    30B,Major Works in European Literature,12:00pm - 12:50pm,PHELP1508,KEYNEJAD N P,25 / 25,F,['n']
C LIT    30B,Major Works in European Literature,12:00pm - 12:50pm,HSSB 1227,LMAIFI M,25 / 25,F,['n']
C LIT    30B,Major Works in European Literature,6:00pm - 6:50pm,HSSB 1232,JAN K L,24 / 25,R,['n']
C LIT    30B,Major Works in European Literature,6:00pm - 6:50pm,HSSB 1231,ZAZZARINO M,25 / 25,R,['n']
C LIT    30H,Honors Section,11:00am - 11:50am,GIRV 2135,MACARTHUR E J,14 / 15,R,['n']
C LIT    35,The Making of the Modern World,11:00am - 12:15pm,BUCHN1930,VAGT C,51 / 50,T R,['y']
C LIT    35,The Making of the Modern World,6:00pm - 6:50pm,SH   1609,FESTA E,25 / 25,W,['n']
C LIT    35,The Making of the Modern World,7:00pm - 7:50pm,HSSB 1233,FESTA E,26 / 25,W,['n']
C LIT    36,Global Humanities,12:30pm - 1:45pm,CHEM 1171,HOLL U,100 / 100,T R,['y']
C LIT    36,Global Humanities,12:00pm - 12:50pm,GIRV 1116,TAHA R,25 / 25,F,['n']
C LIT    36,Global Humanities,12:00pm - 12:50pm,387  1011,HAMAD S,25 / 25,F,['n']
C LIT    36,Global Humanities,10:00am - 10:50am,HSSB 1237,HAMAD S,25 / 25,F,['n']
C LIT    36,Global Humanities,11:00am - 11:50am,GIRV 2108,TAHA R,25 / 25,F,['n']
C LIT   100,Introduction to Comparative Literature,3:30pm - 4:45pm,ARTS 1349,NESCI C,49 / 50,T R,['y']
C LIT   101,Introduction to Literary and Critical Theory,9:30 am - 10:45am,PHELP1445,MAGEARU A,27 / 30,T R,['y']
C LIT   126,Comparative Black Literatures,8:00 am - 9:15 am,ED   1213,AKUDINOBI J,30 / 30,T R,['y']
C LIT   128A,Children's Literature,5:00pm - 6:15pm,HSSB 1173,RALEIGH T C,80 / 75,T R,['y']
C LIT   170,The Art of Translation,9:30 am - 10:45am,PHELP1444,MIGLIO V G,23 / 20,M W,['y']
C LIT   171,Post-Colonial Cultures,6:30pm - 7:45pm,BUCHN1910,PRIETO E,66 / 65,T R,['y']
C LIT   179C,Mediatechnology,2:00pm - 3:15pm,WEBB 1100,KITTLER W D,47 / 46,M W,['y']
C LIT   186LS,Literatures of the Sea,5:00pm - 6:15pm,HSSB 2201,T B A,10 / 12,M W,['y']
C LIT   186PP,Poetry & Community Practice,11:00am - 12:15pm,GIRV 2110,STARR B J,17 / 16,T R,['y']
C LIT   189,Narrative in the First Person,2:00pm - 3:15pm,HSSB 1206,LARUE R J,24 / 26,M W,['y']
C LIT   192CA,Cognitive Approaches to World Literature,2:00pm - 3:15pm,HSSB 1173,JULLIEN D M,29 / 35,M W,['y']
C LIT   198,Junior/Senior Seminar,11:00am - 12:15pm,GIRV 1106,HECHT R,15 / 15,M W,['y']
C LIT   198H,Senior Honors Seminar,3:00pm - 5:50pm,PHELP6206C,HOLL U,1 / 2,T,['n']
