Code,Title,Time,Location,Professor,Size,Days,Lecture
CHEM      1A,General Chemistry,12:00pm - 12:50pm,CHEM 1179,JOSEPH C A,375 / 354,M W F,['y']
CHEM      1A,General Chemistry,3:00pm - 3:50pm,CHEM 1179,JOSEPH C A,359 / 354,M W F,['y']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2637,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2653,VAN KOPPEN P,22 / 24,T,['n']
CHEM      1AL,General Chemistry Laboratory,12:00pm - 2:30pm,PSB-N2637,VAN KOPPEN P,21 / 24,T,['n']
CHEM      1AL,General Chemistry Laboratory,3:00pm - 5:30pm,PSB-N2637,VAN KOPPEN P,23 / 24,T,['n']
CHEM      1AL,General Chemistry Laboratory,6:00pm - 8:30pm,PSB-N2637,VAN KOPPEN P,23 / 24,T,['n']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2637,VAN KOPPEN P,22 / 24,W,['n']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2653,VAN KOPPEN P,23 / 24,W,['n']
CHEM      1AL,General Chemistry Laboratory,12:00pm - 2:30pm,PSB-N2637,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1AL,General Chemistry Laboratory,3:00pm - 5:30pm,PSB-N2637,VAN KOPPEN P,21 / 24,W,['n']
CHEM      1AL,General Chemistry Laboratory,6:00pm - 8:30pm,PSB-N2637,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2637,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2653,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1AL,General Chemistry Laboratory,12:00pm - 2:30pm,PSB-N2637,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1AL,General Chemistry Laboratory,3:00pm - 5:30pm,PSB-N2637,VAN KOPPEN P,22 / 24,R,['n']
CHEM      1AL,General Chemistry Laboratory,6:00pm - 8:30pm,PSB-N2637,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1AL,General Chemistry Laboratory,9:00 am - 11:30am,PSB-N2637,VAN KOPPEN P,0 / 22,F,['n']
CHEM      1AL,General Chemistry Laboratory,12:00pm - 2:30pm,PSB-N2637,VAN KOPPEN P,0 / 22,F,['n']
CHEM      1AL,General Chemistry Laboratory,12:00pm - 2:30pm,PSB-N2664,VAN KOPPEN P,0 / 22,F,['n']
CHEM      1B,General Chemistry,8:00 am - 8:50 am,CHEM 1179,FELDWINN D L,182 / 320,M W F,['y']
CHEM      1B,General Chemistry,11:00am - 11:50am,CHEM 1179,KUNKEL B M,321 / 340,M W F,['y']
CHEM      1B,General Chemistry,4:00pm - 4:50pm,CHEM 1179,PRICE S P,330 / 330,M W F,['y']
CHEM      1B,General Chemistry,5:00pm - 5:50pm,CHEM 1179,PRICE S P,330 / 330,M W F,['y']
CHEM      1B,General Chemistry,10:00am - 10:50am,CHEM 1179,KUNKEL B M,340 / 340,M W F,['y']
CHEM      1B,General Chemistry,6:00pm - 6:50pm,CHEM 1179,BERNT C M,187 / 320,M W F,['y']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2637,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2638,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2653,VAN KOPPEN P,23 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2654,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2666,VAN DE WATER,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2637,VAN KOPPEN P,23 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2638,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2653,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2654,VAN KOPPEN P,20 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2664,VAN KOPPEN P,23 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2666,VAN KOPPEN P,24 / 24,M,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2638,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2654,VAN KOPPEN P,23 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2664,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2666,VAN KOPPEN P,23 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2638,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2653,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2654,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2666,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2638,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2653,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2654,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2666,VAN KOPPEN P,24 / 24,T,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2654,VAN KOPPEN P,18 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2664,VAN KOPPEN P,18 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2638,VAN KOPPEN P,17 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2638,VAN KOPPEN P,23 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2653,VAN KOPPEN P,23 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2654,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2666,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2638,VAN KOPPEN P,23 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2653,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2654,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,W,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2638,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2654,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2638,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2653,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2654,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2666,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2638,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2653,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2654,VAN KOPPEN P,23 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,6:00pm - 9:50pm,PSB-N2664,VAN KOPPEN P,24 / 24,R,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2653,VAN KOPPEN P,21 / 24,F,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2654,VAN KOPPEN P,23 / 24,F,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2664,VAN KOPPEN P,0 / 22,F,['n']
CHEM      1BL,General Chemistry Laboratory,8:00 am - 11:50am,PSB-N2638,VAN KOPPEN P,22 / 24,F,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2638,VAN KOPPEN P,0 / 22,F,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2653,VAN KOPPEN P,0 / 22,F,['n']
CHEM      1BL,General Chemistry Laboratory,1:00pm - 4:50pm,PSB-N2654,VAN KOPPEN P,0 / 22,F,['n']
CHEM      2B,General Chemistry (Honors),10:00am - 10:50am,NH   1105,MOSKOVITS M,64 / 60,M W F,['y']
CHEM      2BC,General Chemistry Laboratory (Honors),6:00pm - 9:50pm,PSB-N2666,MOSKOVITS M,11 / 16,W,['n']
CHEM      2BC,General Chemistry Laboratory (Honors),6:00pm - 9:50pm,PSB-N2666,MOSKOVITS M,10 / 16,R,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,11:00am - 11:50am,BUCHN1910,GAINER M J,287 / 288,M W,['y']
CHEM      6AL,Laboratory Methods of Organic Chemistry,1:00pm - 4:50pm,PSB-N1670,GAINER M J,18 / 18,T,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,6:00pm - 9:50pm,PSB-N1652,GAINER M J,18 / 18,T,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,6:00pm - 9:50pm,PSB-N1662,GAINER M J,18 / 18,T,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,6:00pm - 9:50pm,PSB-N1670,GAINER M J,18 / 18,T,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,1:00pm - 4:50pm,PSB-N1670,GAINER M J,18 / 18,R,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,6:00pm - 9:50pm,PSB-N1652,GAINER M J,18 / 18,R,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,6:00pm - 9:50pm,PSB-N1662,GAINER M J,18 / 18,R,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,6:00pm - 9:50pm,PSB-N1670,GAINER M J,18 / 18,R,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1652,GAINER M J,18 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1662,GAINER M J,18 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1670,GAINER M J,18 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,1:00pm - 4:50pm,PSB-N1652,GAINER M J,18 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,1:00pm - 4:50pm,PSB-N1662,GAINER M J,17 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,1:00pm - 4:50pm,PSB-N1670,GAINER M J,18 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,5:00pm - 8:50pm,PSB-N1652,GAINER M J,18 / 18,F,['n']
CHEM      6AL,Laboratory Methods of Organic Chemistry,5:00pm - 8:50pm,PSB-N1662,GAINER M J,18 / 18,F,['n']
CHEM      6BL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1652,GAINER M J,0 / 18,M W,['y']
CHEM      6BL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1662,GAINER M J,0 / 18,M W,['y']
CHEM      6BL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1670,GAINER M J,0 / 18,M W,['y']
CHEM      6BL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1652,GAINER M J,20 / 20,T R,['y']
CHEM      6BL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1662,GAINER M J,20 / 20,T R,['y']
CHEM      6BL,Laboratory Methods of Organic Chemistry,8:00 am - 11:50am,PSB-N1670,GAINER M J,20 / 20,T R,['y']
