Code,Title,Time,Location,Professor,Size,Days,Lecture
CMPSC     4,Computer Science Boot Camp,3:30pm - 4:45pm,WEBB 1100,KOC C K,89 / 90,M W,['y']
CMPSC     4,Computer Science Boot Camp,9:00 am - 9:50 am,PHELP3525,Messages:,30 / 30,F,['n']
CMPSC     4,Computer Science Boot Camp,10:00am - 10:50am,PHELP3525,Messages:,30 / 30,F,['n']
CMPSC     4,Computer Science Boot Camp,11:00am - 11:50am,PHELP3525,Messages:,29 / 30,F,['n']
CMPSC     8,Introduction to Computer Science,9:30 am - 10:45am,CHEM 1171,MATNI Z A,110 / 105,M W,['y']
CMPSC     8,Introduction to Computer Science,1:00pm - 1:50pm,PHELP3525,Messages:,30 / 28,T,['n']
CMPSC     8,Introduction to Computer Science,2:00pm - 2:50pm,PHELP3525,Messages:,27 / 28,T,['n']
CMPSC     8,Introduction to Computer Science,3:00pm - 3:50pm,PHELP3525,Messages:,24 / 28,T,['n']
CMPSC     8,Introduction to Computer Science,4:00pm - 4:50pm,PHELP3525,Messages:,29 / 29,T,['n']
CMPSC     8,Introduction to Computer Science,2:00pm - 3:15pm,CHEM 1171,MIRZA D,113 / 105,T R,['y']
CMPSC     8,Introduction to Computer Science,9:00 am - 9:50 am,PHELP3525,Messages:,28 / 28,W,['n']
CMPSC     8,Introduction to Computer Science,10:00am - 10:50am,PHELP3525,Messages:,28 / 28,W,['n']
CMPSC     8,Introduction to Computer Science,11:00am - 11:50am,PHELP3525,Messages:,28 / 28,W,['n']
CMPSC     8,Introduction to Computer Science,12:00pm - 12:50pm,PHELP3525,Messages:,29 / 29,W,['n']
CMPSC    16,Problem Solving with Computers I,6:30pm - 7:45pm,HFH  1104,KHARITONOVA Y,110 / 110,T R,['y']
CMPSC    16,Problem Solving with Computers I,1:00pm - 1:50pm,PHELP3525,Messages:,29 / 29,W,['n']
CMPSC    16,Problem Solving with Computers I,2:00pm - 2:50pm,PHELP3525,Messages:,28 / 28,W,['n']
CMPSC    16,Problem Solving with Computers I,3:00pm - 3:50pm,PHELP3525,Messages:,28 / 28,W,['n']
CMPSC    16,Problem Solving with Computers I,4:00pm - 4:50pm,PHELP3525,Messages:,25 / 28,W,['n']
CMPSC    16,Problem Solving with Computers I,3:30pm - 4:45pm,PSYCH1924,KHARITONOVA Y,114 / 105,T R,['y']
