Code,Title,Time,Location,Professor,Size,Days,Lecture
CNCSP    97,Special Topics in Applied Psychology,2:00pm - 3:50pm,ED   1213,JIMERSON S R,3 / 10,W,['n']
CNCSP    97,Special Topics in Applied Psychology,4:00pm - 5:50pm,ED   1213,JIMERSON S R,2 / 10,W,['n']
CNCSP    97,Special Topics in Applied Psychology,4:00pm - 5:50pm,ED   4205,DOWDY E T,0 / 10,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",3:30pm - 4:45pm,EMBARHALL,VERNON T W,239 / 240,M W,['y']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",5:00pm - 5:50pm,ED   1207,VERNON T W,20 / 20,W,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",6:00pm - 6:50pm,ED   1207,VERNON T W,21 / 20,W,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",9:00 am - 9:50 am,ED   1201,VERNON T W,20 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",10:00am - 10:50am,ED   1201,VERNON T W,20 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",11:00am - 11:50am,ED   1201,VERNON T W,21 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",12:00pm - 12:50pm,ED   1201,VERNON T W,20 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",1:00pm - 1:50pm,ED   1201,VERNON T W,20 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",2:00pm - 2:50pm,ED   1201,VERNON T W,20 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",3:00pm - 3:50pm,ED   1201,VERNON T W,19 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",4:00pm - 4:50pm,ED   1201,VERNON T W,21 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",5:00pm - 5:50pm,ED   1201,VERNON T W,20 / 20,R,['n']
CNCSP   101,"Introduction to Helping Skills: Theory, Research and   Practice",6:00pm - 6:50pm,ED   1201,VERNON T W,17 / 20,R,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,2:00pm - 3:15pm,BUCHN1910,MORGAN M L,227 / 240,T R,['y']
CNCSP   110,Introduction to Educational and Vocational Guidance,4:00pm - 4:50pm,ED   1203,MORGAN M L,20 / 20,T,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,5:00pm - 5:50pm,ED   1203,MORGAN M L,20 / 20,T,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,6:00pm - 6:50pm,ED   1203,MORGAN M L,20 / 20,T,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,7:00pm - 7:50pm,ED   1203,MORGAN M L,20 / 20,T,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,6:00pm - 6:50pm,ED   1207,MORGAN M L,20 / 20,T,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,7:00pm - 7:50pm,ED   1207,MORGAN M L,20 / 20,T,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,4:00pm - 4:50pm,ED   1203,MORGAN M L,20 / 20,R,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,5:00pm - 5:50pm,ED   1203,MORGAN M L,20 / 20,R,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,6:00pm - 6:50pm,ED   1203,MORGAN M L,20 / 20,R,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,7:00pm - 7:50pm,ED   1203,MORGAN M L,18 / 20,R,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,6:00pm - 6:50pm,ED   1207,MORGAN M L,20 / 20,R,['n']
CNCSP   110,Introduction to Educational and Vocational Guidance,7:00pm - 7:50pm,ED   1207,MORGAN M L,9 / 20,R,['n']
CNCSP   114,Psychology of Gender,2:00pm - 3:15pm,EMBARHALL,FELIX E D,194 / 240,T R,['y']
CNCSP   114,Psychology of Gender,4:00pm - 4:50pm,ED   1205,FELIX E D,20 / 20,T,['n']
CNCSP   114,Psychology of Gender,5:00pm - 5:50pm,ED   1205,FELIX E D,20 / 20,T,['n']
CNCSP   114,Psychology of Gender,6:00pm - 6:50pm,ED   1205,FELIX E D,14 / 20,T,['n']
CNCSP   114,Psychology of Gender,7:00pm - 7:50pm,ED   1205,FELIX E D,15 / 20,T,['n']
CNCSP   114,Psychology of Gender,4:00pm - 4:50pm,ED   1207,FELIX E D,20 / 20,T,['n']
CNCSP   114,Psychology of Gender,5:00pm - 5:50pm,ED   1207,FELIX E D,20 / 20,T,['n']
CNCSP   114,Psychology of Gender,4:00pm - 4:50pm,ED   1205,FELIX E D,20 / 20,R,['n']
CNCSP   114,Psychology of Gender,5:00pm - 5:50pm,ED   1205,FELIX E D,18 / 20,R,['n']
CNCSP   114,Psychology of Gender,6:00pm - 6:50pm,ED   1205,FELIX E D,8 / 20,R,['n']
CNCSP   114,Psychology of Gender,7:00pm - 7:50pm,ED   1205,FELIX E D,6 / 20,R,['n']
CNCSP   114,Psychology of Gender,4:00pm - 4:50pm,ED   1207,FELIX E D,20 / 20,R,['n']
CNCSP   114,Psychology of Gender,5:00pm - 5:50pm,ED   1207,FELIX E D,13 / 20,R,['n']
CNCSP   197,Special Topics in Applied Psychology,2:00pm - 3:50pm,ED   1213,JIMERSON S R,38 / 60,W,['n']
CNCSP   197,Special Topics in Applied Psychology,4:00pm - 5:50pm,ED   1213,JIMERSON S R,32 / 60,W,['n']
CNCSP   197,Special Topics in Applied Psychology,4:00pm - 5:50pm,ED   4205,DOWDY E T,18 / 25,R,['n']
CNCSP   197,Special Topics in Applied Psychology,12:00pm - 12:50pm,ED   1217,YANG C,7 / 25,F,['n']
