Code,Title,Time,Location,Professor,Size,Days,Lecture
COMM      1,Introduction to Communication,8:00 am - 9:15 am,BUCHN1910,MULLIN D I,228 / 225,T R,['y']
COMM      1,Introduction to Communication,8:00 am - 8:50 am,HSSB 1223,VALDEZ V E,26 / 25,F,['n']
COMM      1,Introduction to Communication,9:00 am - 9:50 am,GIRV 1116,VALDEZ V E,25 / 25,F,['n']
COMM      1,Introduction to Communication,10:00am - 10:50am,PHELP3505,VALDEZ V E,25 / 25,F,['n']
COMM      1,Introduction to Communication,12:00pm - 12:50pm,GIRV 2108,Messages:,26 / 25,F,['n']
COMM      1,Introduction to Communication,1:00pm - 1:50pm,GIRV 1116,Messages:,25 / 25,F,['n']
COMM      1,Introduction to Communication,2:00pm - 2:50pm,HSSB 1233,Messages:,23 / 25,F,['n']
COMM      1,Introduction to Communication,8:00 am - 8:50 am,HSSB 1215,STEFFEN C M,24 / 25,F,['n']
COMM      1,Introduction to Communication,9:00 am - 9:50 am,GIRV 2108,STEFFEN C M,24 / 25,F,['n']
COMM      1,Introduction to Communication,10:00am - 10:50am,PHELP2516,STEFFEN C M,30 / 25,F,['n']
COMM     87,Statistical Analysis for Communication,9:30 am - 10:45am,TD-W 1701,WEBER R,130 / 150,T R,['y']
COMM     87,Statistical Analysis for Communication,11:00am - 11:50am,PHELP3519,AUNE A K,20 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,12:00pm - 12:50pm,SSMS 1302,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",20 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,1:00pm - 1:50pm,PHELP1518,AUNE A K,24 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,2:00pm - 2:50pm,PHELP1518,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",24 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,3:00pm - 3:50pm,SSMS 1009,AUNE A K,24 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,4:00pm - 4:50pm,SSMS 1007,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",24 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,11:00am - 11:50am,PHELP1508,HOPP F R,22 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,12:00pm - 12:50pm,SSMS 1301,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",22 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,1:00pm - 1:50pm,GIRV 2112,HOPP F R,18 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,2:00pm - 2:50pm,SSMS 1304,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",18 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,3:00pm - 3:50pm,PHELP3519,HOPP F R,22 / 25,R,['n']
COMM     87,Statistical Analysis for Communication,4:00pm - 4:50pm,SSMS 1303,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",22 / 25,R,['n']
COMM     88,Communication Research Methods,11:00am - 12:15pm,CHEM 1179,MULLIN D I,279 / 300,T R,['y']
COMM     88,Communication Research Methods,4:00pm - 5:50pm,SSMS 1009,WILKENFELD J,19 / 20,R,['n']
COMM     88,Communication Research Methods,6:00pm - 7:50pm,SSMS 1009,LEW Z J,21 / 20,R,['n']
COMM     88,Communication Research Methods,8:00 am - 9:50 am,SSMS 1009,WILKENFELD J,17 / 20,F,['n']
COMM     88,Communication Research Methods,8:00pm - 9:50pm,HSSB 3201,ZAMANZADEH N,21 / 20,R,['n']
COMM     88,Communication Research Methods,11:00am - 12:50pm,SH   1430,ZAMANZADEH N,19 / 20,F,['n']
COMM     88,Communication Research Methods,1:00pm - 2:50pm,PHELP3523,PARRISH C R,17 / 20,F,['n']
COMM     88,Communication Research Methods,10:00am - 11:50am,SSMS 1009,PINES R L,17 / 20,F,['n']
COMM     88,Communication Research Methods,8:00pm - 9:50pm,GIRV 1108,LEW Z J,14 / 20,R,['n']
COMM     88,Communication Research Methods,1:00pm - 2:50pm,PHELP2536,PINES R L,18 / 20,F,['n']
COMM     88,Communication Research Methods,7:00pm - 8:50pm,PHELP1445,WILKENFELD J,20 / 20,R,['n']
COMM     88,Communication Research Methods,11:00am - 12:50pm,PHELP3523,PARRISH C R,19 / 20,F,['n']
COMM     88,Communication Research Methods,1:00pm - 2:50pm,NH   1109,ZAMANZADEH N,18 / 20,F,['n']
COMM     88,Communication Research Methods,8:00 am - 9:50 am,GIRV 1112,PINES R L,20 / 20,F,['n']
COMM     88,Communication Research Methods,7:00pm - 8:50pm,GIRV 2116,PARRISH C R,19 / 20,R,['n']
COMM     88,Communication Research Methods,12:00pm - 1:50pm,GIRV 1119,LEW Z J,20 / 20,F,['n']
COMM     89,Theories of Communication,12:30pm - 1:45pm,MUSICLLCH,MEROLLA A J,293 / 300,T R,['y']
COMM     89,Theories of Communication,7:00pm - 8:50pm,GIRV 2108,BERNHOLD Q S,19 / 20,R,['n']
COMM     89,Theories of Communication,11:00am - 12:50pm,PHELP3519,PETRO G,20 / 20,F,['n']
COMM     89,Theories of Communication,1:00pm - 2:50pm,NH   1111,SUH J,19 / 20,F,['n']
COMM     89,Theories of Communication,8:00 am - 9:50 am,GIRV 1115,BERNHOLD Q S,21 / 20,F,['n']
COMM     89,Theories of Communication,7:00pm - 8:50pm,HSSB 2201,SUH J,21 / 20,R,['n']
COMM     89,Theories of Communication,1:00pm - 2:50pm,GIRV 2127,PETRO G,20 / 20,F,['n']
COMM     89,Theories of Communication,8:00 am - 9:50 am,GIRV 2123,SUH J,17 / 20,F,['n']
COMM     89,Theories of Communication,7:00pm - 8:50pm,GIRV 2123,BUI T M,20 / 20,R,['n']
COMM     89,Theories of Communication,12:00pm - 1:50pm,GIRV 1115,BERNHOLD Q S,19 / 20,F,['n']
COMM     89,Theories of Communication,8:00pm - 9:50pm,PHELP2532,DO K N,22 / 20,R,['n']
COMM     89,Theories of Communication,11:00am - 12:50pm,PHELP2536,DO K N,21 / 20,F,['n']
COMM     89,Theories of Communication,1:00pm - 2:50pm,GIRV 2123,DO K N,17 / 20,F,['n']
COMM     89,Theories of Communication,8:00 am - 9:50 am,GIRV 2120,BUI T M,18 / 20,F,['n']
COMM     89,Theories of Communication,8:00pm - 9:50pm,SSMS 1009,PETRO G,20 / 20,R,['n']
COMM     89,Theories of Communication,12:00pm - 1:50pm,GIRV 2120,BUI T M,19 / 20,F,['n']
COMM    103,"Media, Race, & Ethnicity",9:30 am - 10:45am,SH   1431,MASTRO D E,97 / 90,T R,['y']
COMM    108,Corporate Social Responsibility,5:00pm - 6:15pm,BUCHN1930,YANG YOORI,95 / 100,M W,['y']
COMM    111,Nonverbal Communication in Human Interaction,3:30pm - 4:45pm,BUCHN1920,KIRKWOOD G L,125 / 120,M W,['y']
COMM    113,Media Effects on Individuals,8:00 am - 9:15 am,NH   1105,MULLIN C R,64 / 65,T R,['y']
COMM    116,"The Internet, Communication, and Contemporary Society",9:30 am - 10:45am,HSSB 1174,FLANAGIN A J,68 / 80,M W,['y']
COMM    117,Persuasion,11:00am - 12:15pm,SH   1431,PEREZ TORRES,77 / 80,M W,['y']
COMM    127,"Leadership, Gender & Communication",2:00pm - 3:15pm,BUCHN1940,WHITESTONE S,114 / 120,T R,['y']
COMM    132,Electronic Media Policy and Regulation,11:00am - 12:15pm,NH   1105,MULLIN C R,59 / 65,T R,['y']
COMM    137,"Global Communication, International Relations and the Media",5:00pm - 6:15pm,PHELP1425,STAMPS D L,52 / 60,T R,['y']
COMM    138,Advertising Literacy,3:30pm - 4:45pm,HSSB 1174,HANSIA A D,71 / 80,M W,['y']
COMM    139,Communication and Emotion,12:30pm - 1:45pm,HSSB 1174,OSHIDARY N S,80 / 80,M W,['y']
COMM    150,Group Communication in Multiple Contexts,11:00am - 12:15pm,PHELP3515,ABRA G J,80 / 80,T R,['y']
COMM    150,Group Communication in Multiple Contexts,12:30pm - 1:45pm,PHELP3515,ABRA G J,80 / 80,T R,['y']
COMM    152,Communication & Organizational Membership,8:00 am - 9:15 am,BUCHN1930,ENDACOTT C G,97 / 100,M W,['y']
COMM    160SM,"Special Topics: Social Media: The Good, the Bad & the Ugly",2:00pm - 3:15pm,BRDA 1640,KIM YEWEON,77 / 80,M W,['y']
COMM    163,Diffusion of Innovations,5:00pm - 6:15pm,BRDA 1640,MOXLEY C M,80 / 80,T R,['y']
COMM    169,Social Networks,8:00 am - 9:15 am,CHEM 1171,MENDEZ MURILL,95 / 100,M W,['y']
COMM    176,Forensic Communication,3:30pm - 4:45pm,PHELP3515,LONERGAN C A,80 / 80,T R,['y']
COMM    181A,Senior Honors Thesis,3:30pm - 4:45pm,SSMS 1009,REID S A,11 / 10,M W,['y']
