Code,Title,Time,Location,Professor,Size,Days,Lecture
DANCE    42D,Continuing Ballet,11:00am - 12:15pm,TD-W 1501,MOSELEY D,29 / 30,T R,['y']
DANCE    42E,Continuing Ballet,11:00am - 12:15pm,TD-W 1501,MOSELEY D,22 / 30,M W,['y']
DANCE    43A,Beginning Street Dance Forms,9:30 am - 10:45am,HSSB 1151,HAYNES R M,32 / 30,T R,['y']
DANCE    43B,Beginning Street Dance Forms,11:00am - 12:15pm,HSSB 1151,HAYNES R M,29 / 30,T R,['y']
DANCE    45,History and Appreciation of Dance,10:00am - 10:50am,IV   THEA1,PRESS C M,509 / 510,M W F,['y']
DANCE    46,Introduction to Social Dance: History and Practice,12:30pm - 1:45pm,HSSB 1151,WHITED B S,22 / 25,T R,['y']
DANCE    47B,Ballet I,2:00pm - 3:15pm,HSSB 1151,MARTINS N C,14 / 35,M W F,['y']
DANCE    47B,Ballet I,9:00 am - 10:50am,TD-W 1501,MOSELEY D,9 / 25,T R,['y']
DANCE    47E,Ballet II,12:30pm - 1:45pm,TD-W 1501,MARTINS N C,20 / 25,M W F,['y']
DANCE    47E,Ballet II,9:00 am - 10:50am,TD-W 1501,MOSELEY D,6 / 25,T R,['y']
DANCE    50,Fundamentals of Choreography,11:00am - 12:50pm,HSSB 1151,PILAFIAN C,17 / 25,T R,['y']
DANCE    56B,Modern Dance I,11:00am - 12:15pm,HSSB 1135,COLAHAN N,24 / 35,M W F,['y']
DANCE    56B,Modern Dance I,1:00pm - 2:50pm,HSSB 1135,COLAHAN N,17 / 25,T R,['y']
DANCE    56E,Modern Dance II,9:00 am - 10:50am,HSSB 1135,COLAHAN N,9 / 25,T R,['y']
DANCE   145E,"Dance Modernism: Cubism, Surrealism and the Euro-American   Avant-Garde, 1905 – 1939",9:00 am - 10:50am,HSSB 1105,SCHWAN A H,20 / 25,T R,['y']
DANCE   147B,Ballet III,3:30pm - 4:45pm,TD-W 1501,HUSTON V G,14 / 25,M W F,['y']
DANCE   147E,Ballet IV,9:30 am - 10:45am,HSSB 1151,HUSTON V G,10 / 25,M W F,['y']
DANCE   147PB,Ballet: Pointe,1:00pm - 2:50pm,TD-W 1501,HUSTON V G,15 / 25,T R,['y']
DANCE   151B,Choreography,11:00am - 12:50pm,HSSB 1151,PILAFIAN C,10 / 25,M W,['y']
DANCE   156B,Modern Dance III,9:30 am - 10:45am,HSSB 1135,PILAFIAN C,0 / 25,M W F,['y']
DANCE   156B,Modern Dance III,9:00 am - 10:50am,HSSB 1135,COLAHAN N,7 / 25,T R,['y']
DANCE   156B,Modern Dance III,2:00pm - 3:15pm,HSSB 1135,COLAHAN N,12 / 25,M W F,['y']
DANCE   156B,Modern Dance III,3:00pm - 4:50pm,HSSB 1135,WHITED B S,15 / 25,T R,['y']
DANCE   156E,Modern Dance IV,2:00pm - 3:15pm,HSSB 1135,COLAHAN N,15 / 25,M W F,['y']
DANCE   156E,Modern Dance IV,3:00pm - 4:50pm,HSSB 1135,WHITED B S,20 / 25,T R,['y']
DANCE   171,Music for Dance: Listening Based Survey of Contemporary Aesthetics,11:00am - 12:50pm,TD-W 1502,MCKENZIE N,6 / 25,T R,['y']
DANCE   186,Dance Production,5:00pm - 7:00pm,HSSB 1105,MCCARTHY C R,8 / 10,R,['n']
DANCE   190,UCSB Dance Company,3:30pm - 4:45pm,HSSB 1135,MOSELEY D,14 / 15,M W F,['y']
DANCE   194,Group Studies in Dance,9:30 am - 10:45am,TD-W 1501,MARTINS N C,13 / 25,M W F,['y']
DANCE   194,Group Studies in Dance,11:00am - 12:50pm,TD-W 2517,SCHWAN A H,11 / 25,T R,['y']
