Code,Title,Time,Location,Professor,Size,Days,Lecture
ECE       1A,Computer Engineering Seminar,3:00pm - 3:50pm,SH   1431,WANG L C,90 / 90,W,['n']
ECE       5,Introduction to Electrical & Computer Engineering,4:00pm - 4:50pm,SH   1431,HESPANHA J P,86 / 95,M W,['y']
ECE       5,Introduction to Electrical & Computer Engineering,12:00pm - 2:50pm,HFH  1124,Messages:,24 / 24,F,['n']
ECE       5,Introduction to Electrical & Computer Engineering,5:00pm - 7:50pm,HFH  1124,Messages:,14 / 23,T,['n']
ECE       5,Introduction to Electrical & Computer Engineering,9:00 am - 11:50am,HFH  1124,Messages:,24 / 24,F,['n']
ECE       5,Introduction to Electrical & Computer Engineering,9:00 am - 11:50am,HFH  1124,Messages:,24 / 24,W,['n']
ECE      10A,Foundations of Analog and Digital Circuits & Systems,3:30pm - 4:45pm,PHELP1440,SALEM L G,12 / 35,T R,['y']
ECE      10AL,Foundations of Analog and Digital Circuits and Systems Lab,10:00am - 12:50pm,HFH  5162C,SALEM L G,5 / 25,T,['n']
ECE      10B,Foundations of Analog and Digital Circuits and Systems,5:00pm - 6:15pm,HFH  1104,SCHOW C L,137 / 160,T R,['y']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,12:00pm - 3:50pm,HFH  5162C,IFTEKHAR A,18 / 20,W,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,8:00 am - 11:50am,HFH  5162C,Messages:,0 / 20,W,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,8:00 am - 11:50am,HFH  5162C,Messages:,0 / 20,R,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,6:30pm - 10:20pm,HFH  5162C,LARIMIAN S,20 / 20,T,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,6:30pm - 10:20pm,HFH  5162C,DU X,19 / 20,W,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,12:00pm - 3:50pm,HFH  5162C,T B A,11 / 20,R,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,6:30pm - 10:20pm,HFH  5162C,T B A,18 / 20,R,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,12:00pm - 3:50pm,HFH  5162C,T B A,9 / 20,T,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,12:00pm - 3:50pm,HFH  5162C,T B A,20 / 20,F,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,8:00 am - 11:50am,HFH  5162C,T B A,19 / 20,W,['n']
ECE      10BL,Foundations of Analog and Digital Circuits and Systems Lab,8:00 am - 11:50am,HFH  5162C,T B A,0 / 18,R,['n']
ECE      15A,Fundamentals of Logic Design,5:00pm - 6:15pm,EMBARHALL,ZHANG Z,167 / 200,M W,['y']
ECE      15A,Fundamentals of Logic Design,8:00 am - 8:50 am,HSSB 1211,Messages:,21 / 23,F,['n']
ECE      15A,Fundamentals of Logic Design,9:00 am - 9:50 am,PHELP2536,Messages:,25 / 25,R,['n']
ECE      15A,Fundamentals of Logic Design,8:00 am - 8:50 am,HSSB 2251,Messages:,9 / 25,R,['n']
ECE      15A,Fundamentals of Logic Design,2:00pm - 2:50pm,PHELP3519,Messages:,25 / 25,W,['n']
ECE      15A,Fundamentals of Logic Design,8:00 am - 8:50 am,HSSB 1233,Messages:,21 / 22,T,['n']
ECE      15A,Fundamentals of Logic Design,9:00 am - 9:50 am,HSSB 1232,Messages:,22 / 25,F,['n']
ECE      15A,Fundamentals of Logic Design,10:00am - 10:50am,GIRV 1119,Messages:,20 / 25,F,['n']
ECE      15A,Fundamentals of Logic Design,11:00am - 11:50am,GIRV 2119,Messages:,24 / 25,F,['n']
ECE      94R,General,5:00pm - 5:50pm,HFH  4164,LEE H,18 / 20,R,['n']
ECE     120A,Integrated Circuit Design and Fabrication,9:30 am - 10:45am,387  1011,BEN-YAACOV I,38 / 40,M W,['y']
ECE     120A,Integrated Circuit Design and Fabrication,7:00pm - 9:50pm,ENGR21141D,Messages:,19 / 20,T,['n']
ECE     120A,Integrated Circuit Design and Fabrication,7:00pm - 9:50pm,ENGR21141D,Messages:,19 / 20,R,['n']
ECE     122B,VLSI Architecture and Design,9:00 am - 9:50 am,GIRV 2112,BREWER F,3 / 20,M W F,['y']
ECE     122B,VLSI Architecture and Design,8:00 am - 8:50 am,387  1011,Messages:,3 / 20,R,['n']
ECE     130B,Signal Analysis and Processing,12:30pm - 1:45pm,BIOEN1001,PEDARSANI R,68 / 80,T R,['y']
ECE     130B,Signal Analysis and Processing,7:00pm - 8:50pm,PHELP1448,Messages:,20 / 27,R,['n']
ECE     130B,Signal Analysis and Processing,2:00pm - 3:50pm,PHELP1440,Messages:,22 / 27,F,['n']
