Code,Title,Time,Location,Professor,Size,Days,Lecture
ED      111,Introduction to Child and Adolescent Development,11:00am - 12:50pm,ED   1215,ROMO L F,34 / 30,T,['n']
ED      111,Introduction to Child and Adolescent Development,11:00am - 11:50am,ED   1215,ROMO L F,34 / 30,R,['n']
ED      118,The Research University and The Transfer Student Experience,12:30pm - 1:45pm,EMBARHALL,LUBACH D W,178 / 200,T R,['y']
ED      118,The Research University and The Transfer Student Experience,12:30pm - 1:45pm,SRB  2154,LUBACH D W,6 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,NH   1105,LUBACH D W,20 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,ED   4205,LUBACH D W,19 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,PHELP3505,LUBACH D W,19 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,PHELP1425,LUBACH D W,20 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,ED   1215,LUBACH D W,21 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,ED   1213,LUBACH D W,17 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,ED   1201,LUBACH D W,19 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,ED   1203,LUBACH D W,18 / 20,F,['n']
ED      118,The Research University and The Transfer Student Experience,11:00am - 12:15pm,ED   1205,LUBACH D W,19 / 20,F,['n']
ED      121,Introduction to K-12 Teaching,10:00am - 11:50am,ED   4205,BLACKWELL K S,21 / 25,T,['n']
ED      123,"Culture, Development, and Education",9:30 am - 10:45am,ED   1217,DUQUE J D,70 / 60,M W,['y']
ED      123,"Culture, Development, and Education",10:00am - 10:50am,ED   1205,DUQUE J D,17 / 15,R,['n']
ED      123,"Culture, Development, and Education",11:00am - 11:50am,ED   1205,DUQUE J D,18 / 15,R,['n']
ED      123,"Culture, Development, and Education",12:00pm - 12:50pm,ED   1205,DUQUE J D,18 / 15,R,['n']
ED      123,"Culture, Development, and Education",1:00pm - 1:50pm,ED   1205,DUQUE J D,17 / 15,R,['n']
ED      123,"Culture, Development, and Education",6:00pm - 7:50pm,ED   1215,SANDOVAL N I,59 / 60,M,['n']
ED      123,"Culture, Development, and Education",7:00pm - 7:50pm,ED   1201,SANDOVAL N I,20 / 20,T,['n']
ED      123,"Culture, Development, and Education",7:00pm - 7:50pm,ED   1201,SANDOVAL N I,20 / 20,W,['n']
ED      123,"Culture, Development, and Education",7:00pm - 7:50pm,ED   1201,SANDOVAL N I,19 / 20,R,['n']
ED      124,Research on Teaching and Learning in Sociocultural Contexts,4:00pm - 5:50pm,ED   1215,ARYA D J,56 / 50,M,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",9:00 am - 10:50am,TD-W 1701,VRIESEMA C N,120 / 120,M,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",12:00pm - 12:50pm,ED   1207,VRIESEMA C N,20 / 20,M,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",1:00pm - 1:50pm,ED   1207,VRIESEMA C N,20 / 20,M,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",2:00pm - 2:50pm,ED   1207,VRIESEMA C N,20 / 20,M,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",3:00pm - 3:50pm,ED   1207,VRIESEMA C N,20 / 20,M,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",10:00am - 10:50am,ED   1207,VRIESEMA C N,20 / 20,T,['n']
ED      126,"Social Connectedness, Motivation, and Self-Regulation in   Education",11:00am - 11:50am,ED   1207,VRIESEMA C N,20 / 20,T,['n']
ED      129,"CalTeach, Elementary Science Education",3:00pm - 4:50pm,ED   4219,FELDWINN D L,8 / 30,M   F,['y']
ED      130,"CalTeach, Secondary Mathematics Education",4:00pm - 6:50pm,ED   4219,ROSS E G,25 / 30,T,['n']
ED      131,"CalTeach, Secondary Science Education",1:00pm - 2:50pm,ED   4219,LOHWASSER K,12 / 30,T R,['y']
ED      134,"Advanced Problem Solving in Mathematical, Historical and   Pedagogical Contexts",9:00 am - 10:50am,ED   4219,OGRAIN C M,25 / 25,M W,['y']
ED      173,Introduction to Leadership Development,5:00pm - 6:15pm,CHEM 1171,ARMISTEAD K J,105 / 100,M,['n']
ED      173,Introduction to Leadership Development,5:00pm - 6:15pm,ED   1205,ARMISTEAD K J,28 / 25,W,['n']
ED      173,Introduction to Leadership Development,9:30 am - 10:45am,ED   1205,ARMISTEAD K J,27 / 25,W,['n']
ED      173,Introduction to Leadership Development,9:30 am - 10:45am,ED   1201,ARMISTEAD K J,26 / 25,T,['n']
ED      173,Introduction to Leadership Development,3:30pm - 4:45pm,ED   1205,ARMISTEAD K J,24 / 25,W,['n']
ED      176B,Practicum in Individual Differences,1:00pm - 2:50pm,ED   1213,T B A,38 / 40,T,['n']
ED      191W,Health and Well-Being,2:00pm - 3:15pm,WEBB 1100,SHISHIM M D,79 / 70,T,['n']
ED      191W,Health and Well-Being,2:00pm - 3:50pm,ED   1215,SHISHIM M D,41 / 35,R,['n']
ED      191W,Health and Well-Being,2:00pm - 3:50pm,ED   1217,SHISHIM M D,38 / 35,R,['n']
ED      197,Special Topics in Education and Applied Psychology,4:00pm - 5:50pm,ED   1207,DURAN R P,32 / 35,M,['n']
