Code,Title,Time,Location,Professor,Size,Days,Lecture
EEMB      2,Introductory Biology II--Ecology and Evolution,11:00am - 12:15pm,CAMPBHALL,NGUYEN A T,902 / 1160,T R,['y']
EEMB      2,Introductory Biology II--Ecology and Evolution,11:00am - 12:15pm,BUCHN1910,Messages:,902 / 1160,T R,['y']
EEMB      2L,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2211,EVEN T J,10 / 10,T,['n']
EEMB      2L,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2112,EVEN T J,9 / 10,T,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2211,EVEN T J,11 / 10,T,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2112,EVEN T J,10 / 10,T,['n']
EEMB      2L,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2211,EVEN T J,4 / 10,T,['n']
EEMB      2L,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2112,EVEN T J,6 / 10,T,['n']
EEMB      2L,Introductory Biology Laboratory II,9:00 am - 11:50am,BSIF 2211,EVEN T J,7 / 10,W,['n']
EEMB      2L,Introductory Biology Laboratory II,9:00 am - 11:50am,BSIF 2112,EVEN T J,10 / 10,W,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2211,EVEN T J,9 / 10,W,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2112,EVEN T J,6 / 10,W,['n']
EEMB      2L,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2211,EVEN T J,6 / 10,W,['n']
EEMB      2L,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2112,EVEN T J,8 / 10,W,['n']
EEMB      2L,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2211,EVEN T J,9 / 10,R,['n']
EEMB      2L,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2112,EVEN T J,10 / 10,R,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2211,EVEN T J,10 / 10,R,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2112,EVEN T J,11 / 10,R,['n']
EEMB      2L,Introductory Biology Laboratory II,4:00pm - 6:50pm,BSIF 2112,EVEN T J,9 / 10,R,['n']
EEMB      2L,Introductory Biology Laboratory II,4:00pm - 6:50pm,BSIF 2211,EVEN T J,11 / 10,R,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2112,EVEN T J,9 / 10,F,['n']
EEMB      2L,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2211,EVEN T J,5 / 10,F,['n']
EEMB      2L,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2211,EVEN T J,9 / 10,R,['n']
