Code,Title,Time,Location,Professor,Size,Days,Lecture
ENGL     10,Introduction to Literary Study,6:30pm - 7:45pm,BUCHN1910,DONNELLY B,287 / 300,M W,['y']
ENGL     10,Introduction to Literary Study,8:00 am - 8:50 am,SH   2623,SHOEMAKER T G,23 / 25,T,['n']
ENGL     10,Introduction to Literary Study,9:00 am - 9:50 am,SH   2623,SHOEMAKER T G,26 / 25,T,['n']
ENGL     10,Introduction to Literary Study,10:00am - 10:50am,SH   2623,ADKISON K M,25 / 25,T,['n']
ENGL     10,Introduction to Literary Study,11:00am - 11:50am,SH   2623,ADKISON K M,25 / 25,T,['n']
ENGL     10,Introduction to Literary Study,5:00pm - 5:50pm,SH   2623,DELCHEVA M P,25 / 25,T,['n']
ENGL     10,Introduction to Literary Study,6:00pm - 6:50pm,SH   2623,DELCHEVA M P,25 / 25,T,['n']
ENGL     10,Introduction to Literary Study,8:00 am - 8:50 am,SH   2623,KNEECE S C,18 / 25,W,['n']
ENGL     10,Introduction to Literary Study,9:00 am - 9:50 am,SH   2623,KNEECE S C,24 / 25,W,['n']
ENGL     10,Introduction to Literary Study,10:00am - 10:50am,SH   2623,ASWATHANARAYA,23 / 25,W,['n']
ENGL     10,Introduction to Literary Study,11:00am - 11:50am,SH   2623,ASWATHANARAYA,24 / 25,W,['n']
ENGL     10,Introduction to Literary Study,4:00pm - 4:50pm,PHELP1508,SINTURA M C,24 / 25,W,['n']
ENGL     10,Introduction to Literary Study,5:00pm - 5:50pm,PHELP3519,SINTURA M C,25 / 25,W,['n']
ENGL     11,Literature and its Uses,2:00pm - 3:15pm,GIRV 2127,KING R S,38 / 38,T R,['y']
ENGL     11,Literature and its Uses,12:30pm - 1:45pm,GIRV 1119,WICKE J A,0 / 38,M W,['y']
ENGL     11,Literature and its Uses,9:30 am - 10:45am,GIRV 1119,DROGE A M,30 / 38,M W,['y']
ENGL     18,Public Speaking,1:00pm - 1:50pm,BIOEN1001,ENDERS J,33 / 48,M W,['y']
ENGL     18,Public Speaking,10:00am - 11:50am,SH   2635,ZISA J E,11 / 12,R,['n']
ENGL     18,Public Speaking,2:00pm - 3:50pm,SH   2635,KING J L,9 / 12,R,['n']
ENGL     18,Public Speaking,9:00 am - 10:50am,SH   2635,ZISA J E,6 / 12,F,['n']
ENGL     18,Public Speaking,12:00pm - 1:50pm,ARTS 1349,KING J L,7 / 12,F,['n']
ENGL     65WW,World Wide Wests: The Global Western in Film and Literature,2:00pm - 3:15pm,TD-W 1701,WICKE J A,141 / 150,T R,['y']
ENGL    100SO,Honors Seminar,7:00pm - 7:50pm,SH   2617,WAID C J,1 / 15,M,['n']
ENGL    103A,American Literature from 1789 to 1900,12:30pm - 1:45pm,GIRV 1004,MASLAN M J,191 / 200,M W,['y']
ENGL    103A,American Literature from 1789 to 1900,5:00pm - 5:50pm,SH   2623,FLOYD E M,25 / 25,M,['n']
ENGL    103A,American Literature from 1789 to 1900,6:00pm - 6:50pm,SH   2623,FLOYD E M,22 / 25,M,['n']
ENGL    103A,American Literature from 1789 to 1900,8:00 am - 8:50 am,SH   2635,COLLINS W J,21 / 25,T,['n']
ENGL    103A,American Literature from 1789 to 1900,9:00 am - 9:50 am,SH   2635,COLLINS W J,25 / 25,T,['n']
ENGL    103A,American Literature from 1789 to 1900,5:00pm - 5:50pm,SH   2635,SCHOCKEN M,25 / 25,T,['n']
ENGL    103A,American Literature from 1789 to 1900,6:00pm - 6:50pm,SH   2635,SCHOCKEN M,25 / 25,T,['n']
ENGL    103A,American Literature from 1789 to 1900,8:00 am - 8:50 am,SH   2635,ROLAND E E,23 / 25,W,['n']
ENGL    103A,American Literature from 1789 to 1900,9:00 am - 9:50 am,SH   2635,ROLAND E E,25 / 25,W,['n']
ENGL    103AS,Seminar on American Literature from 1789 to 1900,3:00pm - 3:50pm,GIRV 1106,MASLAN M J,9 / 15,M,['n']
ENGL    104B,British Literature from 1900 to Present,2:00pm - 3:15pm,GIRV 1004,BOSCAGLI M,192 / 200,T R,['y']
ENGL    104B,British Literature from 1900 to Present,5:00pm - 5:50pm,GIRV 2127,MESSNER M S,26 / 25,T,['n']
ENGL    104B,British Literature from 1900 to Present,6:00pm - 6:50pm,GIRV 1112,MESSNER M S,25 / 25,T,['n']
ENGL    104B,British Literature from 1900 to Present,8:00 am - 8:50 am,SH   2617,MUKHERJEE S,22 / 25,W,['n']
ENGL    104B,British Literature from 1900 to Present,9:00 am - 9:50 am,SH   2617,MUKHERJEE S,24 / 25,W,['n']
ENGL    104B,British Literature from 1900 to Present,5:00pm - 5:50pm,SH   2623,COOK J N,24 / 25,W,['n']
ENGL    104B,British Literature from 1900 to Present,6:00pm - 6:50pm,SH   2623,COOK J N,25 / 25,W,['n']
ENGL    104B,British Literature from 1900 to Present,8:00 am - 8:50 am,SH   2635,WEIDNER C C,21 / 25,R,['n']
ENGL    104B,British Literature from 1900 to Present,9:00 am - 9:50 am,SH   2635,WEIDNER C C,25 / 25,R,['n']
ENGL    104BS,Seminar on British Literature from 1900 to Present,12:30pm - 1:20pm,SH   2617,BOSCAGLI M,14 / 15,R,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",11:00am - 12:15pm,GIRV 1004,ROSE M A,190 / 200,T R,['y']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",5:00pm - 5:50pm,GIRV 1119,SNAY H N,23 / 25,T,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",6:00pm - 6:50pm,GIRV 2123,SNAY H N,25 / 25,T,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",10:00am - 10:50am,SH   2635,RAYCHAWDHURI,25 / 25,W,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",11:00am - 11:50am,SH   2635,RAYCHAWDHURI,22 / 25,W,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",5:00pm - 5:50pm,SH   2617,STARK N M,24 / 25,W,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",6:00pm - 6:50pm,SH   2617,STARK N M,23 / 25,W,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",8:00 am - 8:50 am,SH   2623,ROEPE M W,25 / 25,R,['n']
ENGL    105A,"Shakespeare, Poems and Earlier Plays",9:00 am - 9:50 am,SH   2623,ROEPE M W,23 / 25,R,['n']
ENGL    122RW,Reading the World,12:30pm - 1:45pm,GIRV 1112,HILTNER K C,38 / 38,M W,['y']
