Code,Title,Time,Location,Professor,Size,Days,Lecture
FEMST    20,Gender and Power: Introduction to Feminist Studies,11:00am - 12:15pm,EMBARHALL,T B A,239 / 240,M W,['y']
FEMST    20,Gender and Power: Introduction to Feminist Studies,5:00pm - 5:50pm,HSSB 2251,SORIANO K M,20 / 20,M,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,2:00pm - 2:50pm,HSSB 3202,SORIANO K M,20 / 20,M,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,3:00pm - 3:50pm,HSSB 3202,SORIANO K M,20 / 20,M,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,2:00pm - 2:50pm,HSSB 4202,SPENCER M H,20 / 20,W,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,3:00pm - 3:50pm,HSSB 1228,SPENCER M H,20 / 20,W,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,4:00pm - 4:50pm,HSSB 4201,SPENCER M H,20 / 20,W,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,4:00pm - 4:50pm,HSSB 3202,VICTORIAN J M,20 / 20,R,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,5:00pm - 5:50pm,GIRV 1108,VICTORIAN J M,19 / 20,R,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,6:00pm - 6:50pm,HSSB 2201,VICTORIAN J M,20 / 20,R,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,10:00am - 10:50am,HSSB 3201,HEISLEY-COOK,20 / 20,F,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,11:00am - 11:50am,HSSB 3201,HEISLEY-COOK,20 / 20,F,['n']
FEMST    20,Gender and Power: Introduction to Feminist Studies,2:00pm - 2:50pm,HSSB 3201,HEISLEY-COOK,20 / 20,F,['n']
FEMST    30,"Women, Development and Globalization",6:30pm - 7:45pm,LSB  1001,TANNER L C,120 / 120,M W,['y']
FEMST    30,"Women, Development and Globalization",9:00 am - 9:50 am,PHELP1448,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",20 / 20,W,['n']
FEMST    30,"Women, Development and Globalization",5:00pm - 5:50pm,GIRV 1108,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",20 / 20,W,['n']
FEMST    30,"Women, Development and Globalization",11:00am - 11:50am,PHELP3523,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",20 / 20,W,['n']
FEMST    30,"Women, Development and Globalization",1:00pm - 1:50pm,GIRV 1108,SOZMEN M M,20 / 20,F,['n']
FEMST    30,"Women, Development and Globalization",12:00pm - 12:50pm,GIRV 1108,SOZMEN M M,20 / 20,F,['n']
FEMST    30,"Women, Development and Globalization",3:00pm - 3:50pm,HSSB 2201,SOZMEN M M,20 / 20,F,['n']
FEMST    80,Introduction to LGBTQ Studies,9:30 am - 10:45am,EMBARHALL,T B A,240 / 240,T R,['y']
FEMST    80,Introduction to LGBTQ Studies,12:00pm - 12:50pm,HSSB 3201,JONES C E,20 / 20,R,['n']
FEMST    80,Introduction to LGBTQ Studies,1:00pm - 1:50pm,HSSB 2201,JONES C E,20 / 20,R,['n']
FEMST    80,Introduction to LGBTQ Studies,2:00pm - 2:50pm,HSSB 3202,JONES C E,20 / 20,R,['n']
FEMST    80,Introduction to LGBTQ Studies,12:00pm - 12:50pm,HSSB 3202,WALD A P,20 / 20,T,['n']
FEMST    80,Introduction to LGBTQ Studies,1:00pm - 1:50pm,HSSB 3201,WALD A P,20 / 20,T,['n']
FEMST    80,Introduction to LGBTQ Studies,2:00pm - 2:50pm,HSSB 4201,WALD A P,20 / 20,T,['n']
FEMST    80,Introduction to LGBTQ Studies,4:00pm - 4:50pm,HSSB 3201,SCHUSTER E C,20 / 20,W,['n']
FEMST    80,Introduction to LGBTQ Studies,5:00pm - 5:50pm,HSSB 3201,SCHUSTER E C,20 / 20,W,['n']
FEMST    80,Introduction to LGBTQ Studies,6:00pm - 6:50pm,HSSB 3201,SCHUSTER E C,20 / 20,W,['n']
FEMST    80,Introduction to LGBTQ Studies,9:00 am - 9:50 am,GIRV 1108,PIERCE A M,20 / 20,F,['n']
FEMST    80,Introduction to LGBTQ Studies,10:00am - 10:50am,GIRV 1108,PIERCE A M,20 / 20,F,['n']
FEMST    80,Introduction to LGBTQ Studies,11:00am - 11:50am,GIRV 1108,PIERCE A M,20 / 20,F,['n']
FEMST   120,Women's Labors,11:00am - 12:15pm,PHELP1160,CLARK L N,70 / 70,M W,['y']
FEMST   139,Women of Color Revolutionary Dialogues,5:00pm - 7:50pm,PHELP2532,CHANG G,0 / 10,R,['n']
FEMST   142,Black Women Filmmakers,4:00pm - 6:50pm,PHELP2532,BOBO J,39 / 30,M,['n']
FEMST   143,Women's Film Narratives,8:00 am - 9:15 am,ARTS 1356,BOBO J,30 / 30,T R,['y']
FEMST   180,Feminist Analysis,3:30pm - 4:45pm,SH   1430,TOMLINSON B M,33 / 30,T R,['y']
FEMST   181,Feminist Theories,3:00pm - 5:50pm,PHELP2514,BARVOSA E,30 / 30,W,['n']
FEMST   185BC,Gender and Culture,12:30pm - 1:45pm,HSSB 1215,PINKERTON S J,20 / 25,M W,['y']
