Code,Title,Time,Location,Professor,Size,Days,Lecture
FR        1,Elementary French,12:00pm - 12:50pm,HSSB 1236,ROBERTS S C,21 / 26,MTWR,['y']
FR        1,Elementary French,1:00pm - 1:50pm,HSSB 1231,ROBERTS S C,22 / 26,MTWR,['y']
FR        1,Elementary French,2:00pm - 2:50pm,HSSB 1231,ZISERMAN P,26 / 26,MTWR,['y']
FR        2,Elementary French,10:00am - 10:50am,HSSB 1233,SCHULTZ J M,25 / 26,MTWR,['y']
FR        2,Elementary French,11:00am - 11:50am,HSSB 2251,LABATUT M A,24 / 26,MTWR,['y']
FR        2,Elementary French,1:00pm - 1:50pm,HSSB 1236,LABATUT M A,26 / 26,MTWR,['y']
FR        2,Elementary French,2:00pm - 2:50pm,HSSB 1224,MENDES BRAGA,25 / 26,MTWR,['y']
FR        2,Elementary French,12:00pm - 12:50pm,HSSB 1232,ZISERMAN P,11 / 26,MTWR,['y']
FR        3,Elementary French,11:00am - 11:50am,PHELP3523,SCHULTZ J M,18 / 26,MT R,['y']
FR        3,Elementary French,11:00am - 11:50am,PHELP3519,Messages:,18 / 26,W,['n']
FR        3,Elementary French,11:00am - 11:50am,PHELP5309,MENDES BRAGA,12 / 26,MTWR,['y']
FR        4,Intermediate French,10:00am - 10:50am,HSSB 1227,LABATUT M A,25 / 26,MTWR,['y']
FR        5,Intermediate French,11:00am - 11:50am,HSSB 1232,SCHULTZ J M,24 / 26,MTWR,['y']
FR        5,Intermediate French,1:00pm - 1:50pm,SH   1609,SCHULTZ J M,24 / 26,MTWR,['y']
FR        6,Intermediate French,10:00am - 10:50am,HSSB 1224,MENDES BRAGA,14 / 26,MTWR,['y']
FR       11A,French for Graduate Students,2:00pm - 3:15pm,HSSB 1206,PHILLIPS M E,14 / 26,T R,['y']
FR      100,Advanced Composition,2:00pm - 3:15pm,HSSB 1207,ROBERTS S C,19 / 26,T R,['y']
FR      101C,Introduction to Literary and Cultural Analysis,12:30pm - 1:45pm,HSSB 1206,JULLIEN D M,19 / 26,M W,['y']
FR      104C,Advanced French Grammar,9:30 am - 10:45am,HSSB 1206,LARUE R J,22 / 26,M W,['y']
FR      104E,Business French 1,11:00am - 12:15pm,HSSB 1214,PHILLIPS M E,13 / 26,T R,['y']
FR      147C,French and Francophone Prose Fiction,9:30 am - 10:45am,HSSB 1215,SKENAZI E C,12 / 25,T R,['y']
FR      154G,Post-Colonial Cultures,6:30pm - 7:45pm,BUCHN1910,PRIETO E,63 / 65,T R,['y']
FR      154I,Literature and Economics: French Thought and Fiction,3:30pm - 4:45pm,PSYCH1902,POWERS R T,56 / 60,T R,['y']
FR      155A,Women in the Middle Ages,2:00pm - 3:15pm,PHELP2536,BROWN C J,30 / 30,M W,['y']
FR      197,Senior Seminar,11:00am - 12:15pm,PHELP5316,BROWN C J,6 / 15,M W,['y']
