Code,Title,Time,Location,Professor,Size,Days,Lecture
GLOBL     2,Global Socioeconomic and Political Processes,5:00pm - 6:15pm,BUCHN1910,THANDI S,243 / 253,T R,['y']
GLOBL     2,Global Socioeconomic and Political Processes,12:00pm - 12:50pm,HSSB 1231,MANSOUR O,19 / 23,F,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3202,CHAJDAS T W,24 / 23,T,['n']
GLOBL     2,Global Socioeconomic and Political Processes,10:00am - 10:50am,GIRV 2123,DURAND E A,20 / 23,F,['n']
GLOBL     2,Global Socioeconomic and Political Processes,11:00am - 11:50am,GIRV 2112,DURAND E A,23 / 23,F,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 4201,MANSOUR O,25 / 23,R,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3202,CHAJDAS T W,24 / 23,W,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3201,ZHANG XIAOYI,24 / 23,T,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3202,DURAND E A,23 / 23,R,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3201,ZHANG XIAOYI,22 / 23,W,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3202,MANSOUR O,20 / 23,M,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3201,ZHANG XIAOYI,19 / 23,M,['n']
GLOBL     2,Global Socioeconomic and Political Processes,7:00pm - 7:50pm,HSSB 3201,Messages:,0 / 23,R,['n']
GLOBL   110,Global Culture and Ethics,11:00am - 12:15pm,BUCHN1920,CLITANDRE N T,146 / 144,T R,['y']
GLOBL   110,Global Culture and Ethics,7:00pm - 7:50pm,SH   1609,O'HAGAN M M,25 / 23,T,['n']
GLOBL   110,Global Culture and Ethics,7:00pm - 7:50pm,HSSB 1237,O'HAGAN M M,24 / 23,W,['n']
GLOBL   110,Global Culture and Ethics,6:00pm - 6:50pm,PHELP2524,PEREZ-WELTER,25 / 23,R,['n']
GLOBL   110,Global Culture and Ethics,6:00pm - 6:50pm,HSSB 4202,O'HAGAN M M,24 / 23,T,['n']
GLOBL   110,Global Culture and Ethics,11:00am - 11:50am,GIRV 1115,PEREZ-WELTER,25 / 23,F,['n']
GLOBL   110,Global Culture and Ethics,2:00pm - 2:50pm,HSSB 1231,PEREZ-WELTER,23 / 23,F,['n']
GLOBL   111,Human Rights and World Order,12:30pm - 1:45pm,GIRV 1116,FAUST J M,30 / 35,M W,['y']
GLOBL   120,Global Ideologies and World Order,12:30pm - 1:45pm,BUCHN1920,AMAR P E,134 / 144,M W,['y']
GLOBL   120,Global Ideologies and World Order,7:00pm - 7:50pm,HSSB 1237,GUIRGUIS C M,23 / 23,R,['n']
GLOBL   120,Global Ideologies and World Order,7:00pm - 7:50pm,HSSB 1237,GUIRGUIS C M,24 / 23,T,['n']
GLOBL   120,Global Ideologies and World Order,7:00pm - 7:50pm,HSSB 1236,GUIRGUIS C M,25 / 23,W,['n']
GLOBL   120,Global Ideologies and World Order,6:00pm - 6:50pm,PHELP3519,RABELLO SODRE,24 / 23,R,['n']
GLOBL   120,Global Ideologies and World Order,1:00pm - 1:50pm,HSSB 1236,RABELLO SODRE,20 / 23,F,['n']
GLOBL   120,Global Ideologies and World Order,11:00am - 11:50am,GIRV 1112,RABELLO SODRE,18 / 23,F,['n']
GLOBL   130,Global Economy and Development,2:00pm - 3:15pm,BUCHN1920,MEHTA A S,143 / 144,M W,['y']
GLOBL   130,Global Economy and Development,10:00am - 10:50am,PHELP2536,LAHIRI S,24 / 23,F,['n']
GLOBL   130,Global Economy and Development,7:00pm - 7:50pm,HSSB 4202,FUENTES CARRE,24 / 23,W,['n']
GLOBL   130,Global Economy and Development,6:00pm - 6:50pm,PHELP1508,FUENTES CARRE,22 / 23,R,['n']
GLOBL   130,Global Economy and Development,7:00pm - 7:50pm,HSSB 4202,FUENTES CARRE,24 / 23,R,['n']
GLOBL   130,Global Economy and Development,7:00pm - 7:50pm,HSSB 4202,LAHIRI S,25 / 23,T,['n']
GLOBL   130,Global Economy and Development,7:00pm - 7:50pm,HSSB 4201,LAHIRI S,24 / 23,W,['n']
GLOBL   159,Globalization and Culture,3:30pm - 4:45pm,PHELP3523,NEDERVEEN PIE,39 / 35,M W,['y']
GLOBL   161,Global Environmental Policy and Politics,9:30 am - 10:45am,HSSB 1174,BARANDIARAN J,86 / 95,T R,['y']
GLOBL   174,Global Perspectives on Environment and Society,9:30 am - 10:45am,NH   1105,CHEN J,55 / 65,T R,['y']
GLOBL   197,Special Topics in Global and International Studies,2:00pm - 3:15pm,PHELP1445,KURGAN S,28 / 35,T R,['y']
GLOBL   197,Special Topics in Global and International Studies,12:30pm - 1:45pm,PHELP1445,LEQUESNE T F,33 / 35,M W,['y']
