Code,Title,Time,Location,Professor,Size,Days,Lecture
ITAL      1,Elementary Italian,10:00am - 10:50am,PHELP1508,DE SIMONE T,24 / 26,MTWR,['y']
ITAL      1,Elementary Italian,11:00am - 11:50am,GIRV 1116,DE SIMONE T,25 / 26,MTWR,['y']
ITAL      1,Elementary Italian,1:00pm - 1:50pm,HSSB 2251,CRICKETTE M E,22 / 26,MTWR,['y']
ITAL      1,Elementary Italian,2:00pm - 2:50pm,HSSB 1228,CRICKETTE M E,26 / 26,MTWR,['y']
ITAL      1HY,Elementary Italian 1 Hybrid,9:30 am - 10:45am,PHELP5309,PADULA V,20 / 26,T R,['y']
ITAL      2,Elementary Italian,12:00pm - 12:50pm,PHELP5309,BORROMEO C,17 / 26,MTWR,['y']
ITAL      2,Elementary Italian,10:00am - 10:50am,HSSB 1232,FIORINA C P,19 / 26,MTWR,['y']
ITAL      2,Elementary Italian,1:00pm - 1:50pm,PHELP3523,BORROMEO C,16 / 26,MTWR,['y']
ITAL      2,Elementary Italian,11:00am - 11:50am,SH   1609,FIORINA C P,13 / 26,MTWR,['y']
ITAL      2,Elementary Italian,2:00pm - 2:50pm,HSSB 1223,DAHL SARNELLI,21 / 26,MTWR,['y']
ITAL      3,Elementary Italian,10:00am - 10:50am,HSSB 1228,CRICKETTE M E,26 / 26,MTWR,['y']
ITAL      4,Intermediate Italian,11:00am - 11:50am,NH   1111,PADULA V,14 / 26,MTWR,['y']
ITAL      5,Intermediate Italian,11:00am - 11:50am,PHELP5313,BORROMEO C,15 / 26,MTWR,['y']
ITAL      5,Intermediate Italian,1:00pm - 1:50pm,PHELP2524,DE SIMONE T,15 / 26,MTWR,['y']
ITAL      8A,Italian Conversation,1:00pm - 1:50pm,GIRV 2110,DAHL SARNELLI,12 / 15,M W,['y']
ITAL     16A,Italian for Spanish Speakers I,2:00pm - 2:50pm,HSSB 1227,PATTONE C F,20 / 26,MTWR,['y']
ITAL    102,Advanced Reading and Composition: Medieval and Renaissance Italy,12:30pm - 1:45pm,PHELP5312,FIORINA C P,8 / 16,T R,['y']
ITAL    114X,"Dante's ""Divine Comedy.""",5:00pm - 6:15pm,TD-W 1701,SNYDER J R,70 / 75,T R,['y']
ITAL    119A,The Art of Translation,3:30pm - 4:45pm,PHELP5316,SNYDER J R,10 / 15,T R,['y']
