Code,Title,Time,Location,Professor,Size,Days,Lecture
JAPAN     2,First-Year Japanese II,11:00am - 11:50am,HSSB 1233,CANTRELL A M,23 / 22,MTWRF,['y']
JAPAN     2,First-Year Japanese II,10:00am - 10:50am,HSSB 1211,SHINAGAWA C,23 / 22,MTWRF,['y']
JAPAN     2,First-Year Japanese II,12:00pm - 12:50pm,HSSB 1233,SHINAGAWA C,24 / 22,MTWRF,['y']
JAPAN     2,First-Year Japanese II,1:00pm - 1:50pm,HSSB 1228,CANTRELL A M,23 / 22,MTWRF,['y']
JAPAN     2,First-Year Japanese II,9:00 am - 9:50 am,HSSB 1211,SHINAGAWA C,26 / 22,MTWRF,['y']
JAPAN     5,Second-Year Japanese,10:00am - 10:50am,HSSB 1210,SUGAWARA H,24 / 24,MTWRF,['y']
JAPAN     5,Second-Year Japanese,1:00pm - 1:50pm,HSSB 1233,YAMAUCHI Y,26 / 24,MTWRF,['y']
JAPAN     5,Second-Year Japanese,11:00am - 11:50am,HSSB 1210,SUGAWARA H,23 / 24,MTWRF,['y']
JAPAN    25,Violence and the Japanese State,9:30 am - 10:45am,TD-W 2600,FRUHSTUCK S,21 / 21,T R,['y']
JAPAN    25,Violence and the Japanese State,12:00pm - 12:50pm,HSSB 3202,MOORE K,8 / 7,R,['n']
JAPAN    25,Violence and the Japanese State,1:00pm - 1:50pm,HSSB 1215,MOORE K,7 / 7,R,['n']
JAPAN    25,Violence and the Japanese State,10:00am - 10:50am,HSSB 2201,MOORE K,6 / 7,F,['n']
JAPAN   112,Survey of Modern Japanese Literature,3:30pm - 4:45pm,GIRV 2129,T B A,0 / 40,M W,['y']
JAPAN   120B,Third-Year Japanese II,9:00 am - 9:50 am,HSSB 1227,YAMAUCHI Y,12 / 24,MTWR,['y']
JAPAN   120B,Third-Year Japanese II,11:00am - 11:50am,HSSB 1237,YAMAUCHI Y,21 / 19,MTWR,['y']
JAPAN   134G,Japanese Painting,9:30 am - 10:45am,ARTS 1341,WATTLES M,16 / 15,M W,['y']
JAPAN   134J,Understanding Manga,12:30pm - 1:45pm,ARTS 1341,WATTLES M,17 / 15,M W,['y']
JAPAN   140,Curiosity and Spectacle in Early Modern Japan,2:00pm - 4:50pm,HSSB 2252,FLEMING W,14 / 12,T,['n']
JAPAN   145,Advanced Japanese Readings II,9:30 am - 10:45am,HSSB 2202,LEWALLEN A,11 / 18,M W,['y']
JAPAN   166,The Modern Girl Around the World,11:00am - 12:15pm,TD-W 1701,FRUHSTUCK S,152 / 150,T R,['y']
JAPAN   183,Special Readings in Prewar Japanese Texts,9:30 am - 10:45am,GIRV 2110,FLEMING W,8 / 10,T R,['y']
