Code,Title,Time,Location,Professor,Size,Days,Lecture
ME        6,Basic Electrical and Electronic Circuits,2:00pm - 2:50pm,BIOEN1001,MARKS T G,76 / 97,M W F,['y']
ME        6,Basic Electrical and Electronic Circuits,2:00pm - 4:50pm,ENGR22218,Messages:,16 / 22,T,['n']
ME        6,Basic Electrical and Electronic Circuits,5:00pm - 7:50pm,ENGR22218,Messages:,10 / 22,T,['n']
ME        6,Basic Electrical and Electronic Circuits,3:00pm - 5:50pm,ENGR22218,Messages:,22 / 22,W,['n']
ME        6,Basic Electrical and Electronic Circuits,2:00pm - 4:50pm,ENGR22218,Messages:,22 / 22,R,['n']
ME        6,Basic Electrical and Electronic Circuits,5:00pm - 7:50pm,ENGR22218,Messages:,6 / 22,R,['n']
ME       12,Manufacturing Processes,9:30 am - 10:45am,ENGR22243,FIELDS K,31 / 30,F,['n']
ME       12S,Introduction to Machine Shop,8:00 am - 10:50am,ARTS 0249,FEE CHARGED.,8 / 8,M,['n']
ME       12S,Introduction to Machine Shop,8:00 am - 10:50am,ARTS 0249,FEE CHARGED.,6 / 8,T,['n']
ME       12S,Introduction to Machine Shop,8:00 am - 10:50am,ARTS 0249,FEE CHARGED.,8 / 8,W,['n']
ME       12S,Introduction to Machine Shop,2:00pm - 4:50pm,ARTS 0249,FEE CHARGED.,8 / 8,W,['n']
ME       12S,Introduction to Machine Shop,2:00pm - 4:50pm,ARTS 0249,FEE CHARGED.,8 / 8,R,['n']
ME       15,Strength of Materials,12:00pm - 12:50pm,BUCHN1940,BELTZ G,77 / 110,M W F,['y']
ME       15,Strength of Materials,4:00pm - 4:50pm,GIRV 2115,Messages:,17 / 30,T,['n']
ME       15,Strength of Materials,1:00pm - 1:50pm,ARTS 1353,Messages:,29 / 30,W,['n']
ME       15,Strength of Materials,3:00pm - 3:50pm,HSSB 2202,Messages:,20 / 18,W,['n']
ME       15,Strength of Materials,1:00pm - 1:50pm,PHELP1445,Messages:,11 / 15,F,['n']
ME      102,Finite Elements Analysis of Heat Transfer and Fluid Flow with COMSOL,12:30pm - 1:45pm,ESB  1003,MATTHYS E F,5 / 20,T R,['y']
ME      125EH,Special Topics in Soft Robotics,2:00pm - 3:15pm,PHELP3523,HAWKES E W,14 / 14,M W,['y']
ME      125EY,Special Topics in Biological Computing,3:30pm - 4:45pm,HSSB 1211,YEUNG E H,8 / 16,T R,['y']
ME      125LP,Special Topics in Mechanical Engineering: Intro to Design   Optimization,11:00am - 12:15pm,ESB  1003,MEINHART C,32 / 35,T R,['y']
ME      125SD,Special Topics in Mechanical Engineering,2:00pm - 3:15pm,ENGR22243,DALY S H,17 / 25,T R,['y']
ME      147,Mechatronics Using Labview,3:40pm - 6:40pm,ENGR22133,HARE C,14 / 24,M W,['y']
ME      151B,Thermosciences 2,9:30 am - 10:45am,PSYCH1924,LIAO B,99 / 110,T R,['y']
ME      152B,Fluid Mechanics,11:00am - 11:50am,CHEM 1171,LUZZATTO-FEGI,96 / 110,M W F,['y']
ME      156B,Mechanical Engineering Design-II,11:00am - 12:15pm,WEBB 1100,BEGLEY M R,87 / 90,M W,['y']
ME      158,Computer Aided Design and Manufacturing,2:00pm - 3:15pm,ESB  1003,GREEN R E,34 / 30,T R,['y']
ME      163,Engineering Mechanics: Vibrations,12:30pm - 1:45pm,NH   1006,MEZIC I,98 / 110,T R,['y']
ME      179P,Introduction to Robotics: Planning and Kinematics,9:30 am - 10:45am,ENGR22243,BULLO F,22 / 25,T R,['y']
ME      186,Manufacturing and Materials,9:30 am - 10:45am,PHELP1417,LEVI C G,0 / 0,T R,['y']
ME      186A,Manufacturing and Materials,9:30 am - 10:45am,PHELP1417,LEVI C G,10 / 10,T R,['y']
ME      189B,Capstone Mechanical Engineering Design Project,1:00pm - 1:50pm,WEBB 1100,SUSKO T G,86 / 90,M,['n']
ME      189B,Capstone Mechanical Engineering Design Project,1:00pm - 1:50pm,ENGR22243,FEE CHARGED.,86 / 90,W F,['y']
