Code,Title,Time,Location,Professor,Size,Days,Lecture
PHYS CS  15B,Experimental Physics,2:00pm - 2:50pm,PHELP3505,T B A,12 / 12,W,['n']
PHYS CS  15B,Experimental Physics,3:30pm - 5:50pm,BRDA 3314,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,12 / 12,W,['n']
PHYS CS  15B,Experimental Physics,3:00pm - 5:50pm,BRDA 3314,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,12 / 12,F,['n']
PHYS CS  15B,Experimental Physics,2:00pm - 2:50pm,SSMS 1301,T B A,13 / 11,W,['n']
PHYS CS  15B,Experimental Physics,3:30pm - 5:50pm,BRDA 3314,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,13 / 11,F,['n']
PHYS CS  15B,Experimental Physics,3:00pm - 5:50pm,BRDA 3314,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,13 / 11,F,['n']
PHYS CS  32,Mechanics and Waves,3:30pm - 4:45pm,HSSB 1210,T B A,14 / 25,T R,['y']
PHYS CS  32,Mechanics and Waves,1:00pm - 2:50pm,BUCHN1934,INSTRUCTOR APPROVAL REQUIRED TO FINALIZE REGISTRATION.,14 / 25,W,['n']
PHYS CS  32,Mechanics and Waves,3:00pm - 4:50pm,BUCHN1934,INSTRUCTOR APPROVAL REQUIRED TO FINALIZE REGISTRATION.,14 / 25,W,['n']
PHYS CS  35,Electromagnetics and Optics,9:00 am - 10:50am,GIRV 1106,T B A,25 / 25,R,['n']
PHYS CS  35,Electromagnetics and Optics,1:00pm - 2:50pm,HSSB 2202,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.  INSTRUCTOR APPROVAL REQUIRED TO FINALIZE REGISTRATION.,25 / 25,R,['n']
PHYS CS  35,Electromagnetics and Optics,3:30pm - 4:45pm,GIRV 2124,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.  INSTRUCTOR APPROVAL REQUIRED TO FINALIZE REGISTRATION.,25 / 25,T R,['y']
PHYS CS 140,Special Topics,2:00pm - 3:50pm,387  1015,T B A,14 / 25,F,['n']
