Code,Title,Time,Location,Professor,Size,Days,Lecture
POL S     1,Introduction to Political Philosophy,11:00am - 12:15pm,GIRV 1004,NORRIS A,187 / 185,M W,['y']
POL S     1,Introduction to Political Philosophy,1:00pm - 1:50pm,HSSB 1227,ZAMORA M N,25 / 24,T,['n']
POL S     1,Introduction to Political Philosophy,2:00pm - 2:50pm,HSSB 1214,ZAMORA M N,20 / 22,T,['n']
POL S     1,Introduction to Political Philosophy,3:00pm - 3:50pm,HSSB 3201,ZAMORA M N,21 / 21,T,['n']
POL S     1,Introduction to Political Philosophy,5:00pm - 5:50pm,HSSB 3202,LABARRE J,20 / 21,T,['n']
POL S     1,Introduction to Political Philosophy,5:00pm - 5:50pm,HSSB 1224,LABARRE J,18 / 18,W,['n']
POL S     1,Introduction to Political Philosophy,8:00 am - 8:50 am,HSSB 3202,OSAILAN K Z,22 / 20,R,['n']
POL S     1,Introduction to Political Philosophy,5:00pm - 5:50pm,HSSB 3202,OSAILAN K Z,20 / 20,R,['n']
POL S     1,Introduction to Political Philosophy,4:00pm - 4:50pm,HSSB 2201,LABARRE J,20 / 18,F,['n']
POL S     1,Introduction to Political Philosophy,6:00pm - 6:50pm,HSSB 4202,OSAILAN K Z,21 / 21,W,['n']
POL S     7,Introduction to International Relations,9:30 am - 10:45am,BUCHN1940,MORSE J C,119 / 120,T R,['y']
POL S     7,Introduction to International Relations,8:00 am - 8:50 am,GIRV 1108,SIRAPRAPASIRI,20 / 20,W,['n']
POL S     7,Introduction to International Relations,9:00 am - 9:50 am,PHELP1440,SIRAPRAPASIRI,20 / 20,W,['n']
POL S     7,Introduction to International Relations,4:00pm - 4:50pm,HSSB 4201,SIRAPRAPASIRI,20 / 20,F,['n']
POL S     7,Introduction to International Relations,1:00pm - 1:50pm,HSSB 3202,YE L,18 / 20,R,['n']
POL S     7,Introduction to International Relations,2:00pm - 2:50pm,HSSB 4201,YE L,21 / 21,R,['n']
POL S     7,Introduction to International Relations,7:00pm - 7:50pm,HSSB 2201,YE L,20 / 20,M,['n']
POL S    12,American Government and Politics,9:30 am - 10:45am,HFH  1104,MEYER-GUTBROD,176 / 180,M W,['y']
POL S    12,American Government and Politics,12:00pm - 12:50pm,PHELP3523,ISIK S,19 / 20,T,['n']
