Code,Title,Time,Location,Professor,Size,Days,Lecture
PSTAT     5A,Statistics,9:00 am - 9:50 am,MUSICLLCH,SWENSON J S,450 / 450,M W F,['y']
PSTAT     5A,Statistics,8:00 am - 8:50 am,SSMS 1301,Messages:,25 / 25,W,['n']
PSTAT     5A,Statistics,8:00 am - 8:50 am,SSMS 1301,Messages:,25 / 25,F,['n']
PSTAT     5A,Statistics,1:00pm - 1:50pm,SSMS 1304,Messages:,25 / 25,M,['n']
PSTAT     5A,Statistics,1:00pm - 1:50pm,SSMS 1304,Messages:,25 / 25,W,['n']
PSTAT     5A,Statistics,7:00pm - 7:50pm,SSMS 1302,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,7:00pm - 7:50pm,SSMS 1302,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,12:00pm - 12:50pm,PHELP1513,Messages:,25 / 25,M W,['y']
PSTAT     5A,Statistics,4:00pm - 4:50pm,PSY-E1805,Messages:,25 / 25,T R,['y']
PSTAT     5A,Statistics,7:00pm - 7:50pm,SSMS 1301,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,7:00pm - 7:50pm,SSMS 1301,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,7:00pm - 7:50pm,SSMS 1304,Messages:,25 / 25,M,['n']
PSTAT     5A,Statistics,7:00pm - 7:50pm,SSMS 1304,Messages:,25 / 25,W,['n']
PSTAT     5A,Statistics,8:00 am - 8:50 am,SSMS 1303,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,8:00 am - 8:50 am,SSMS 1303,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,3:00pm - 3:50pm,PHELP1526,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,3:00pm - 3:50pm,PHELP1526,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,1:00pm - 1:50pm,SSMS 1303,Messages:,25 / 25,M,['n']
PSTAT     5A,Statistics,1:00pm - 1:50pm,SSMS 1303,Messages:,25 / 25,W,['n']
PSTAT     5A,Statistics,4:00pm - 4:50pm,PHELP1526,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,4:00pm - 4:50pm,PHELP1526,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,2:00pm - 2:50pm,SSMS 1303,Messages:,25 / 25,M,['n']
PSTAT     5A,Statistics,2:00pm - 2:50pm,SSMS 1303,Messages:,25 / 25,W,['n']
PSTAT     5A,Statistics,4:00pm - 4:50pm,PHELP1529,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,4:00pm - 4:50pm,PHELP1529,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,5:00pm - 5:50pm,PHELP1525,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,5:00pm - 5:50pm,PHELP1525,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,8:00 am - 8:50 am,SSMS 1302,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,8:00 am - 8:50 am,SSMS 1302,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,6:00pm - 6:50pm,SSMS 1302,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,6:00pm - 6:50pm,SSMS 1302,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,5:00pm - 5:50pm,SSMS 1303,Messages:,25 / 25,T,['n']
PSTAT     5A,Statistics,5:00pm - 5:50pm,SSMS 1301,Messages:,25 / 25,R,['n']
PSTAT     5A,Statistics,10:00am - 10:50am,SSMS 1303,Messages:,25 / 25,M,['n']
PSTAT     5A,Statistics,10:00am - 10:50am,SSMS 1303,Messages:,25 / 25,W,['n']
PSTAT     5H,"Honors Seminar, Statistics",5:00pm - 5:50pm,PHELP1444,SWENSON J S,29 / 30,W,['n']
PSTAT     5LS,Statistics for Life Sciences,8:00 am - 8:50 am,MUSICLLCH,SWENSON J S,261 / 350,M W F,['y']
PSTAT     5LS,Statistics for Life Sciences,12:00pm - 12:50pm,SSMS 1304,Messages:,24 / 25,M W,['y']
PSTAT     5LS,Statistics for Life Sciences,1:00pm - 1:50pm,PHELP1514,Messages:,25 / 25,M W,['y']
PSTAT     5LS,Statistics for Life Sciences,2:00pm - 2:50pm,PHELP1518,Messages:,25 / 25,M W,['y']
PSTAT     5LS,Statistics for Life Sciences,3:00pm - 3:50pm,SSMS 1303,Messages:,21 / 25,M W,['y']
PSTAT     5LS,Statistics for Life Sciences,5:00pm - 5:50pm,PHELP1513,Messages:,17 / 25,M W,['y']
PSTAT     5LS,Statistics for Life Sciences,9:00 am - 9:50 am,SSMS 1302,Messages:,21 / 25,T R,['y']
PSTAT     5LS,Statistics for Life Sciences,10:00am - 10:50am,SSMS 1302,Messages:,25 / 25,T R,['y']
PSTAT     5LS,Statistics for Life Sciences,2:00pm - 2:50pm,SSMS 1007,Messages:,24 / 25,T R,['y']
PSTAT     5LS,Statistics for Life Sciences,5:00pm - 5:50pm,SSMS 1007,Messages:,22 / 25,T R,['y']
PSTAT     5LS,Statistics for Life Sciences,6:00pm - 6:50pm,SSMS 1007,Messages:,16 / 25,T R,['y']
PSTAT     5LS,Statistics for Life Sciences,5:00pm - 5:50pm,SSMS 1007,Messages:,16 / 25,M W,['y']
PSTAT     5LS,Statistics for Life Sciences,9:00 am - 9:50 am,PHELP1526,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,11:00am - 11:50am,IV   THEA1,HOLMES D E,325 / 325,M W F,['y']
PSTAT    10,Introduction to Computing for Data Science,9:00 am - 9:50 am,PHELP1526,Messages:,24 / 25,T R,['y']
PSTAT    10,Introduction to Computing for Data Science,9:00 am - 9:50 am,PSY-E1806,Messages:,25 / 25,T R,['y']
PSTAT    10,Introduction to Computing for Data Science,11:00am - 11:50am,SSMS 1301,Messages:,25 / 25,T R,['y']
PSTAT    10,Introduction to Computing for Data Science,1:00pm - 1:50pm,SSMS 1301,Messages:,25 / 25,T R,['y']
PSTAT    10,Introduction to Computing for Data Science,2:00pm - 2:50pm,PHELP1526,Messages:,25 / 25,T R,['y']
PSTAT    10,Introduction to Computing for Data Science,5:00pm - 5:50pm,SSMS 1304,Messages:,25 / 25,T R,['y']
PSTAT    10,Introduction to Computing for Data Science,3:00pm - 3:50pm,SSMS 1302,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,1:00pm - 1:50pm,PHELP1526,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,2:00pm - 2:50pm,PSY-E1806,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,2:00pm - 2:50pm,SSMS 1304,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,5:00pm - 5:50pm,SSMS 1302,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,7:00pm - 7:50pm,SSMS 1301,Messages:,25 / 25,M W,['y']
PSTAT    10,Introduction to Computing for Data Science,1:00pm - 1:50pm,SSMS 1302,Messages:,26 / 25,T R,['y']
PSTAT   109,Statistics for Economics,8:00 am - 8:50 am,BRDA 1610,NAVA M M,260 / 275,M W F,['y']
PSTAT   109,Statistics for Economics,7:00pm - 7:50pm,SSMS 1303,Messages:,25 / 26,M,['n']
PSTAT   109,Statistics for Economics,7:00pm - 7:50pm,SSMS 1303,Messages:,25 / 26,W,['n']
PSTAT   109,Statistics for Economics,5:00pm - 5:50pm,SSMS 1301,Messages:,26 / 26,M,['n']
PSTAT   109,Statistics for Economics,5:00pm - 5:50pm,PHELP1526,Messages:,26 / 26,W,['n']
PSTAT   109,Statistics for Economics,12:00pm - 12:50pm,SSMS 1303,Messages:,26 / 26,W,['n']
PSTAT   109,Statistics for Economics,12:00pm - 12:50pm,PHELP1526,Messages:,26 / 26,F,['n']
PSTAT   109,Statistics for Economics,11:00am - 11:50am,SSMS 1303,Messages:,27 / 26,M,['n']
PSTAT   109,Statistics for Economics,11:00am - 11:50am,SSMS 1303,Messages:,27 / 26,W,['n']
PSTAT   109,Statistics for Economics,4:00pm - 4:50pm,SSMS 1302,Messages:,26 / 26,M,['n']
PSTAT   109,Statistics for Economics,4:00pm - 4:50pm,SSMS 1301,Messages:,26 / 26,W,['n']
PSTAT   109,Statistics for Economics,3:00pm - 3:50pm,SSMS 1007,Messages:,26 / 26,T,['n']
PSTAT   109,Statistics for Economics,3:00pm - 3:50pm,SSMS 1007,Messages:,26 / 26,R,['n']
PSTAT   109,Statistics for Economics,7:00pm - 7:50pm,SSMS 1302,Messages:,0 / 0,M,['n']
PSTAT   109,Statistics for Economics,7:00pm - 7:50pm,SSMS 1302,Messages:,0 / 0,W,['n']
