Code,Title,Time,Location,Professor,Size,Days,Lecture
PSY       1,Introduction to Psychology,12:30pm - 1:45pm,CAMPBHALL,ETTENBERG A,707 / 720,T R,['y']
PSY       1,Introduction to Psychology,8:00 am - 9:15 am,GIRV 1112,Messages:,29 / 30,T,['n']
PSY       1,Introduction to Psychology,9:30 am - 10:45am,PHELP2524,Messages:,29 / 30,T,['n']
PSY       1,Introduction to Psychology,9:30 am - 10:45am,ARTS 1356,Messages:,30 / 30,T,['n']
PSY       1,Introduction to Psychology,11:00am - 12:15pm,ARTS 1356,Messages:,30 / 30,T,['n']
PSY       1,Introduction to Psychology,5:00pm - 6:15pm,387  1011,Messages:,30 / 30,T,['n']
PSY       1,Introduction to Psychology,5:00pm - 6:15pm,PHELP1440,Messages:,30 / 30,R,['n']
PSY       1,Introduction to Psychology,3:30pm - 4:45pm,ARTS 1353,Messages:,30 / 30,T,['n']
PSY       1,Introduction to Psychology,5:00pm - 6:15pm,ARTS 1349,Messages:,30 / 30,T,['n']
PSY       1,Introduction to Psychology,8:00 am - 9:15 am,GIRV 1119,Messages:,27 / 30,W,['n']
PSY       1,Introduction to Psychology,6:30pm - 7:45pm,NH   1111,Messages:,30 / 30,R,['n']
PSY       1,Introduction to Psychology,11:00am - 12:15pm,GIRV 2124,Messages:,30 / 30,T,['n']
PSY       1,Introduction to Psychology,11:00am - 12:15pm,PHELP3505,Messages:,30 / 30,W,['n']
PSY       1,Introduction to Psychology,11:00am - 12:15pm,GIRV 2129,Messages:,30 / 30,W,['n']
PSY       1,Introduction to Psychology,2:00pm - 3:15pm,TD-W 2600,Messages:,30 / 30,W,['n']
PSY       1,Introduction to Psychology,3:30pm - 4:45pm,ARTS 1349,Messages:,30 / 30,W,['n']
PSY       1,Introduction to Psychology,5:00pm - 6:15pm,ARTS 1353,Messages:,29 / 30,W,['n']
PSY       1,Introduction to Psychology,8:00 am - 9:15 am,GIRV 1112,Messages:,29 / 30,R,['n']
PSY       1,Introduction to Psychology,9:30 am - 10:45am,PHELP2524,Messages:,30 / 30,R,['n']
PSY       1,Introduction to Psychology,9:30 am - 10:45am,ARTS 1356,Messages:,30 / 30,R,['n']
PSY       1,Introduction to Psychology,11:00am - 12:15pm,ARTS 1356,Messages:,30 / 30,R,['n']
PSY       1,Introduction to Psychology,8:00 am - 9:15 am,GIRV 1115,Messages:,27 / 30,W,['n']
PSY       1,Introduction to Psychology,8:00 am - 9:15 am,GIRV 1115,Messages:,29 / 30,R,['n']
PSY       1,Introduction to Psychology,3:30pm - 4:45pm,PHELP2516,Messages:,30 / 30,R,['n']
PSY       1,Introduction to Psychology,3:30pm - 4:45pm,ARTS 1353,Messages:,29 / 30,R,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,8:00 am - 9:15 am,NH   1006,ALBADA N A,120 / 125,M W,['y']
PSY      10A,Research Methods in Psychological & Brain Sciences,10:00am - 11:50am,PSY-E2822,Messages:,24 / 25,W,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,12:00pm - 1:50pm,PSY-E2822,Messages:,22 / 25,W,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,9:00 am - 10:50am,PSY-E2822,Messages:,25 / 25,R,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,1:00pm - 2:50pm,PSY-E2822,Messages:,25 / 25,R,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,5:00pm - 6:50pm,PSY-E2822,Messages:,23 / 25,R,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,11:00am - 12:15pm,BUCHN1920,ALBADA N A,48 / 50,M W,['y']
PSY      10A,Research Methods in Psychological & Brain Sciences,4:00pm - 5:50pm,PSY-E2822,Messages:,25 / 25,W,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,11:00am - 12:50pm,PSY-E2822,Messages:,23 / 25,R,['n']
PSY      10A,Research Methods in Psychological & Brain Sciences,3:00pm - 4:50pm,PSY-E2822,Messages:,0 / 25,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,8:00 am - 9:15 am,IV   THEA2,HONG Y,115 / 125,T R,['y']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,11:00am - 12:50pm,PHELP1513,Messages:,24 / 24,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,1:00pm - 2:50pm,PHELP1525,Messages:,24 / 25,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,3:00pm - 4:50pm,PHELP1518,Messages:,24 / 25,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,5:00pm - 6:50pm,PHELP1518,Messages:,21 / 25,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,9:00 am - 10:50am,PHELP1518,Messages:,22 / 25,F,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,9:30 am - 10:45am,NH   1006,ALBADA N A,94 / 100,T R,['y']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,11:00am - 12:50pm,PHELP1525,Messages:,23 / 25,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,3:00pm - 4:50pm,PHELP1525,Messages:,25 / 25,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,1:00pm - 2:50pm,PSY-E1806,Messages:,21 / 24,R,['n']
PSY      10B,Statistical Methods in Psychological & Brain Sciences,9:00 am - 10:50am,PHELP1525,Messages:,25 / 25,F,['n']
PSY      90B,First-Level Honors Seminar,11:00am - 12:50pm,PSY-E1312,CONROY-BEAM D,14 / 20,M,['n']
PSY     101,Health Psychology,2:00pm - 3:15pm,IV   THEA2,SHERMAN D A,158 / 159,T R,['y']
PSY     105,Introduction to Developmental Psychology,12:30pm - 1:45pm,BUCHN1910,LIBERMAN Z E,320 / 325,T R,['y']
PSY     106,Introduction to Biopsychology,3:30pm - 4:45pm,HFH  1104,THAYER B S,185 / 203,M W,['y']
PSY     111,Fundamentals of Behavioral Neuroscience,11:00am - 12:15pm,PHELP3515,PADILLA-GARCI,81 / 86,M W,['y']
PSY     113L,Laboratory in Brain Cell Analysis,9:00 am - 10:50am,CHEM 1171,JANUSONIS S,53 / 96,F,['n']
PSY     113L,Laboratory in Brain Cell Analysis,1:00pm - 3:50pm,PSY-E1806,Messages:,20 / 25,T,['n']
PSY     113L,Laboratory in Brain Cell Analysis,1:00pm - 3:50pm,PHELP1518,Messages:,0 / 24,T,['n']
PSY     113L,Laboratory in Brain Cell Analysis,10:00am - 12:50pm,PHELP1517,Messages:,24 / 24,W,['n']
PSY     113L,Laboratory in Brain Cell Analysis,10:00am - 12:50pm,PSY-E1806,Messages:,9 / 24,R,['n']
PSY     116,Learning,12:30pm - 1:45pm,PSYCH1902,KEIFLIN R P,84 / 84,M W,['y']
PSY     120L,Laboratory in Advanced Research Methods,2:00pm - 3:50pm,TD-W 1701,WOODS V E,112 / 120,M,['n']
PSY     120L,Laboratory in Advanced Research Methods,9:00 am - 11:50am,PHELP1513,FEE CHARGED.,20 / 20,T,['n']
PSY     120L,Laboratory in Advanced Research Methods,12:00pm - 2:50pm,PHELP1513,FEE CHARGED.,17 / 20,T,['n']
PSY     120L,Laboratory in Advanced Research Methods,3:00pm - 5:50pm,PHELP1513,FEE CHARGED.,15 / 20,T,['n']
