Code,Title,Time,Location,Professor,Size,Days,Lecture
SOC       1,Introduction to Sociology,9:30 am - 10:45am,IV   THEA1,WINANT H,521 / 524,T R,['y']
SOC       1,Introduction to Sociology,9:00 am - 9:50 am,PHELP1448,YANG RUJUN,24 / 24,F,['n']
SOC       1,Introduction to Sociology,3:00pm - 3:50pm,PHELP2514,MOORE N N,24 / 24,M,['n']
SOC       1,Introduction to Sociology,11:00am - 11:50am,GIRV 2127,YANG RUJUN,24 / 24,F,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,HSSB 1228,WONG Y A,22 / 24,M,['n']
SOC       1,Introduction to Sociology,7:00pm - 7:50pm,PHELP1445,MOORE N N,24 / 24,T,['n']
SOC       1,Introduction to Sociology,4:00pm - 4:50pm,PHELP3519,STIEFEL M S,24 / 24,W,['n']
SOC       1,Introduction to Sociology,12:00pm - 12:50pm,PHELP2514,YANG RUJUN,24 / 24,F,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,HSSB 1227,CLEGG M B,24 / 24,M,['n']
SOC       1,Introduction to Sociology,5:00pm - 5:50pm,NH   1109,MAGANA A,23 / 24,R,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,HSSB 4202,STIEFEL M S,24 / 24,M,['n']
SOC       1,Introduction to Sociology,3:00pm - 3:50pm,HSSB 1232,FARLEY N A,24 / 24,M,['n']
SOC       1,Introduction to Sociology,7:00pm - 7:50pm,PHELP2532,MAGANA A,24 / 24,T,['n']
SOC       1,Introduction to Sociology,7:00pm - 7:50pm,HSSB 4201,WONG Y A,24 / 24,M,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,HSSB 1214,WONG Y A,24 / 24,F,['n']
SOC       1,Introduction to Sociology,7:00pm - 7:50pm,HSSB 2251,BRAZZELL M S,24 / 24,W,['n']
SOC       1,Introduction to Sociology,7:00pm - 7:50pm,SH   1609,STIEFEL M S,24 / 24,R,['n']
SOC       1,Introduction to Sociology,8:00pm - 8:50pm,HSSB 3201,BRAZZELL M S,24 / 24,W,['n']
SOC       1,Introduction to Sociology,9:00 am - 9:50 am,GIRV 2116,FARLEY N A,24 / 24,M,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,HSSB 4201,BRAZZELL M S,24 / 24,M,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,HSSB 3202,FARLEY N A,23 / 23,M,['n']
SOC       1,Introduction to Sociology,8:00 am - 8:50 am,LSB  1101,STIEFEL M S,23 / 23,W,['n']
SOC       1,Introduction to Sociology,12:00pm - 12:50pm,GIRV 2115,MOORE N N,22 / 23,M,['n']
SOC       1H,Introduction to Sociology - Honors,12:00pm - 12:50pm,GIRV 2135,WINANT H,4 / 15,W,['n']
SOC      91,Experiential Learning in Sociology,1:00pm - 1:50pm,SSMS 3017,LUNA Z T,11 / 20,F,['n']
SOC     108,Methods of Sociological Research,8:00 am - 9:15 am,SSMS 1303&,CHARLES M,53 / 55,M W,['y']
SOC     108,Methods of Sociological Research,9:00 am - 9:50 am,SSMS 1005,CORNELL D J,14 / 14,F,['n']
SOC     108,Methods of Sociological Research,9:00 am - 9:50 am,SSMS 1007,KULICK A T,13 / 14,F,['n']
SOC     108,Methods of Sociological Research,10:00am - 10:50am,SSMS 1005,CORNELL D J,14 / 14,F,['n']
SOC     108,Methods of Sociological Research,10:00am - 10:50am,SSMS 1007,KULICK A T,12 / 13,F,['n']
SOC     108A,Sociology Research Traditions,8:00 am - 9:15 am,TD-W 2600,MANSKI B R,59 / 60,T R,['y']
SOC     108A,Sociology Research Traditions,8:00 am - 8:50 am,HSSB 3202,MALDONADO A,15 / 15,F,['n']
SOC     108A,Sociology Research Traditions,9:00 am - 9:50 am,HSSB 1206,CARNEY N C,15 / 15,F,['n']
SOC     108A,Sociology Research Traditions,10:00am - 10:50am,HSSB 1227,MALDONADO A,15 / 15,F,['n']
SOC     108A,Sociology Research Traditions,10:00am - 10:50am,HSSB 1224,CARNEY N C,14 / 15,F,['n']
SOC     108C,Methods of Cultural Analysis,8:00 am - 9:15 am,ED   1213,TOBER T L,63 / 60,M W,['y']
SOC     108C,Methods of Cultural Analysis,8:00 am - 8:50 am,GIRV 2110,GONZALES G G,15 / 15,F,['n']
SOC     108C,Methods of Cultural Analysis,9:00 am - 9:50 am,HSSB 4201,GONZALES G G,16 / 15,F,['n']
SOC     108C,Methods of Cultural Analysis,11:00am - 11:50am,HSSB 1231,SORIN C R,16 / 15,F,['n']
SOC     108C,Methods of Cultural Analysis,12:00pm - 12:50pm,HSSB 1207,SORIN C R,16 / 15,F,['n']
SOC     108ST,Special Topics in Methods,3:30pm - 4:45pm,PHELP2516,FURIA S R,59 / 60,M W,['y']
SOC     108ST,Special Topics in Methods,9:00 am - 9:50 am,GIRV 2110,OTA K H,14 / 15,F,['n']
SOC     108ST,Special Topics in Methods,10:00am - 10:50am,HSSB 1223,OTA K H,15 / 15,F,['n']
SOC     108ST,Special Topics in Methods,11:00am - 11:50am,HSSB 1228,UNDEN M C,15 / 15,F,['n']
SOC     108ST,Special Topics in Methods,12:00pm - 12:50pm,HSSB 1206,UNDEN M C,15 / 15,F,['n']
SOC     118B,Sociology of the Body,2:00pm - 3:15pm,BRDA 1640,TWINE F W,60 / 90,T R,['y']
SOC     118C,Sociology of Culture,12:30pm - 1:45pm,PHELP1260,CRUZ J D,87 / 90,M W,['y']
SOC     122,Social Stratification,11:00am - 12:15pm,HSSB 1174,TOBER T L,83 / 80,M W,['y']
SOC     130ME,Development and Social Change in the Middle East,8:00 am - 9:15 am,WEBB 1100,ANDERSON KE B,81 / 90,M W,['y']
SOC     130SG,Sociology of Globalization,7:00pm - 9:50pm,HFH  1104,ROBINSON W I,186 / 180,W,['n']
SOC     134A,Activism,3:30pm - 4:45pm,HSSB 1174,FORAN J F,93 / 90,T R,['y']
SOC     134N,Social Movements and Networks,11:00am - 12:15pm,BIOEN1001,FRIEDKIN N E,0 / 80,T R,['y']
SOC     136A,The Analysis of Conversational Interaction,12:30pm - 1:45pm,PHELP1260,WHITEHEAD K A,79 / 80,T R,['y']
SOC     136A,The Analysis of Conversational Interaction,9:00 am - 9:50 am,SSMS 3410,WHITEHEAD K A,19 / 20,W,['n']
SOC     136A,The Analysis of Conversational Interaction,10:00am - 10:50am,SSMS 3410,WHITEHEAD K A,20 / 20,W,['n']
SOC     136A,The Analysis of Conversational Interaction,11:00am - 11:50am,SSMS 3410,WHITEHEAD K A,20 / 20,W,['n']
SOC     136A,The Analysis of Conversational Interaction,1:00pm - 1:50pm,SSMS 3410,WHITEHEAD K A,20 / 20,W,['n']
SOC     139RN,"Special Topics in Race, Ethnicity, and Nation",6:00pm - 8:50pm,SH   1431,LOE-STERPHONE,86 / 90,T,['n']
