Code,Title,Time,Location,Professor,Size,Days,Lecture
SPAN      1,Elementary Spanish I,10:00am - 10:50am,PHELP2536,CENICEROS R C,24 / 25,MTWR,['y']
SPAN      1,Elementary Spanish I,9:00 am - 9:50 am,HSSB 1232,MARQUES-PASCU,24 / 25,MTWR,['y']
SPAN      1,Elementary Spanish I,8:00 am - 8:50 am,GIRV 2123,MARQUES-PASCU,20 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,9:00 am - 9:50 am,HSSB 1236,FIGUEREDO O O,21 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,3:00pm - 3:50pm,GIRV 2123,MARQUES-PASCU,23 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,10:00am - 10:50am,SH   1609,FIGUEREDO O O,23 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,9:00 am - 9:50 am,NH   1111,CENICEROS R C,22 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,12:00pm - 12:50pm,SH   1609,CENICEROS R C,25 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,9:00 am - 9:50 am,HSSB 1233,MARQUES-PASCU,18 / 25,MTWR,['y']
SPAN      2,Elementary Spanish II,8:00 am - 8:50 am,PHELP1508,MARQUES-PASCU,17 / 25,MTWR,['y']
SPAN      3,Elementary Spanish III,11:00am - 11:50am,GIRV 2116,MARQUES-PASCU,21 / 25,MTWR,['y']
SPAN      3,Elementary Spanish III,9:00 am - 9:50 am,HSSB 1237,MARQUES-PASCU,14 / 25,MTWR,['y']
SPAN      3,Elementary Spanish III,1:00pm - 1:50pm,PHELP2536,MARQUES-PASCU,22 / 25,MTWR,['y']
SPAN      3,Elementary Spanish III,2:00pm - 2:50pm,HSSB 1232,MARQUES-PASCU,20 / 25,MTWR,['y']
SPAN      3HY,Accelerated Elementary Spanish II,8:00 am - 8:50 am,PHELP1530,CANTO CARRILL,8 / 25,M W F,['y']
SPAN      4,Intermediate Spanish I,2:00pm - 2:50pm,GIRV 2115,MARQUES-PASCU,21 / 23,MTWR,['y']
SPAN      4,Intermediate Spanish I,12:00pm - 12:50pm,HSSB 2251,FIGUEREDO O O,22 / 23,MTWR,['y']
SPAN      5,Intermediate Spanish II,9:00 am - 9:50 am,HSSB 1231,MARQUES-PASCU,23 / 23,MTWR,['y']
SPAN      5,Intermediate Spanish II,10:00am - 10:50am,HSSB 2251,FERNANDEZ L,24 / 23,MTWR,['y']
