Code,Title,Time,Location,Professor,Size,Days,Lecture
THTR      1,Play Analysis,3:30pm - 4:45pm,TD-W 1701,JORGENSEN E M,144 / 150,T R,['y']
THTR      1,Play Analysis,2:00pm - 2:50pm,PHELP3523,VALENCIA RAMI,39 / 38,T,['n']
THTR      1,Play Analysis,2:00pm - 2:50pm,PHELP3523,VALENCIA RAMI,37 / 38,R,['n']
THTR      1,Play Analysis,9:00 am - 9:50 am,GIRV 2112,MANCINI D G,35 / 37,T,['n']
THTR      1,Play Analysis,9:00 am - 9:50 am,387  1015,MANCINI D G,33 / 37,R,['n']
THTR      5,Introduction To Acting,1:00pm - 2:50pm,TD-E 1101,CLAVERIA A J,16 / 18,M W,['y']
THTR      5,Introduction To Acting,10:00am - 11:50am,TD-W 1703,CLAVERIA A J,16 / 18,T R,['y']
THTR      5,Introduction To Acting,12:00pm - 1:50pm,TD-W 1703,CLAVERIA A J,16 / 18,T R,['y']
THTR      5,Introduction To Acting,9:00 am - 10:50am,TD-E 1101,PLASENCIA M,19 / 18,T R,['y']
THTR      5,Introduction To Acting,12:00pm - 1:50pm,HSSB 1143,PLASENCIA M,16 / 18,T R,['y']
THTR      5,Introduction To Acting,10:00am - 11:50am,HSSB 1143,VALADEZ J V,14 / 18,M W,['y']
THTR      5,Introduction To Acting,12:00pm - 1:50pm,HSSB 1143,VALADEZ J V,16 / 18,M W,['y']
THTR     10B,Movement For The Stage,2:00pm - 3:15pm,HSSB 1143,STEIN D A,12 / 20,M W,['y']
THTR     11B,Voice Laboratory,11:00am - 12:15pm,TD-W 1507,MORGAN M,12 / 20,M W,['y']
THTR     15B,Fundamentals of Acting,11:00am - 12:50pm,TD-W 1507,WHITAKER T O,12 / 20,T,['n']
THTR     15B,Fundamentals of Acting,11:00am - 1:50pm,TD-W 1507,DEPT. APPROVAL REQUIRED PRIOR TO REGISTRATION.  INSTRUCTOR APPROVAL REQUIRED PRIOR TO REGISTRATION.,12 / 20,R,['n']
THTR     23,Stage Lighting Design,11:00am - 12:50pm,TD-W 1530,SCOTT V,25 / 25,T R,['y']
THTR     25,Costume Design,1:00pm - 2:50pm,TD-W 1530,BRUICE A M,19 / 20,T R,['y']
THTR     29A,Scenic Practicum,1:00pm - 2:50pm,TD-E 1119,SCOTT V,6 / 4,T R,['y']
THTR     29A,Scenic Practicum,3:00pm - 4:50pm,TD-E 1119,SCOTT V,3 / 4,T R,['y']
THTR     29B,Lighting Practicum,1:00pm - 2:50pm,TD-E 1119,SCOTT V,3 / 4,T R,['y']
THTR     29B,Lighting Practicum,3:00pm - 4:50pm,TD-E 1119,SCOTT V,6 / 4,T R,['y']
THTR     29C,Costume Practicum,1:00pm - 2:50pm,TD-E 1313,SCOTT V,6 / 4,T R,['y']
THTR     29C,Costume Practicum,3:00pm - 4:50pm,TD-E 1313,SCOTT V,6 / 4,T R,['y']
THTR     40,Theater Games,9:00 am - 10:50am,TD-W 1703,BERNARD M A,20 / 20,M W,['y']
THTR     42,I.V. Live,10:00am - 10:50am,TD-E 2609,ALBANESE A E,4 / 8,T,['n']
THTR     42,I.V. Live,6:00pm - 11:50pm,EMBARHALL,Messages:,4 / 8,F,['n']
THTR    104A,Playwriting Workshop,11:00am - 12:50pm,HSSB 1105,MORTON C,8 / 15,T R,['y']
THTR    110B,Advanced Movement For The Stage,11:00am - 12:50pm,TD-E 1101,STEIN D A,11 / 15,M W,['y']
THTR    111B,Advanced Voice Laboratory,9:30 am - 10:45am,TD-W 1507,MORGAN M,11 / 20,M W,['y']
THTR    122,Advanced Scenic Design,1:00pm - 2:50pm,TD-W 1530,MITCHELL G M,9 / 20,T R,['y']
THTR    140A,Advanced Acting Workshop I,11:00am - 12:50pm,TD-W 1703,BERNARD M A,20 / 20,M W,['y']
THTR    142,I.V. Live,10:00am - 10:50am,TD-E 2609,ALBANESE A E,14 / 12,T,['n']
