Code,Title,Time,Location,Professor,Size,Days,Lecture
ANTH      2,Introductory Cultural Anthropology,2:00pm - 3:15pm,IV   THEA1,WADE M L,506 / 528,M W,['y']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1237,MELTON M A,22 / 24,W,['n']
ANTH      2,Introductory Cultural Anthropology,5:00pm - 5:50pm,HSSB 4201,IOANNIDES M J,23 / 24,M,['n']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1237,SMYTH L M,24 / 24,R,['n']
ANTH      2,Introductory Cultural Anthropology,12:00pm - 12:50pm,HSSB 1232,PRENTICE WALZ,24 / 24,F,['n']
ANTH      2,Introductory Cultural Anthropology,2:00pm - 2:50pm,HSSB 1215,MCCOOL W C,24 / 24,T,['n']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1236,GONZALEZ T A,24 / 24,W,['n']
ANTH      2,Introductory Cultural Anthropology,5:00pm - 5:50pm,NH   1111,BROWN K M,21 / 24,W,['n']
ANTH      2,Introductory Cultural Anthropology,10:00am - 10:50am,NH   1111,PRENTICE WALZ,21 / 24,F,['n']
ANTH      2,Introductory Cultural Anthropology,4:00pm - 4:50pm,GIRV 2127,BROWN K M,23 / 24,T,['n']
ANTH      2,Introductory Cultural Anthropology,9:00 am - 9:50 am,HSSB 1227,MELTON M A,23 / 24,F,['n']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1232,SMYTH L M,23 / 24,T,['n']
ANTH      2,Introductory Cultural Anthropology,4:00pm - 4:50pm,HSSB 4202,BROWN K M,23 / 24,M,['n']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1207,MELTON M A,22 / 24,F,['n']
ANTH      2,Introductory Cultural Anthropology,1:00pm - 1:50pm,GIRV 2115,WADE M L,24 / 24,M,['n']
ANTH      2,Introductory Cultural Anthropology,9:00 am - 9:50 am,GIRV 2108,GONZALEZ T A,23 / 24,M,['n']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1231,PRENTICE WALZ,22 / 24,T,['n']
ANTH      2,Introductory Cultural Anthropology,8:00 am - 8:50 am,HSSB 1236,GONZALEZ T A,24 / 24,R,['n']
ANTH      2,Introductory Cultural Anthropology,11:00am - 11:50am,HSSB 1232,IOANNIDES M J,24 / 24,F,['n']
ANTH      2,Introductory Cultural Anthropology,9:00 am - 9:50 am,HSSB 1224,IOANNIDES M J,24 / 24,F,['n']
ANTH      2,Introductory Cultural Anthropology,6:00pm - 6:50pm,HSSB 3202,WADE M L,22 / 24,T,['n']
ANTH      2,Introductory Cultural Anthropology,4:00pm - 4:50pm,PHELP3519,MCCOOL W C,24 / 24,R,['n']
ANTH      2,Introductory Cultural Anthropology,5:00pm - 5:50pm,HSSB 4202,MCCOOL W C,22 / 24,R,['n']
ANTH      7,Introductory Biosocial Anthropology,5:00pm - 6:15pm,BRDA 1610,TOOBY J,150 / 150,T R,['y']
ANTH      7,Introductory Biosocial Anthropology,6:00pm - 6:50pm,LSB  1101,Messages:,0 / 25,M,['n']
ANTH      7,Introductory Biosocial Anthropology,4:00pm - 4:50pm,GIRV 2116,BAILEY-STEINI,25 / 25,M,['n']
ANTH      7,Introductory Biosocial Anthropology,2:00pm - 2:50pm,GIRV 2112,BAILEY-STEINI,25 / 25,M,['n']
ANTH      7,Introductory Biosocial Anthropology,3:00pm - 3:50pm,GIRV 2116,BAILEY-STEINI,25 / 25,M,['n']
ANTH      7,Introductory Biosocial Anthropology,5:00pm - 5:50pm,HSSB 1232,Messages:,0 / 25,W,['n']
ANTH      7,Introductory Biosocial Anthropology,6:00pm - 6:50pm,LSB  1101,Messages:,0 / 25,W,['n']
ANTH      7,Introductory Biosocial Anthropology,4:00pm - 4:50pm,HSSB 1228,GORMAN A J,25 / 25,M,['n']
ANTH      7,Introductory Biosocial Anthropology,10:00am - 10:50am,HSSB 1231,GORMAN A J,25 / 25,F,['n']
ANTH      7,Introductory Biosocial Anthropology,11:00am - 11:50am,SH   1609,GORMAN A J,25 / 25,F,['n']
ANTH      9,Methods in the Human Behavioral Sciences,3:30pm - 4:45pm,PHELP1525,LAWSON D W,25 / 25,M W,['y']
ANTH     25,Violence and the Japanese State,9:30 am - 10:45am,TD-W 2600,FRUHSTUCK S,22 / 21,T R,['y']
ANTH     25,Violence and the Japanese State,12:00pm - 12:50pm,HSSB 3202,MOORE K,7 / 7,R,['n']
ANTH     25,Violence and the Japanese State,1:00pm - 1:50pm,HSSB 1215,MOORE K,7 / 7,R,['n']
ANTH     25,Violence and the Japanese State,10:00am - 10:50am,HSSB 2201,MOORE K,8 / 7,F,['n']
ANTH    100,Basic Archaeological Concepts,11:00am - 12:15pm,GIRV 2128,GIDDING A D,57 / 75,M W,['y']
ANTH    112Z,Theoretical Approaches in Contemporary Archaeology,9:30 am - 10:45am,PHELP1444,WILSON G D,29 / 30,T R,['y']
ANTH    129,Ethnographic Research Methods: Ethics and Engagement,11:00am - 1:50pm,HSSB 2001A,SALDIVAR TANA,35 / 35,W,['n']
ANTH    129MG,Behavioral Ecology of Hunter Gatherers,12:30pm - 1:45pm,HSSB 5024,KRAFT T S,34 / 35,T R,['y']
ANTH    131CA,California Indians,11:00am - 12:15pm,HSSB 1173,JOHNSON J R,75 / 75,T R,['y']
ANTH    151T,Evolutionary Psychology,2:00pm - 3:15pm,BIOEN1001,GAULIN S J,104 / 97,T R,['y']
ANTH    162,Prehistoric Food Production,9:30 am - 10:45am,HSSB 2001A,VANDERWARKER,27 / 25,M W,['y']
ANTH    170,Behavioral Ecology of the Family,3:30pm - 4:45pm,HSSB 2001A,LAWSON D W,42 / 40,T R,['y']
ANTH    171,Evolutionary Medicine,9:30 am - 10:45am,BUCHN1930,ALAMI GOURAFT,100 / 100,T R,['y']
ANTH    176B,The American West,2:00pm - 3:15pm,PHELP1260,BROOKS J F,47 / 40,M W,['y']
ANTH    180A,Osteology,3:30pm - 4:45pm,HSSB 1021,ANDERSON A S,26 / 26,T R,['y']
