Code,Title,Time,Location,Professor,Size,Days,Lecture
ARTHI     1,Introduction to Art,11:00am - 12:15pm,TD-W 1701,PAUL C,161 / 150,M W,['y']
ARTHI     1,Introduction to Art,4:00pm - 4:50pm,ARTS 1332,BANE S N,22 / 25,W,['n']
ARTHI     1,Introduction to Art,5:00pm - 5:50pm,ARTS 1332,BANE S N,26 / 25,W,['n']
ARTHI     1,Introduction to Art,9:00 am - 9:50 am,ARTS 2324,AHMED J,25 / 25,T,['n']
ARTHI     1,Introduction to Art,10:00am - 10:50am,ARTS 2324,AHMED J,26 / 25,T,['n']
ARTHI     1,Introduction to Art,11:00am - 11:50am,ARTS 2324,LANAHAN-KALIS,29 / 25,T,['n']
ARTHI     1,Introduction to Art,12:00pm - 12:50pm,ARTS 2324,LANAHAN-KALIS,26 / 25,T,['n']
ARTHI     1,Introduction to Art,1:00pm - 1:50pm,ARTS 2622,PAUL C,7 / 10,R,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,2:00pm - 3:15pm,IV   THEA1,MEADOW M A,351 / 385,T R,['y']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,9:00 am - 9:50 am,ARTS 2324,DERAFSHI A,23 / 25,R,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,12:00pm - 12:50pm,ARTS 2324,BOLLI C M,21 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,5:00pm - 5:50pm,ARTS 2324,SHEARD M,22 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,8:00 am - 8:50 am,ARTS 2324,SMITH E A,24 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,9:00 am - 9:50 am,ARTS 2324,SMITH E A,25 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,10:00am - 10:50am,ARTS 2324,MIRZAEI M,24 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,11:00am - 11:50am,ARTS 2324,MIRZAEI M,23 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,12:00pm - 12:50pm,ARTS 2324,GAGNON E,24 / 25,R,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,2:00pm - 2:50pm,ARTS 2324,SCHLOTHAN B L,24 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,3:00pm - 3:50pm,ARTS 2324,SCHLOTHAN B L,22 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,4:00pm - 4:50pm,ARTS 2324,SHEARD M,21 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,8:00 am - 8:50 am,ARTS 2324,DERAFSHI A,23 / 25,R,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,10:00am - 10:50am,ARTS 2324,MANSFIELD M E,22 / 25,R,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,11:00am - 11:50am,ARTS 2324,GAGNON E,23 / 25,R,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,1:00pm - 1:50pm,ARTS 2324,BOLLI C M,21 / 25,W,['n']
ARTHI     6B,Art Survey II: Renaissance-Baroque Art,1:00pm - 1:50pm,ARTS 1332,MEADOW M A,9 / 10,W,['n']
ARTHI     6DS,Survey: History of Art in China,2:00pm - 3:15pm,HSSB 1174,STURMAN P C,101 / 95,M W,['y']
ARTHI     6DS,Survey: History of Art in China,2:00pm - 2:50pm,ARTS 2324,LU Y,25 / 25,R,['n']
ARTHI     6DS,Survey: History of Art in China,3:00pm - 3:50pm,ARTS 2324,LU Y,25 / 25,R,['n']
ARTHI     6DS,Survey: History of Art in China,4:00pm - 4:50pm,ARTS 2324,LIMB M K,27 / 25,R,['n']
ARTHI     6DS,Survey: History of Art in China,5:00pm - 5:50pm,ARTS 2324,LIMB M K,24 / 25,R,['n']
ARTHI     6F,Survey: Architecture and Planning,12:30pm - 1:45pm,HSSB 1174,WITTMAN R K,89 / 95,T R,['y']
ARTHI     6F,Survey: Architecture and Planning,2:00pm - 2:50pm,ARTS 2324,JAMESON-ELLSM,24 / 25,T,['n']
ARTHI     6F,Survey: Architecture and Planning,3:00pm - 3:50pm,ARTS 2324,JAMESON-ELLSM,22 / 25,T,['n']
ARTHI     6F,Survey: Architecture and Planning,4:00pm - 4:50pm,ARTS 2324,VAN DOORNE T,25 / 25,T,['n']
ARTHI     6F,Survey: Architecture and Planning,5:00pm - 5:50pm,ARTS 2324,VAN DOORNE T,18 / 25,T,['n']
ARTHI     6J,Survey: Contemporary Architecture,5:00pm - 6:15pm,HSSB 1174,WHITE J S,87 / 95,T R,['y']
ARTHI     6J,Survey: Contemporary Architecture,11:00am - 11:50am,ARTS 1332,KIRATLI DICIC,24 / 25,R,['n']
ARTHI     6J,Survey: Contemporary Architecture,12:00pm - 12:50pm,ARTS 1332,KIRATLI DICIC,22 / 25,R,['n']
ARTHI     6J,Survey: Contemporary Architecture,1:00pm - 1:50pm,ARTS 1332,YU YIN,22 / 25,R,['n']
ARTHI     6J,Survey: Contemporary Architecture,2:00pm - 2:50pm,ARTS 1332,YU YIN,19 / 25,R,['n']
ARTHI   109B,Italian Renaissance Art: 1500-1600,2:00pm - 3:15pm,ARTS 1341,TRAVERS E M,53 / 59,T R,['y']
ARTHI   121D,African American Art and the African Legacy,12:30pm - 1:45pm,ARTS 1341,OGBECHIE S O,53 / 50,T R,['y']
ARTHI   127A,African Art I,8:00 am - 9:15 am,ARTS 1341,OGBECHIE S O,45 / 50,T R,['y']
ARTHI   132J,Modern Art of the Arab World,11:00am - 12:15pm,ARTS 1341,KHOURY N N,41 / 50,T R,['y']
ARTHI   134G,Japanese Painting,9:30 am - 10:45am,ARTS 1341,WATTLES M,31 / 40,M W,['y']
ARTHI   134J,Understanding Manga,12:30pm - 1:45pm,ARTS 1341,WATTLES M,41 / 40,M W,['y']
ARTHI   134K,Chinese Calligraphy: History and Aesthetics,11:00am - 12:15pm,ARTS 1332,STURMAN P C,10 / 5,M W,['y']
ARTHI   136I,The City in History,9:30 am - 10:45am,ARTS 1341,CHATTOPADHYAY,61 / 60,T R,['y']
ARTHI   136M,Revival Styles in Southern Californian Architecture,2:00pm - 3:15pm,ARTS 1341,WELTER V W,25 / 28,M W,['y']
ARTHI   136W,Introduction to 2D/3D Visualizations in Architecture,8:00 am - 10:50am,TD-W 1530,WHITE J S,11 / 10,M W,['y']
ARTHI   141E,University Art Museum Internship,3:30pm - 4:45pm,ARTS 1341,GIMENEZ S L,15 / 15,W,['n']
ARTHI   141F,Architecture and Design Collection Internship,3:30pm - 4:45pm,ARTS 1341,GIMENEZ S L,3 / 15,W,['n']
ARTHI   142E,"Architecture, Planning, and Culture in Eighteenth-Century   Paris",3:30pm - 4:45pm,ARTS 1341,WITTMAN R K,41 / 50,T R,['y']
ARTHI   143E,Adaptive Reuse and Art,9:00 am - 11:50am,ARTS 1332,BACIU D C,18 / 26,F,['n']
ARTHI   144A,The Avantgarde in Russia,5:00pm - 7:50pm,ARTS 1341,SPIEKER S,27 / 35,T,['n']
ARTHI   148C,Art in California,11:00am - 12:15pm,ARTS 1341,SORKIN JENNI,57 / 60,M W,['y']
ARTHI   186E,Seminar in Fifteenth and Sixteenth Century Northern European Art,12:00pm - 2:50pm,ARTS 2622,FAUST M R,0 / 15,T,['n']
ARTHI   186SV,Seminar in Modern Architecture,9:00 am - 11:50am,ARTS 2622,WELTER V W,5 / 5,M,['n']
ARTHI   187Z,Museum Studies Seminar,10:00am - 12:50pm,ARTS 2622,TRAVERS E M,16 / 15,R,['n']
