Code,Title,Time,Location,Professor,Size,Days,Lecture
AS AM     1,"Introduction to Asian American History, 1850-Present",12:30pm - 1:45pm,GIRV 1004,PARK L S,199 / 213,T R,['y']
AS AM     1,"Introduction to Asian American History, 1850-Present",12:00pm - 12:50pm,HSSB 5024,CHEN V S,24 / 23,M,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",1:00pm - 1:50pm,HSSB 5024,CHEN V S,23 / 23,M,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",2:00pm - 2:50pm,HSSB 5024,CHEN V S,23 / 23,M,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",9:00 am - 9:50 am,HSSB 1210,SONI M,20 / 23,F,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",10:00am - 10:50am,HSSB 1236,SONI M,21 / 23,F,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",11:00am - 11:50am,HSSB 5024,SONI M,24 / 23,F,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",12:00pm - 12:50pm,HSSB 1215,HYUN H,21 / 23,F,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",1:00pm - 1:50pm,HSSB 1210,HYUN H,20 / 23,F,['n']
AS AM     1,"Introduction to Asian American History, 1850-Present",2:00pm - 2:50pm,HSSB 1207,HYUN H,23 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,11:00am - 12:15pm,EMBARHALL,PANDYA S P,201 / 206,T R,['y']
AS AM     4,Introduction to Asian American Popular Culture,9:00 am - 9:50 am,HSSB 1207,LEW L C,23 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,10:00am - 10:50am,HSSB 1232,LEW L C,23 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,11:00am - 11:50am,HSSB 2251,LEW L C,23 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,12:00pm - 12:50pm,HSSB 1214,MOTTUS L R,21 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,1:00pm - 1:50pm,HSSB 5024,MOTTUS L R,12 / 12,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,4:00pm - 4:50pm,GIRV 2123,MACIAS H C,23 / 23,R,['n']
AS AM     4,Introduction to Asian American Popular Culture,2:00pm - 2:50pm,HSSB 4202,DESLIPPE P R,23 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,3:00pm - 3:50pm,HSSB 4201,DESLIPPE P R,24 / 23,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,4:00pm - 4:50pm,HSSB 3201,DESLIPPE P R,17 / 22,F,['n']
AS AM     4,Introduction to Asian American Popular Culture,3:00pm - 3:50pm,GIRV 2110,MACIAS H C,12 / 12,R,['n']
AS AM     5,Introduction to Asian American Literature,5:00pm - 6:15pm,GIRV 1004,NINH E K,171 / 206,M W,['y']
AS AM     5,Introduction to Asian American Literature,9:00 am - 9:50 am,HSSB 5024,FAHLER M V,18 / 22,F,['n']
AS AM     5,Introduction to Asian American Literature,10:00am - 10:50am,HSSB 1228,FAHLER M V,19 / 23,F,['n']
AS AM     5,Introduction to Asian American Literature,11:00am - 11:50am,HSSB 1236,FAHLER M V,20 / 23,F,['n']
AS AM     5,Introduction to Asian American Literature,11:00am - 11:50am,ARTS 1349,HUR D,19 / 23,F,['n']
AS AM     5,Introduction to Asian American Literature,12:00pm - 12:50pm,ARTS 1353,HUR D,19 / 23,F,['n']
AS AM     5,Introduction to Asian American Literature,1:00pm - 1:50pm,ARTS 1353,HUR D,21 / 23,F,['n']
AS AM     5,Introduction to Asian American Literature,9:00 am - 9:50 am,HSSB 5024,HARRIS S Y,17 / 23,R,['n']
AS AM     5,Introduction to Asian American Literature,10:00am - 10:50am,HSSB 5024,HARRIS S Y,20 / 23,R,['n']
AS AM     5,Introduction to Asian American Literature,11:00am - 11:50am,HSSB 5024,HARRIS S Y,18 / 23,R,['n']
AS AM   100AA,Chinese Americans,2:00pm - 3:15pm,GIRV 1112,STOHLER J E,45 / 45,T R,['y']
AS AM   100BB,Japanese Americans,9:30 am - 10:45am,GIRV 1115,WELTY L A,45 / 45,M W,['y']
AS AM   100CC,Filipino Americans,9:30 am - 10:45am,GIRV 1112,ZULUETA B C,44 / 45,T R,['y']
AS AM   100HH,Southeast Asian Americans,11:00am - 12:15pm,GIRV 1112,ZULUETA B C,36 / 45,T R,['y']
AS AM   110,Transnational Asian America,5:00pm - 6:15pm,GIRV 1115,TAKAMORI A,44 / 45,M W,['y']
AS AM   122,Asian American Fiction,8:00 am - 9:15 am,GIRV 1112,T B A,44 / 45,M W,['y']
AS AM   128,Writings by Asian American Women,2:00pm - 3:15pm,GIRV 1112,NINH E K,40 / 45,M W,['y']
AS AM   130,Colonialism and Migration,9:30 am - 10:45am,GIRV 1112,PARK J S W,45 / 45,M W,['y']
AS AM   141,Asian American Creative Writing,2:00pm - 3:15pm,HSSB 1211,PANDYA S P,23 / 25,T R,['y']
AS AM   144,Asian American Visual Culture,3:30pm - 4:45pm,PHELP1508,TRAN T N,45 / 45,T R,['y']
AS AM   154,Race and Law in Early American History,11:00am - 12:15pm,GIRV 1112,PARK J S W,45 / 45,M W,['y']
AS AM   165,Ethnographic Research Methods in Asian America,3:30pm - 4:45pm,GIRV 1115,TAKAMORI A,42 / 45,M W,['y']
AS AM   175,Theory and Method in Asian American Studies,9:00 am - 12:00pm,HSSB 5024,ZHAO X,10 / 25,T,['n']
AS AM   199RA,Independent Research Assistance in Asian American Studies,1:00pm - 2:15pm,HSSB 5030,ZHAO X,3 / 5,T,['n']
AS AM   199RA,Independent Research Assistance in Asian American Studies,1:00pm - 2:15pm,HSSB 5050,PARK J S W,0 / 5,W,['n']
AS AM   199RA,Independent Research Assistance in Asian American Studies,1:00pm - 2:15pm,HSSB 5034,FUJINO D C,0 / 5,R,['n']
