Code,Title,Time,Location,Professor,Size,Days,Lecture
BL ST     1,Introduction to African-American Studies,12:30pm - 1:45pm,PSYCH1924,BANKS I,84 / 120,M W,['y']
BL ST     1,Introduction to African-American Studies,8:00 am - 8:50 am,SH   3707,YGARZA G A,12 / 20,T,['n']
BL ST     1,Introduction to African-American Studies,9:00 am - 9:50 am,SH   3707,YGARZA G A,16 / 20,T,['n']
BL ST     1,Introduction to African-American Studies,10:00am - 10:50am,SH   3707,ARGUERA S M,13 / 20,T,['n']
BL ST     1,Introduction to African-American Studies,11:00am - 11:50am,SH   3707,YGARZA G A,13 / 20,T,['n']
BL ST     1,Introduction to African-American Studies,12:00pm - 12:50pm,SH   3707,ARGUERA S M,16 / 20,T,['n']
BL ST     1,Introduction to African-American Studies,1:00pm - 1:50pm,SH   3707,ARGUERA S M,14 / 20,T,['n']
BL ST     4,Critical Introduction to Race and Racism,3:30pm - 4:45pm,LSB  1001,BASHI TREITLE,120 / 120,T R,['y']
BL ST     4,Critical Introduction to Race and Racism,8:00 am - 8:50 am,SH   3707,JONES C J,20 / 20,R,['n']
BL ST     4,Critical Introduction to Race and Racism,9:00 am - 9:50 am,SH   3707,JONES C J,20 / 20,R,['n']
BL ST     4,Critical Introduction to Race and Racism,10:00am - 10:50am,SH   3707,JONES C J,20 / 20,R,['n']
BL ST     4,Critical Introduction to Race and Racism,11:00am - 11:50am,SH   3707,PINHEIRO DE O,20 / 20,R,['n']
BL ST     4,Critical Introduction to Race and Racism,12:00pm - 12:50pm,SH   3707,PINHEIRO DE O,20 / 20,R,['n']
BL ST     4,Critical Introduction to Race and Racism,1:00pm - 1:50pm,SH   3707,PINHEIRO DE O,20 / 20,R,['n']
BL ST     6,The Civil Rights Movement,3:30pm - 4:45pm,BUCHN1940,LIPSITZ G R,119 / 120,T R,['y']
BL ST     6,The Civil Rights Movement,8:00 am - 8:50 am,SH   3707,JOHNSON A Y,20 / 20,W,['n']
BL ST     6,The Civil Rights Movement,2:00pm - 2:50pm,SH   3707,JOHNSON A Y,20 / 20,W,['n']
BL ST     6,The Civil Rights Movement,3:00pm - 3:50pm,SH   3707,JOHNSON A Y,20 / 20,W,['n']
BL ST     6,The Civil Rights Movement,4:00pm - 4:50pm,SH   3707,JOHNSON S S,20 / 20,W,['n']
BL ST     6,The Civil Rights Movement,5:00pm - 5:50pm,SH   3707,JOHNSON S S,19 / 20,W,['n']
BL ST     6,The Civil Rights Movement,6:00pm - 6:50pm,SH   3707,JOHNSON S S,20 / 20,W,['n']
BL ST    14,The History of Jazz,11:00am - 12:15pm,PSYCH1924,STEWART J C,120 / 120,T R,['y']
BL ST    14,The History of Jazz,2:00pm - 2:50pm,SH   3707,SABBAGH A H,20 / 20,T,['n']
BL ST    14,The History of Jazz,3:00pm - 3:50pm,SH   3707,SABBAGH A H,20 / 20,T,['n']
BL ST    14,The History of Jazz,4:00pm - 4:50pm,SH   3707,SABBAGH A H,20 / 20,T,['n']
BL ST    14,The History of Jazz,11:00am - 11:50am,SH   3707,EDWARDS J A,20 / 20,W,['n']
BL ST    14,The History of Jazz,12:00pm - 12:50pm,SH   3707,EDWARDS J A,20 / 20,W,['n']
BL ST    14,The History of Jazz,1:00pm - 1:50pm,SH   3707,EDWARDS J A,20 / 20,W,['n']
BL ST    49B,Survey of African History,5:00pm - 6:15pm,LSB  1001,MIESCHER S F,30 / 30,T R,['y']
BL ST    49B,Survey of African History,8:00 am - 8:50 am,GIRV 2110,PULKKINEN T J,5 / 5,M,['n']
BL ST    49B,Survey of African History,3:00pm - 3:50pm,LSB  1101,PULKKINEN T J,5 / 5,F,['n']
BL ST    49B,Survey of African History,1:00pm - 1:50pm,GIRV 1106,WEBB M C,5 / 5,W,['n']
BL ST    49B,Survey of African History,3:00pm - 3:50pm,GIRV 2135,WEBB M C,5 / 5,R,['n']
BL ST    49B,Survey of African History,4:00pm - 4:50pm,GIRV 1106,PULKKINEN T J,5 / 5,F,['n']
BL ST    49B,Survey of African History,2:00pm - 2:50pm,GIRV 1106,WEBB M C,5 / 5,M,['n']
BL ST   106,Women and Politics of the Body,2:00pm - 3:15pm,PSYCH1902,BANKS I,55 / 65,M W,['y']
BL ST   126,Comparative Black Literatures,8:00 am - 9:15 am,ED   1213,AKUDINOBI J,30 / 30,T R,['y']
