Code,Title,Time,Location,Professor,Size,Days,Lecture
CH E    107,Introduction to Biological Processing,11:00am - 12:15pm,ENGR21519,O'MALLEY M A,58 / 70,T R,['y']
CH E    110A,Chemical Engineering Thermodynamics,12:00pm - 12:50pm,ENGR21519,SHELL M S,47 / 70,M W F,['y']
CH E    110A,Chemical Engineering Thermodynamics,1:00pm - 1:50pm,ENGR21519,SHELL M S,47 / 70,W,['n']
CH E    120B,Transport Processes,2:00pm - 3:15pm,ENGR21519,CHMELKA B F,53 / 70,M W,['y']
CH E    132C,Statistical Methods in Chemical Engineering,12:30pm - 1:45pm,ENGR21519,MUKHERJEE ARN,52 / 70,T R,['y']
CH E    146,Heterogeneous Catalysis,12:00pm - 12:50pm,ENGR23301,CHRISTOPHER P,19 / 22,M W F,['y']
CH E    154,Engineering Approaches to Systems Biology,2:00pm - 3:15pm,ENGR21519,DEY S S,16 / 35,T R,['y']
CH E    160,Introduction to Polymer Science,10:00am - 11:15am,ENGR21519,SEGALMAN R A,44 / 45,M W,['y']
CH E    180B,Chemical Engineering Laboratory,1:00pm - 4:50pm,ENGR21165,GORDON M J,19 / 24,T,['n']
CH E    180B,Chemical Engineering Laboratory,1:00pm - 4:50pm,ENGR21165,GORDON M J,24 / 24,W,['n']
CH E    180B,Chemical Engineering Laboratory,1:00pm - 4:50pm,ENGR21165,GORDON M J,24 / 24,R,['n']
CH E    184A,Design of Chemical Processes,9:30 am - 10:45am,ENGR21519,MCFARLAND E W,68 / 70,T R,['y']
CH E    184A,Design of Chemical Processes,8:00 am - 9:15 am,ESB  1003,MCFARLAND E W,68 / 70,R,['n']
