Code,Title,Time,Location,Professor,Size,Days,Lecture
CH ST     1B,Introduction to Chicano/a Studies,12:30pm - 1:45pm,HFH  1104,HURTADO A,160 / 160,M W,['y']
CH ST     1B,Introduction to Chicano/a Studies,2:00pm - 2:50pm,GIRV 2120,ESPINOZA J I,20 / 20,F,['n']
CH ST     1B,Introduction to Chicano/a Studies,3:00pm - 3:50pm,HSSB 1231,WASHINGTON C,20 / 20,W,['n']
CH ST     1B,Introduction to Chicano/a Studies,4:00pm - 4:50pm,HSSB 1228,ZARATE A D,20 / 20,W,['n']
CH ST     1B,Introduction to Chicano/a Studies,5:00pm - 5:50pm,HSSB 4201,ZARATE A D,20 / 20,W,['n']
CH ST     1B,Introduction to Chicano/a Studies,6:00pm - 6:50pm,HSSB 3202,WASHINGTON C,20 / 20,W,['n']
CH ST     1B,Introduction to Chicano/a Studies,10:00am - 10:50am,HSSB 3202,WASHINGTON C,20 / 20,F,['n']
CH ST     1B,Introduction to Chicano/a Studies,11:00am - 11:50am,HSSB 3202,ESPINOZA J I,20 / 20,F,['n']
CH ST     1B,Introduction to Chicano/a Studies,12:00pm - 12:50pm,HSSB 2201,ESPINOZA J I,20 / 20,F,['n']
CH ST    91JG,Special Topics in Chicano Studies,11:00am - 1:50pm,SH   1623,ALDANA G V,35 / 35,F,['n']
CH ST   103,Chicana/o and Latina/o Media and Popular Culture,9:30 am - 10:45am,PHELP1448,CASILLAS D I,36 / 35,T R,['y']
CH ST   118,The Scientific Revolution and Non-Western Epistemologies,11:00am - 12:15pm,PHELP1448,ALDANA G V,35 / 35,T R,['y']
CH ST   148,Chicana Art and Feminism,9:30 am - 10:45am,PHELP3505,DIAZ-SANCHEZ,59 / 60,M W,['y']
CH ST   148,Chicana Art and Feminism,12:00pm - 12:50pm,GIRV 2123,CHAVEZ M V,20 / 20,F,['n']
CH ST   148,Chicana Art and Feminism,4:00pm - 4:50pm,HSSB 1231,CHAVEZ M V,19 / 20,W,['n']
CH ST   148,Chicana Art and Feminism,5:00pm - 5:50pm,HSSB 1206,CHAVEZ M V,20 / 20,W,['n']
CH ST   149,"Body, Culture, and Power",3:30pm - 4:45pm,PHELP1444,VILLANUEVA-NI,37 / 35,M W,['y']
CH ST   151,De-Colonizing Feminism,12:30pm - 1:45pm,PHELP3505,SANDOVAL C,61 / 60,T R,['y']
CH ST   151,De-Colonizing Feminism,11:00am - 11:50am,HSSB 1211,RAMIREZ NIEMB,20 / 20,F,['n']
CH ST   151,De-Colonizing Feminism,12:00pm - 12:50pm,HSSB 4201,RAMIREZ NIEMB,21 / 20,F,['n']
CH ST   151,De-Colonizing Feminism,1:00pm - 1:50pm,HSSB 4201,RAMIREZ NIEMB,20 / 20,F,['n']
CH ST   168E,History of the Chicano Movement,2:00pm - 3:15pm,PHELP3505,GARCIA M T,44 / 60,T R,['y']
CH ST   168E,History of the Chicano Movement,4:00pm - 4:50pm,HSSB 1237,BARBA A M,12 / 20,R,['n']
CH ST   168E,History of the Chicano Movement,5:00pm - 5:50pm,HSSB 3201,BARBA A M,17 / 20,R,['n']
CH ST   168E,History of the Chicano Movement,6:00pm - 6:50pm,HSSB 4201,BARBA A M,15 / 20,R,['n']
CH ST   168F,Racism in American History,9:30 am - 10:45am,NH   1006,ARMBRUSTER R,60 / 120,M W,['y']
CH ST   168F,Racism in American History,4:00pm - 4:50pm,HSSB 4202,BELTRAN F,22 / 20,R,['n']
CH ST   168F,Racism in American History,5:00pm - 5:50pm,HSSB 2201,BELTRAN F,21 / 20,R,['n']
CH ST   168F,Racism in American History,10:00am - 10:50am,HSSB 1206,BELTRAN F,17 / 20,F,['n']
CH ST   170A,Chicano Political Organizing: Proseminar in Theory & History,5:00pm - 6:15pm,SH   1623,MORENO CAMPOS,21 / 35,T R,['y']
CH ST   181,The Chicano Novel,3:30pm - 4:45pm,CHEM 1171,GOMEZ O A,100 / 100,T R,['y']
CH ST   182,Contemporary Chicano/a Authors,5:00pm - 6:15pm,PHELP3505,GARCIA-MARTIN,32 / 35,T R,['y']
CH ST   189,Immigration and the U.S. Border,5:00pm - 6:15pm,NH   1111,FERNANDEZ L,40 / 40,T R,['y']
CH ST   192,Group Studies for Advanced Students,2:00pm - 4:50pm,SH   1415,RODRIGUEZ C H,7 / 10,T,['n']
CH ST   193,Senior Seminar,2:00pm - 3:15pm,SH   1609,FEMATT V L,13 / 25,M W,['y']
CH ST   195B,Community Studies and Outreach Initiatives,6:00pm - 8:50pm,GIRV 1106,MARQUEZ M,1 / 15,M,['n']
CH ST   197HB,Honors Project Research,12:30pm - 1:45pm,GIRV 1106,GARCIA M,6 / 15,M,['n']
