Code,Title,Time,Location,Professor,Size,Days,Lecture
CHIN      2,Elementary Modern Chinese,3:00pm - 3:50pm,NH   1111,GUAN D,0 / 20,MTWRF,['y']
CHIN      2,Elementary Modern Chinese,10:00am - 10:50am,HSSB 4202,GUAN D,20 / 20,MTWRF,['y']
CHIN      2,Elementary Modern Chinese,9:00 am - 9:50 am,HSSB 4202,GUAN D,10 / 20,MTWRF,['y']
CHIN      2,Elementary Modern Chinese,11:00am - 11:50am,HSSB 4202,GUAN D,20 / 20,MTWRF,['y']
CHIN      2,Elementary Modern Chinese,12:00pm - 12:50pm,HSSB 4202,GUAN D,19 / 20,MTWRF,['y']
CHIN      2,Elementary Modern Chinese,1:00pm - 1:50pm,HSSB 4202,CHEN MENG,19 / 20,MTWRF,['y']
CHIN      2NH,First Year Chinese Heritage,10:00am - 10:50am,HSSB 3201,HSU C-C,13 / 20,MTWR,['y']
CHIN      2NH,First Year Chinese Heritage,11:00am - 11:50am,HSSB 3201,HSU C-C,7 / 20,MTWR,['y']
CHIN      5,Intermediate Modern Chinese,10:00am - 10:50am,HSSB 4201,CHEN S C,12 / 20,MTWRF,['y']
CHIN      5,Intermediate Modern Chinese,11:00am - 11:50am,HSSB 4201,CHEN S C,15 / 20,MTWRF,['y']
CHIN      5NH,Second Year Chinese Heritage,1:00pm - 1:50pm,HSSB 4201,CHEN S C,22 / 20,MTWR,['y']
CHIN      8A,Chinese Conversation,11:00am - 12:15pm,ELLSN2816,CHEN MENG,8 / 18,M W,['y']
CHIN    101B,Introduction to Classical Chinese,12:30pm - 1:45pm,PHELP1444,MAZANEC T J,26 / 30,T R,['y']
CHIN    122B,Advanced Modern Chinese,1:00pm - 1:50pm,HSSB 1237,HSU C-C,20 / 26,MTWR,['y']
CHIN    134K,Chinese Calligraphy- History and Aesthetics,11:00am - 12:15pm,ARTS 1332,STURMAN P C,15 / 15,M W,['y']
CHIN    138A,Special Topics in Taiwan Studies - Humanities,2:00pm - 3:15pm,PHELP1448,TU K-C,35 / 35,M W,['y']
CHIN    185A,Qing Empire,9:30 am - 10:45am,387  1015,JI X,20 / 21,M W,['y']
