Code,Title,Time,Location,Professor,Size,Days,Lecture
CLASS    36,The World of Heroes,3:30pm - 4:45pm,NH   1006,GALLUCCI R,146 / 145,M W,['y']
CLASS    39,Gender and Sexuality in Greece and Rome,5:00pm - 6:15pm,HSSB 1174,GALLUCCI R,90 / 95,M W,['y']
CLASS    40,Greek Mythology,11:00am - 11:50am,CAMPBHALL,ERICKSON B L,701 / 700,M W F,['y']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1448,YUAN W,27 / 27,W,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP2514,JAQUA K M,26 / 27,T,['n']
CLASS    40,Greek Mythology,4:00pm - 4:50pm,PHELP1445,JAQUA K M,27 / 27,T,['n']
CLASS    40,Greek Mythology,4:00pm - 4:50pm,PHELP1444,GOODMAN G N,27 / 27,R,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1448,SEET A M,27 / 27,T,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,GIRV 2129,GOODMAN G N,27 / 27,R,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP2532,ERDMAN C S,27 / 27,F,['n']
CLASS    40,Greek Mythology,9:00 am - 9:50 am,GIRV 2124,NESBIT D M,27 / 27,F,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1445,ERDMAN C S,26 / 27,W,['n']
CLASS    40,Greek Mythology,10:00am - 10:50am,PHELP2532,ERDMAN C S,27 / 27,F,['n']
CLASS    40,Greek Mythology,1:00pm - 1:50pm,GIRV 2124,YUAN W,27 / 27,F,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,GIRV 2124,NESBIT D M,27 / 27,F,['n']
CLASS    40,Greek Mythology,5:00pm - 5:50pm,PHELP1440,JAQUA K M,27 / 27,T,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP2514,BEGIN A L,26 / 27,R,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1448,SEET A M,26 / 27,R,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1444,BEGIN A L,27 / 27,W,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1445,BEGIN A L,27 / 27,T,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP2532,SEET A M,27 / 27,W,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP1445,NESBIT D M,28 / 27,R,['n']
CLASS    40,Greek Mythology,10:00am - 10:50am,GIRV 1119,BARBIERO R,27 / 27,T,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,HSSB 1206,YUAN W,26 / 26,F,['n']
CLASS    40,Greek Mythology,3:00pm - 3:50pm,GIRV 2112,GOODMAN G N,27 / 27,W,['n']
CLASS    40,Greek Mythology,10:00am - 10:50am,GIRV 1119,BARBIERO R,29 / 26,R,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP2532,PARISON A L,27 / 27,T,['n']
CLASS    40,Greek Mythology,9:00 am - 9:50 am,GIRV 2123,PARISON A L,28 / 27,T,['n']
CLASS    40,Greek Mythology,8:00 am - 8:50 am,PHELP2532,BARBIERO R,27 / 27,R,['n']
CLASS   102,Understanding Greek Tragedy,2:00pm - 3:15pm,PSYCH1902,CAPETTINI E,75 / 75,T R,['y']
CLASS   145,Cicero’s Toughest Trials,12:30pm - 1:45pm,GIRV 2129,MORSTEIN-MARX,33 / 30,T R,['y']
CLASS   155,Greek Religion and Identity,12:30pm - 1:45pm,HSSB 3201,ERICKSON B L,28 / 23,M W,['y']
CLASS   185,Undergraduate Seminar,2:00pm - 3:15pm,HSSB 3201,LINDHEIM S H,14 / 20,M W,['y']
