Code,Title,Time,Location,Professor,Size,Days,Lecture
EACS      4A,East Asian Traditions: Pre-modern,3:30pm - 4:45pm,EMBARHALL,RAMBELLI F,245 / 247,T R,['y']
EACS      4A,East Asian Traditions: Pre-modern,2:00pm - 2:50pm,BUCHN1934,LEE L H,19 / 20,M,['n']
EACS      4A,East Asian Traditions: Pre-modern,3:00pm - 3:50pm,HSSB 4202,LEE L H,20 / 20,M,['n']
EACS      4A,East Asian Traditions: Pre-modern,4:00pm - 4:50pm,HSSB 3201,LEE L H,20 / 20,M,['n']
EACS      4A,East Asian Traditions: Pre-modern,12:00pm - 12:50pm,HSSB 2252,UGORETZ K M,23 / 21,T,['n']
EACS      4A,East Asian Traditions: Pre-modern,10:00am - 10:50am,GIRV 2115,UGORETZ K M,23 / 21,T,['n']
EACS      4A,East Asian Traditions: Pre-modern,11:00am - 11:50am,PHELP2514,UGORETZ K M,22 / 20,T,['n']
EACS      4A,East Asian Traditions: Pre-modern,10:00am - 10:50am,HSSB 2252,PORATH O,21 / 21,R,['n']
EACS      4A,East Asian Traditions: Pre-modern,11:00am - 11:50am,PHELP2514,PORATH O,19 / 20,R,['n']
EACS      4A,East Asian Traditions: Pre-modern,12:00pm - 12:50pm,GIRV 2123,PORATH O,21 / 21,R,['n']
EACS      4A,East Asian Traditions: Pre-modern,8:00 am - 8:50 am,HSSB 3202,FRYBERGER P D,16 / 21,W,['n']
EACS      4A,East Asian Traditions: Pre-modern,9:00 am - 9:50 am,HSSB 3202,FRYBERGER P D,21 / 21,W,['n']
EACS      4A,East Asian Traditions: Pre-modern,11:00am - 11:50am,HSSB 2252,FRYBERGER P D,20 / 21,W,['n']
EACS      5,Introduction to Buddhism,11:00am - 12:15pm,LSB  1001,HILLIS G A,67 / 60,T R,['y']
EACS      5,Introduction to Buddhism,8:00 am - 8:50 am,HSSB 2252,XU T,7 / 7,W,['n']
EACS      5,Introduction to Buddhism,9:00 am - 9:50 am,HSSB 2252,XU T,8 / 8,W,['n']
EACS      5,Introduction to Buddhism,10:00am - 10:50am,HSSB 2252,DUOER D,10 / 7,W,['n']
EACS      5,Introduction to Buddhism,1:00pm - 1:50pm,HSSB 2252,XU T,8 / 8,R,['n']
EACS      5,Introduction to Buddhism,2:00pm - 2:50pm,HSSB 2252,XU T,7 / 7,R,['n']
EACS      5,Introduction to Buddhism,8:00 am - 8:50 am,HSSB 1233,DUOER D,9 / 8,F,['n']
EACS      5,Introduction to Buddhism,9:00 am - 9:50 am,HSSB 3041,DUOER D,10 / 7,F,['n']
EACS      5,Introduction to Buddhism,10:00am - 10:50am,HSSB 3041,DUOER D,8 / 8,F,['n']
