Code,Title,Time,Location,Professor,Size,Days,Lecture
EARTH     2,Principles of Physical Geology,3:30pm - 4:45pm,LSB  1001,EILON Z C,158 / 159,M W,['y']
EARTH     2,Principles of Physical Geology,10:00am - 11:50am,PSB-S2724,KROHMER L S,20 / 20,T,['n']
EARTH     2,Principles of Physical Geology,12:00pm - 1:50pm,PSB-S2724,GENUA L,20 / 20,T,['n']
EARTH     2,Principles of Physical Geology,2:00pm - 3:50pm,PSB-S2724,KROHMER L S,20 / 20,T,['n']
EARTH     2,Principles of Physical Geology,4:00pm - 5:50pm,PSB-S2724,WILLHITE L N,19 / 20,T,['n']
EARTH     2,Principles of Physical Geology,9:00 am - 10:50am,PSB-S2724,WILLHITE L N,20 / 20,W,['n']
EARTH     2,Principles of Physical Geology,11:00am - 12:50pm,PSB-S2724,GENUA L,20 / 20,W,['n']
EARTH     2,Principles of Physical Geology,9:00 am - 10:50am,PSB-S2724,PETRUSKA J M,20 / 20,R,['n']
EARTH     2,Principles of Physical Geology,11:00am - 12:50pm,PSB-S2724,PETRUSKA J M,19 / 19,R,['n']
EARTH     4,Introduction to Oceanography,10:00am - 10:50am,BUCHN1910,LISIECKI L E,298 / 297,M W F,['y']
EARTH     4,Introduction to Oceanography,3:00pm - 3:50pm,PSB-S2712,ROSE K M,27 / 27,M,['n']
EARTH     4,Introduction to Oceanography,4:00pm - 4:50pm,PSB-S2712,MARLEY A R,27 / 27,M,['n']
EARTH     4,Introduction to Oceanography,11:00am - 11:50am,PSB-S2712,CHANG A S,28 / 27,T,['n']
EARTH     4,Introduction to Oceanography,12:00pm - 12:50pm,PSB-S2712,CHANG A S,26 / 27,T,['n']
EARTH     4,Introduction to Oceanography,3:00pm - 3:50pm,PSB-S2712,ROSE K M,27 / 27,W,['n']
EARTH     4,Introduction to Oceanography,4:00pm - 4:50pm,PSB-S2712,MARLEY A R,26 / 27,W,['n']
EARTH     4,Introduction to Oceanography,5:00pm - 5:50pm,PSB-S2712,MARLEY A R,27 / 27,R,['n']
EARTH     4,Introduction to Oceanography,5:00pm - 5:50pm,PSB-S2712,ROSE K M,27 / 27,W,['n']
EARTH     4,Introduction to Oceanography,4:00pm - 4:50pm,PSB-S2712,ARRINGTON E C,31 / 27,R,['n']
EARTH     4,Introduction to Oceanography,1:00pm - 1:50pm,PSB-S2712,CHANG A S,28 / 27,T,['n']
EARTH     4,Introduction to Oceanography,6:00pm - 6:50pm,PSB-S2712,ARRINGTON E C,24 / 27,R,['n']
EARTH     4,Introduction to Oceanography,5:00pm - 6:15pm,PHELP3515,DE JONG M T,75 / 80,T R,['y']
EARTH     4,Introduction to Oceanography,4:00pm - 4:50pm,WEBB 1025,VALLOTA-EASTM,25 / 27,W,['n']
EARTH     4,Introduction to Oceanography,5:00pm - 5:50pm,WEBB 1025,VALLOTA-EASTM,28 / 27,W,['n']
EARTH     4,Introduction to Oceanography,3:00pm - 3:50pm,WEBB 1025,VALLOTA-EASTM,22 / 26,W,['n']
EARTH     7,Dinosaurs,3:30pm - 4:45pm,BUCHN1910,LUNA D A,298 / 297,T R,['y']
EARTH     7,Dinosaurs,9:00 am - 9:50 am,PSB-S2725,MA Y,26 / 27,T,['n']
EARTH     7,Dinosaurs,10:00am - 10:50am,PSB-S2725,MA Y,26 / 27,T,['n']
EARTH     7,Dinosaurs,11:00am - 11:50am,PSB-S2725,SPRATT R M,29 / 27,T,['n']
EARTH     7,Dinosaurs,12:00pm - 12:50pm,PSB-S2725,CLOW B L,28 / 27,T,['n']
EARTH     7,Dinosaurs,9:00 am - 9:50 am,PSB-S2725,MOORHEAD C E,28 / 27,W,['n']
EARTH     7,Dinosaurs,10:00am - 10:50am,PSB-S2725,MOORHEAD C E,27 / 27,W,['n']
EARTH     7,Dinosaurs,11:00am - 11:50am,PSB-S2725,CLOW B L,28 / 27,W,['n']
EARTH     7,Dinosaurs,12:00pm - 12:50pm,PSB-S2725,MOORHEAD C E,28 / 27,W,['n']
EARTH     7,Dinosaurs,1:00pm - 1:50pm,PSB-S2725,CLOW B L,27 / 27,W,['n']
EARTH     7,Dinosaurs,9:00 am - 9:50 am,PSB-S2725,SPRATT R M,24 / 27,R,['n']
EARTH     7,Dinosaurs,10:00am - 10:50am,PSB-S2725,MA Y,27 / 27,R,['n']
EARTH     9,Giant Earthquakes,3:30pm - 4:45pm,PHELP1260,JI C,90 / 90,M W,['y']
EARTH     9,Giant Earthquakes,9:00 am - 9:50 am,PSB-S2712,XIAO HAN,30 / 30,T,['n']
EARTH     9,Giant Earthquakes,12:00pm - 12:50pm,PSB-S2712,XIAO HAN,30 / 30,W,['n']
EARTH     9,Giant Earthquakes,10:00am - 10:50am,PSB-S2712,XIAO HAN,30 / 30,R,['n']
EARTH    20,Geological Catastrophes,3:30pm - 4:45pm,BUCHN1910,JACKSON M G,319 / 320,M W,['y']
EARTH    20,Geological Catastrophes,11:00am - 11:50am,PSB-S2712,BARTLETT K M,30 / 30,M,['n']
EARTH    20,Geological Catastrophes,12:00pm - 12:50pm,PSB-S2712,BARTLETT K M,29 / 29,M,['n']
EARTH    20,Geological Catastrophes,3:00pm - 3:50pm,PSB-S2712,HARRICHHAUSEN,28 / 29,T,['n']
EARTH    20,Geological Catastrophes,4:00pm - 4:50pm,PSB-S2712,FUKUDA T L,29 / 29,T,['n']
EARTH    20,Geological Catastrophes,5:00pm - 5:50pm,PSB-S2712,FUKUDA T L,29 / 29,T,['n']
EARTH    20,Geological Catastrophes,6:00pm - 6:50pm,PSB-S2712,HARRICHHAUSEN,30 / 29,T,['n']
EARTH    20,Geological Catastrophes,11:00am - 11:50am,PSB-S2712,FUKUDA T L,29 / 29,R,['n']
EARTH    20,Geological Catastrophes,12:00pm - 12:50pm,PSB-S2712,BARTLETT K M,28 / 29,R,['n']
EARTH    20,Geological Catastrophes,9:00 am - 9:50 am,PSB-S2712,GORCHELS M,29 / 29,F,['n']
EARTH    20,Geological Catastrophes,11:00am - 11:50am,PSB-S2712,GORCHELS M,29 / 29,F,['n']
EARTH    20,Geological Catastrophes,10:00am - 10:50am,PSB-S2712,GORCHELS M,29 / 29,F,['n']
EARTH    30,The History of Life,8:00 am - 9:15 am,PHELP1260,AWRAMIK S M,81 / 81,T R,['y']
EARTH    30,The History of Life,2:00pm - 2:50pm,PSB-S2725,MCGRATH A J,28 / 27,W,['n']
EARTH    30,The History of Life,3:00pm - 3:50pm,PSB-S2725,MCGRATH A J,26 / 27,W,['n']
EARTH    30,The History of Life,12:00pm - 12:50pm,PSB-S2725,MCGRATH A J,27 / 27,R,['n']
EARTH   103,Fundamentals of Structural Geology,11:00am - 12:15pm,PSB-S2711,GANS P B,30 / 38,T R,['y']
EARTH   103,Fundamentals of Structural Geology,1:00pm - 3:50pm,PSB-S2711,NEWMANN J R,30 / 38,F,['n']
EARTH   105,Earth’s Climate: Past and Present,11:00am - 12:15pm,BIOEN1001,LEA D W,91 / 87,M W,['y']
EARTH   105,Earth’s Climate: Past and Present,2:00pm - 2:50pm,WEBB 1025,COX D D,33 / 29,T,['n']
EARTH   105,Earth’s Climate: Past and Present,1:00pm - 1:50pm,WEBB 1025,COX D D,32 / 29,T,['n']
EARTH   105,Earth’s Climate: Past and Present,9:00 am - 9:50 am,WEBB 1025,COX D D,26 / 29,R,['n']
EARTH   111,Principles of Paleontology,12:30pm - 1:45pm,WEBB 1100,TIFFNEY B H,61 / 65,T R,['y']
EARTH   111L,Principles of Paleontology Laboratory,2:00pm - 4:50pm,PSB-S2725,EVERETT C J,11 / 13,T R,['y']
EARTH   115,Analytical Methods in Geomaterials,2:00pm - 3:15pm,PSB-S2711,RIOUX M E,28 / 24,M W,['y']
EARTH   115,Analytical Methods in Geomaterials,3:30pm - 7:30pm,PSB-S2711,ANDERSON O E,27 / 24,M,['n']
EARTH   115,Analytical Methods in Geomaterials,3:30pm - 7:30pm,PSB-S2711,SCRUGGS M A,1 / 0,W,['n']
EARTH   121,Principles of Evolution,9:30 am - 10:45am,HFH  1104,T B A,13 / 15,T R,['y']
EARTH   121,Principles of Evolution,11:00am - 11:50am,GIRV 2124,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",1 / 2,R,['n']
EARTH   121,Principles of Evolution,12:00pm - 12:50pm,PHELP3523,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",2 / 2,R,['n']
EARTH   121,Principles of Evolution,2:00pm - 2:50pm,SH   1609,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",1 / 2,R,['n']
EARTH   121,Principles of Evolution,5:00pm - 5:50pm,SH   1430,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",2 / 2,R,['n']
