Code,Title,Time,Location,Professor,Size,Days,Lecture
ECON      1,Principles of Economics-Micro,2:00pm - 2:50pm,CAMPBHALL,VESPA E I,769 / 440,M W F,['y']
ECON      1,Principles of Economics-Micro,8:00 am - 8:50 am,GIRV 1116,KLINENBERG D,34 / 20,R,['n']
ECON      1,Principles of Economics-Micro,5:00pm - 5:50pm,GIRV 2119,WEI Z,35 / 20,R,['n']
ECON      1,Principles of Economics-Micro,9:00 am - 9:50 am,GIRV 2123,KLINENBERG D,34 / 20,R,['n']
ECON      1,Principles of Economics-Micro,7:00pm - 7:50pm,GIRV 2115,NOAH B D,32 / 20,R,['n']
ECON      1,Principles of Economics-Micro,5:00pm - 5:50pm,GIRV 1116,ALSHAIKHMUBAR,39 / 20,W,['n']
ECON      1,Principles of Economics-Micro,7:00pm - 7:50pm,GIRV 2115,CHEN YIXIN,31 / 20,W,['n']
ECON      1,Principles of Economics-Micro,9:00 am - 9:50 am,GIRV 2115,KANG EUNSEO,35 / 20,R,['n']
ECON      1,Principles of Economics-Micro,5:00pm - 5:50pm,GIRV 2116,ALSHAIKHMUBAR,37 / 20,R,['n']
ECON      1,Principles of Economics-Micro,5:00pm - 5:50pm,387  1015,JEON W,37 / 20,W,['n']
ECON      1,Principles of Economics-Micro,6:00pm - 6:50pm,GIRV 2120,NOAH B D,37 / 20,R,['n']
ECON      1,Principles of Economics-Micro,8:00 am - 8:50 am,387  1015,KANG EUNSEO,37 / 20,R,['n']
ECON      1,Principles of Economics-Micro,9:00 am - 9:50 am,GIRV 2112,LIN CHIENHSUN,35 / 20,R,['n']
ECON      1,Principles of Economics-Micro,6:00pm - 6:50pm,GIRV 2115,CHEN YIXIN,37 / 20,W,['n']
ECON      1,Principles of Economics-Micro,6:00pm - 6:50pm,GIRV 2119,Messages:,36 / 20,R,['n']
ECON      1,Principles of Economics-Micro,7:00pm - 7:50pm,GIRV 2112,FULLAGER T K,29 / 20,W,['n']
ECON      1,Principles of Economics-Micro,7:00pm - 7:50pm,GIRV 2112,Messages:,27 / 20,R,['n']
ECON      1,Principles of Economics-Micro,5:00pm - 5:50pm,387  1011,WEI Z,39 / 20,W,['n']
ECON      1,Principles of Economics-Micro,6:00pm - 6:50pm,GIRV 2112,FULLAGER T K,35 / 20,W,['n']
ECON      1,Principles of Economics-Micro,10:00am - 10:50am,GIRV 2112,LIN CHIENHSUN,39 / 20,R,['n']
ECON      1,Principles of Economics-Micro,7:00pm - 7:50pm,GIRV 1116,TOPPER M T,31 / 20,W,['n']
ECON      1,Principles of Economics-Micro,6:00pm - 6:50pm,GIRV 1116,TOPPER M T,35 / 20,W,['n']
ECON      1,Principles of Economics-Micro,10:00am - 10:50am,387  1015,JEON W,38 / 20,R,['n']
ECON      2,Principles of Economics-Macro,9:30 am - 10:45am,CAMPBHALL,RUPERT P,499 / 520,T R,['y']
ECON      2,Principles of Economics-Macro,8:00 am - 8:50 am,PHELP3523,JIN H,31 / 32,W,['n']
ECON      2,Principles of Economics-Macro,9:00 am - 9:50 am,PHELP3523,JIN H,32 / 32,W,['n']
ECON      2,Principles of Economics-Macro,9:00 am - 9:50 am,NH   1111,XIAO H,32 / 32,F,['n']
ECON      2,Principles of Economics-Macro,5:00pm - 5:50pm,PHELP1448,ROMINE J R,32 / 32,W,['n']
ECON      2,Principles of Economics-Macro,6:00pm - 6:50pm,PHELP1445,ROMINE J R,32 / 32,W,['n']
ECON      2,Principles of Economics-Macro,6:00pm - 6:50pm,PHELP1445,ZHOU JING,32 / 32,R,['n']
ECON      2,Principles of Economics-Macro,6:00pm - 6:50pm,PHELP1448,URUCI X,32 / 32,M,['n']
ECON      2,Principles of Economics-Macro,5:00pm - 5:50pm,PHELP1444,ZHOU JING,32 / 32,R,['n']
ECON      2,Principles of Economics-Macro,5:00pm - 5:50pm,PHELP3523,KOO J,32 / 32,R,['n']
ECON      2,Principles of Economics-Macro,5:00pm - 5:50pm,GIRV 2120,VORA N R,32 / 32,M,['n']
ECON      2,Principles of Economics-Macro,6:00pm - 6:50pm,GIRV 2120,VORA N R,32 / 32,M,['n']
ECON      2,Principles of Economics-Macro,5:00pm - 5:50pm,PHELP1445,XIAO H,32 / 32,W,['n']
ECON      2,Principles of Economics-Macro,5:00pm - 5:50pm,PHELP1445,URUCI X,32 / 32,M,['n']
ECON      2,Principles of Economics-Macro,9:00 am - 9:50 am,PHELP1440,KOO J,31 / 32,F,['n']
ECON      2,Principles of Economics-Macro,8:00 am - 8:50 am,GIRV 1116,LIU YIZHOU,22 / 32,W,['n']
ECON      2,Principles of Economics-Macro,6:00pm - 6:50pm,PHELP1444,Messages:,0 / 32,W,['n']
ECON      2,Principles of Economics-Macro,6:00pm - 6:50pm,PHELP1444,Messages:,0 / 32,R,['n']
ECON      2,Principles of Economics-Macro,9:00 am - 9:50 am,PHELP2536,LIU YIZHOU,31 / 32,W,['n']
ECON      3A,Financial Accounting,8:00 am - 9:15 am,BUCHN1940,ANDERSON R W,149 / 149,M W,['y']
ECON      3A,Financial Accounting,2:00pm - 2:50pm,ARTS 1356,Messages:,30 / 30,T,['n']
ECON      3A,Financial Accounting,1:00pm - 1:50pm,ARTS 1349,Messages:,30 / 30,W,['n']
ECON      3A,Financial Accounting,2:00pm - 2:50pm,GIRV 2112,Messages:,30 / 30,W,['n']
ECON      3A,Financial Accounting,2:00pm - 2:50pm,ARTS 1356,Messages:,30 / 30,R,['n']
ECON      3A,Financial Accounting,10:00am - 10:50am,PHELP1444,Messages:,29 / 29,F,['n']
ECON      3AH,Financial Accounting - Honors,11:00am - 11:50am,NH   1122,ANDERSON R W,0 / 20,M,['n']
ECON      3B,Financial Accounting,5:00pm - 6:15pm,BUCHN1920,FULKERSON S D,136 / 147,M W,['y']
ECON      3B,Financial Accounting,11:00am - 11:50am,NH   1122,Messages:,29 / 29,T,['n']
ECON      3B,Financial Accounting,8:00 am - 8:50 am,NH   1122,Messages:,25 / 29,T,['n']
ECON      3B,Financial Accounting,10:00am - 10:50am,NH   1122,Messages:,28 / 29,T,['n']
ECON      3B,Financial Accounting,11:00am - 11:50am,NH   1122,Messages:,27 / 30,R,['n']
ECON      3B,Financial Accounting,10:00am - 10:50am,NH   1122,Messages:,27 / 30,R,['n']
ECON      3BH,Financial Accounting - Honors,1:00pm - 1:50pm,NH   1122,FULKERSON S D,15 / 15,M,['n']
ECON      9,Introduction to Economics,10:00am - 10:50am,IV   THEA2,BENELLI C A,120 / 120,M W F,['y']
ECON      9,Introduction to Economics,5:00pm - 5:50pm,PHELP2514,OROFINO S L,30 / 30,T,['n']
ECON      9,Introduction to Economics,4:00pm - 4:50pm,GIRV 1116,RONEY D L,30 / 30,T,['n']
ECON      9,Introduction to Economics,5:00pm - 5:50pm,PHELP1445,RONEY D L,30 / 30,T,['n']
ECON      9,Introduction to Economics,6:00pm - 6:50pm,PHELP2514,OROFINO S L,30 / 30,T,['n']
ECON      9,Introduction to Economics,11:00am - 11:50am,IV   THEA2,BENELLI C A,120 / 120,M W F,['y']
ECON      9,Introduction to Economics,4:00pm - 4:50pm,387  1015,KAAPCKE L N,30 / 30,T,['n']
ECON      9,Introduction to Economics,5:00pm - 5:50pm,PHELP1444,KAAPCKE L N,32 / 30,T,['n']
ECON      9,Introduction to Economics,6:00pm - 6:50pm,PHELP1445,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,30 / 30,T,['n']
ECON      9,Introduction to Economics,7:00pm - 7:50pm,PHELP1444,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,28 / 30,T,['n']
ECON     10A,Intermediate Microeconomic Theory,10:00am - 10:50am,EMBARHALL,HARTMAN J L,174 / 175,M W F,['y']
ECON     10A,Intermediate Microeconomic Theory,8:00 am - 8:50 am,CAMPBHALL,Messages:,174 / 175,T,['n']
ECON     10A,Intermediate Microeconomic Theory,5:00pm - 5:50pm,GIRV 2129,KIM N,28 / 25,W,['n']
ECON     10A,Intermediate Microeconomic Theory,6:00pm - 6:50pm,PHELP2514,Messages:,22 / 25,W,['n']
ECON     10A,Intermediate Microeconomic Theory,5:00pm - 5:50pm,PHELP2524,Messages:,31 / 25,W,['n']
ECON     10A,Intermediate Microeconomic Theory,6:00pm - 6:50pm,PHELP1448,GUAN M,23 / 25,W,['n']
ECON     10A,Intermediate Microeconomic Theory,5:00pm - 5:50pm,GIRV 2108,Messages:,0 / 25,W,['n']
ECON     10A,Intermediate Microeconomic Theory,4:00pm - 4:50pm,GIRV 2115,CAO YUAN,28 / 25,R,['n']
ECON     10A,Intermediate Microeconomic Theory,5:00pm - 5:50pm,GIRV 2108,KIM N,26 / 25,R,['n']
ECON     10A,Intermediate Microeconomic Theory,6:00pm - 6:50pm,GIRV 2123,JASKIEWICZ A,16 / 25,R,['n']
ECON     10A,Intermediate Microeconomic Theory,12:00pm - 12:50pm,MUSICLLCH,BENZARTI Y C,244 / 252,M W F,['y']
ECON     10A,Intermediate Microeconomic Theory,8:00 am - 8:50 am,CAMPBHALL,Messages:,244 / 252,T,['n']
ECON     10A,Intermediate Microeconomic Theory,9:00 am - 9:50 am,PHELP1444,MARKS L,28 / 28,F,['n']
ECON     10A,Intermediate Microeconomic Theory,10:00am - 10:50am,PHELP2514,MARKS L,28 / 28,F,['n']
ECON     10A,Intermediate Microeconomic Theory,4:00pm - 4:50pm,GIRV 2112,JASKIEWICZ A,28 / 28,R,['n']
ECON     10A,Intermediate Microeconomic Theory,6:00pm - 6:50pm,GIRV 2108,KIM N,28 / 28,R,['n']
ECON     10A,Intermediate Microeconomic Theory,4:00pm - 4:50pm,GIRV 2108,KIM YONGWOOK,28 / 28,R,['n']
ECON     10A,Intermediate Microeconomic Theory,7:00pm - 7:50pm,PHELP1444,WU DA,24 / 28,R,['n']
ECON     10A,Intermediate Microeconomic Theory,5:00pm - 5:50pm,PHELP2514,CAO YUAN,28 / 28,R,['n']
ECON     10A,Intermediate Microeconomic Theory,6:00pm - 6:50pm,PHELP2514,WU DA,28 / 28,R,['n']
ECON     10A,Intermediate Microeconomic Theory,7:00pm - 7:50pm,PHELP1444,GUAN M,24 / 28,W,['n']
ECON     10A,Intermediate Microeconomic Theory,7:00pm - 7:50pm,PHELP1440,Messages:,0 / 25,W,['n']
ECON     96,Sophomore Honors Seminar,9:30 am - 10:45am,NH   2212,ROYER H N,17 / 18,T,['n']
ECON    100B,Intermediate Microeconomic Theory,12:30pm - 1:45pm,CHEM 1179,YUKSEL S,318 / 320,T R,['y']
ECON    100B,Intermediate Microeconomic Theory,5:00pm - 5:50pm,GIRV 2115,OSAKI T T,40 / 40,R,['n']
ECON    100B,Intermediate Microeconomic Theory,5:00pm - 5:50pm,GIRV 2112,Messages:,40 / 40,R,['n']
ECON    100B,Intermediate Microeconomic Theory,6:00pm - 6:50pm,GIRV 2116,Messages:,40 / 40,R,['n']
ECON    100B,Intermediate Microeconomic Theory,7:00pm - 7:50pm,GIRV 1116,OSAKI T T,40 / 40,R,['n']
ECON    100B,Intermediate Microeconomic Theory,10:00am - 10:50am,387  1015,Messages:,40 / 40,F,['n']
ECON    100B,Intermediate Microeconomic Theory,11:00am - 11:50am,GIRV 2129,Messages:,40 / 40,F,['n']
ECON    100B,Intermediate Microeconomic Theory,12:00pm - 12:50pm,GIRV 2129,Messages:,40 / 40,F,['n']
ECON    100B,Intermediate Microeconomic Theory,1:00pm - 1:50pm,387  1011,Messages:,38 / 40,F,['n']
ECON    106,Managerial Economics,9:00 am - 9:50 am,IV   THEA2,BENELLI C A,132 / 135,M W F,['y']
ECON    113B,Twentieth-Century United States Economic History,8:00 am - 8:50 am,PSYCH1924,BERGER M M,129 / 130,M W F,['y']
ECON    118,Financial Accounting Analysis and Planning,3:30pm - 4:45pm,NH   1110,FULKERSON S D,69 / 70,M W,['y']
ECON    118,Financial Accounting Analysis and Planning,2:00pm - 3:15pm,NH   1110,FULKERSON S D,72 / 70,M W,['y']
ECON    118H,Financial Accounting Analysis and Planning - Honors,1:00pm - 1:50pm,NH   1122,FULKERSON S D,20 / 20,M,['n']
ECON    132A,Auditing,9:30 am - 10:45am,NH   1110,ANDERSON R W,75 / 75,M W,['y']
ECON    132AH,Auditing - Honors,11:00am - 11:50am,NH   1122,ANDERSON R W,0 / 15,M,['n']
ECON    134A,Financial Management,8:00 am - 9:15 am,BIOEN1001,MEI G,80 / 80,T R,['y']
ECON    134A,Financial Management,5:00pm - 5:50pm,HSSB 1211,SCHWARZ M C,26 / 26,T,['n']
ECON    134A,Financial Management,6:00pm - 6:50pm,PHELP1444,SCHWARZ M C,27 / 27,T,['n']
ECON    134A,Financial Management,4:00pm - 4:50pm,GIRV 2108,ROBINSON S R,27 / 27,T,['n']
ECON    134A,Financial Management,5:00pm - 6:15pm,WEBB 1100,UHRIG R A,80 / 80,T R,['y']
ECON    134A,Financial Management,8:00 am - 8:50 am,GIRV 2120,ROBINSON S R,27 / 27,W,['n']
ECON    134A,Financial Management,8:00 am - 8:50 am,PHELP2514,BAO K Q,26 / 26,W,['n']
ECON    134A,Financial Management,10:00am - 10:50am,ARTS 1356,SCHWARZ M C,27 / 27,W,['n']
ECON    134A,Financial Management,6:30pm - 7:45pm,PHELP3515,RAMIREZ CUELL,80 / 80,M W,['y']
ECON    134A,Financial Management,5:00pm - 5:50pm,HSSB 1207,JIANG X,26 / 26,T,['n']
ECON    134A,Financial Management,6:00pm - 6:50pm,PHELP1440,JIANG X,27 / 27,T,['n']
ECON    134A,Financial Management,4:00pm - 4:50pm,PHELP2514,BAO K Q,27 / 27,T,['n']
ECON    134C,Behavioral Finance,5:00pm - 6:15pm,PHELP1260,OZYILMAZ H,61 / 80,T R,['y']
ECON    136A,Intermediate Accounting,9:30 am - 10:45am,HSSB 1173,HARMON C J,50 / 60,M W,['y']
ECON    136A,Intermediate Accounting,1:00pm - 1:50pm,GIRV 2112,Messages:,30 / 30,T,['n']
ECON    136A,Intermediate Accounting,12:00pm - 12:50pm,GIRV 2123,Messages:,20 / 30,T,['n']
ECON    136A,Intermediate Accounting,5:00pm - 6:15pm,NH   1110,KULPER D E,50 / 50,T R,['y']
ECON    136A,Intermediate Accounting,1:00pm - 1:50pm,PHELP1425,Messages:,25 / 25,W,['n']
ECON    136A,Intermediate Accounting,12:00pm - 12:50pm,GIRV 2116,Messages:,25 / 25,W,['n']
ECON    136A,Intermediate Accounting,2:00pm - 3:15pm,GIRV 2128,T B A,54 / 50,T R,['y']
ECON    136A,Intermediate Accounting,2:00pm - 2:50pm,GIRV 2119,Messages:,29 / 25,W,['n']
ECON    136A,Intermediate Accounting,3:00pm - 3:50pm,GIRV 2115,Messages:,25 / 25,W,['n']
ECON    136AH,Intermediate Accounting - Honors,3:30pm - 4:45pm,NH   1110,KULPER D E,7 / 30,R,['n']
ECON    136B,Intermediate Accounting,9:30 am - 10:45am,NH   1110,HULME J L,70 / 70,T R,['y']
ECON    136B,Intermediate Accounting,11:00am - 12:15pm,NH   1110,HULME J L,72 / 70,T R,['y']
ECON    136C,Intermediate Accounting,12:30pm - 1:45pm,NH   1110,HULME J L,68 / 70,T R,['y']
ECON    136C,Intermediate Accounting,11:00am - 12:15pm,HSSB 1173,HARMON C J,63 / 72,M W,['y']
ECON    136CH,Intermediate Accounting - Honors,1:00pm - 1:50pm,NH   1110,HARMON C J,0 / 20,W,['n']
ECON    137A,Managerial Accounting,11:00am - 12:15pm,GIRV 2128,TOOLEY J M,55 / 56,T R,['y']
ECON    137A,Managerial Accounting,5:00pm - 5:50pm,PHELP1445,Messages:,28 / 28,R,['n']
ECON    137A,Managerial Accounting,4:00pm - 4:50pm,PHELP2514,Messages:,27 / 28,R,['n']
ECON    137A,Managerial Accounting,9:30 am - 10:45am,GIRV 2128,TOOLEY J M,55 / 56,T R,['y']
ECON    137A,Managerial Accounting,9:00 am - 9:50 am,NH   1105,Messages:,27 / 28,W,['n']
ECON    137A,Managerial Accounting,3:00pm - 3:50pm,GIRV 2115,Messages:,28 / 28,R,['n']
ECON    137A,Managerial Accounting,5:00pm - 6:15pm,GIRV 2128,T B A,54 / 56,M W,['y']
ECON    137A,Managerial Accounting,3:00pm - 3:50pm,NH   1109,Messages:,26 / 28,T,['n']
ECON    137A,Managerial Accounting,4:00pm - 4:50pm,GIRV 2116,Messages:,28 / 28,T,['n']
ECON    137B,Managerial Accounting,11:00am - 12:15pm,NH   1110,LOSTER D R,75 / 75,M W,['y']
ECON    137BH,Managerial Accounting - Honors,10:00am - 10:50am,NH   2113,LOSTER D R,5 / 15,M,['n']
ECON    138A,Income Taxation,5:00pm - 6:15pm,PSYCH1924,SCHNEIDER N J,131 / 130,M W,['y']
ECON    139,Advanced Accounting,12:30pm - 1:45pm,NH   1110,HARMON C J,54 / 70,M W,['y']
ECON    140A,Introduction to Econometrics,5:00pm - 6:15pm,BRDA 1610,STEIGERWALD D,208 / 216,M W,['y']
ECON    140A,Introduction to Econometrics,6:00pm - 6:50pm,GIRV 2115,Messages:,26 / 27,T,['n']
ECON    140A,Introduction to Econometrics,9:00 am - 9:50 am,PHELP2536,Messages:,27 / 27,T,['n']
ECON    140A,Introduction to Econometrics,5:00pm - 5:50pm,GIRV 2116,Messages:,27 / 27,T,['n']
ECON    140A,Introduction to Econometrics,4:00pm - 4:50pm,PHELP2536,Messages:,27 / 27,T,['n']
ECON    140A,Introduction to Econometrics,8:00 am - 8:50 am,HSSB 1236,Messages:,24 / 27,T,['n']
ECON    140A,Introduction to Econometrics,5:00pm - 5:50pm,GIRV 1115,Messages:,27 / 27,R,['n']
ECON    140A,Introduction to Econometrics,6:00pm - 6:50pm,NH   1109,Messages:,24 / 27,R,['n']
ECON    140A,Introduction to Econometrics,7:00pm - 7:50pm,HSSB 1236,Messages:,26 / 27,R,['n']
ECON    140B,Introduction to Econometrics,2:00pm - 3:15pm,ARTS 1349,DESCHENES O,50 / 50,M W,['y']
ECON    140B,Introduction to Econometrics,8:00 am - 8:50 am,GIRV 2115,BANA S H,25 / 25,R,['n']
ECON    140B,Introduction to Econometrics,9:00 am - 9:50 am,PHELP3519,BANA S H,25 / 25,R,['n']
ECON    152,Personnel Economics,5:00pm - 6:15pm,BUCHN1940,KUHN P J,119 / 120,T R,['y']
ECON    152,Personnel Economics,9:00 am - 9:50 am,ARTS 1356,ZHANG SHUO,29 / 30,W,['n']
ECON    152,Personnel Economics,9:00 am - 9:50 am,ARTS 1353,COOPER M T,30 / 30,W,['n']
ECON    152,Personnel Economics,11:00am - 11:50am,PHELP1445,COOPER M T,32 / 30,W,['n']
ECON    152,Personnel Economics,8:00 am - 8:50 am,NH   1111,ZHANG SHUO,28 / 30,W,['n']
ECON    171,Introduction to Game Theory,12:30pm - 1:45pm,PHELP3515,BERGSTROM T C,84 / 84,M W,['y']
ECON    176,Experimental Economics,11:00am - 12:15pm,GIRV 2129,CHARNESS G B,43 / 30,T R,['y']
ECON    181,International Finance,3:30pm - 4:45pm,PHELP3515,LOWELL J F,83 / 80,M W,['y']
ECON    189,Business Law and Ethics in Accounting,2:00pm - 3:15pm,PHELP1260,KULPER D E,90 / 90,T R,['y']
ECON    189H,Business Law and Ethics - Honors,3:30pm - 4:45pm,NH   1110,KULPER D E,18 / 30,R,['n']
ECON    194S,Group Studies,11:00am - 11:50am,NH   2212,DESCHENES O,14 / 15,T,['n']
ECON    196B,Senior Honors Seminar,2:00pm - 3:30pm,NH   2212,ROYER H N,16 / 13,W,['n']
