Code,Title,Time,Location,Professor,Size,Days,Lecture
ENV S     2,Introduction to Environmental Science,3:30pm - 4:45pm,IV   THEA1,MORET S L,445 / 480,M W,['y']
ENV S     2,Introduction to Environmental Science,8:00 am - 8:50 am,HSSB 4202,BREWSTER C W,24 / 24,F,['n']
ENV S     2,Introduction to Environmental Science,6:00pm - 6:50pm,GIRV 1119,HASSEL E M,23 / 24,R,['n']
ENV S     2,Introduction to Environmental Science,9:00 am - 9:50 am,HSSB 1223,BREWSTER C W,24 / 24,F,['n']
ENV S     2,Introduction to Environmental Science,5:00pm - 5:50pm,HSSB 4202,SWALEC C M,24 / 24,T,['n']
ENV S     2,Introduction to Environmental Science,4:00pm - 4:50pm,NH   1111,GRIMES N G,24 / 24,R,['n']
ENV S     2,Introduction to Environmental Science,8:00 am - 8:50 am,HSSB 1233,DOWDY K L,20 / 24,W,['n']
ENV S     2,Introduction to Environmental Science,1:00pm - 1:50pm,HSSB 1214,JAGADEESH T D,24 / 24,F,['n']
ENV S     2,Introduction to Environmental Science,6:00pm - 6:50pm,GIRV 2119,BREWSTER C W,23 / 24,W,['n']
ENV S     2,Introduction to Environmental Science,6:00pm - 6:50pm,GIRV 2116,JAGADEESH T D,23 / 24,W,['n']
ENV S     2,Introduction to Environmental Science,5:00pm - 5:50pm,HSSB 4201,HASSEL E M,22 / 24,R,['n']
ENV S     2,Introduction to Environmental Science,2:00pm - 2:50pm,HSSB 1211,JAGADEESH T D,18 / 24,F,['n']
ENV S     2,Introduction to Environmental Science,8:00 am - 8:50 am,HSSB 1227,MOL C,18 / 24,F,['n']
ENV S     2,Introduction to Environmental Science,6:00pm - 6:50pm,HSSB 3201,SWALEC C M,17 / 24,T,['n']
ENV S     2,Introduction to Environmental Science,2:00pm - 2:50pm,NH   1109,GRIMES N G,24 / 24,W,['n']
ENV S     2,Introduction to Environmental Science,4:00pm - 4:50pm,PHELP2536,DOWDY K L,26 / 24,R,['n']
ENV S     2,Introduction to Environmental Science,8:00 am - 8:50 am,HSSB 4202,MOL C,24 / 24,R,['n']
ENV S     2,Introduction to Environmental Science,2:00pm - 2:50pm,HSSB 1210,HASSEL E M,19 / 24,F,['n']
ENV S     2,Introduction to Environmental Science,7:00pm - 7:50pm,HSSB 4201,SWALEC C M,19 / 24,T,['n']
ENV S     2,Introduction to Environmental Science,4:00pm - 4:50pm,GIRV 1119,DOWDY K L,26 / 24,T,['n']
ENV S     2,Introduction to Environmental Science,5:00pm - 5:50pm,HSSB 4201,MOL C,23 / 24,T,['n']
ENV S     2H,Introduction to Environmental Science - Honors,2:00pm - 2:50pm,GIRV 2108,MORET S L,29 / 30,W,['n']
ENV S    15A,Environmental Chemistry 1,12:30pm - 1:45pm,IV   THEA2,GARDNER H K,141 / 144,T R,['y']
ENV S    15A,Environmental Chemistry 1,2:00pm - 2:50pm,SH   1609,RUBIO-VELAZQU,24 / 24,T,['n']
ENV S    15A,Environmental Chemistry 1,3:00pm - 3:50pm,HSSB 4202,RUBIO-VELAZQU,24 / 24,T,['n']
ENV S    15A,Environmental Chemistry 1,8:00 am - 8:50 am,HSSB 2251,RUBIO-VELAZQU,21 / 24,W,['n']
ENV S    15A,Environmental Chemistry 1,8:00 am - 8:50 am,HSSB 1232,BOUCHE A M,24 / 24,F,['n']
ENV S    15A,Environmental Chemistry 1,6:00pm - 6:50pm,GIRV 2127,BOUCHE A M,24 / 24,R,['n']
ENV S    15A,Environmental Chemistry 1,5:00pm - 5:50pm,GIRV 1112,BOUCHE A M,24 / 24,R,['n']
ENV S    30,Introduction to Environmental Economics,5:00pm - 6:15pm,HSSB 1173,HEILMAYR R F,76 / 72,M W,['y']
ENV S    30,Introduction to Environmental Economics,8:00 am - 8:50 am,HSSB 4201,MAIER J A,24 / 24,R,['n']
ENV S    30,Introduction to Environmental Economics,8:00 am - 8:50 am,HSSB 4201,MAIER J A,25 / 24,F,['n']
ENV S    30,Introduction to Environmental Economics,9:00 am - 9:50 am,HSSB 1214,MAIER J A,27 / 24,F,['n']
ENV S    95,Introduction to Ecological Restoration Field Skills,1:00pm - 3:50pm,HARDR1015,STRATTON E C,11 / 12,M,['n']
ENV S    95,Introduction to Ecological Restoration Field Skills,1:00pm - 3:50pm,HARDR1015,STRATTON E C,11 / 12,T,['n']
ENV S    95,Introduction to Ecological Restoration Field Skills,9:00 am - 11:50am,HARDR1015,STRATTON E C,8 / 12,W,['n']
ENV S    95,Introduction to Ecological Restoration Field Skills,1:00pm - 3:50pm,HARDR1015,STRATTON E C,11 / 12,F,['n']
ENV S    96,Introduction to Curation of Natural History Collections,9:00 am - 11:50am,HARDR1035,CHAPMAN D J,3 / 7,W,['n']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,3:30pm - 4:45pm,BUCHN1920,GEE Q P,143 / 144,T R,['y']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,5:00pm - 5:50pm,GIRV 1115,MENDONSA E S,24 / 24,T,['n']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,8:00 am - 8:50 am,GIRV 2119,MENDONSA E S,24 / 24,W,['n']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,3:00pm - 3:50pm,GIRV 2119,WELCH Z S,24 / 24,W,['n']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,4:00pm - 4:50pm,NH   1109,MENDONSA E S,24 / 24,W,['n']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,10:00am - 10:50am,PHELP3519,WELCH Z S,24 / 24,R,['n']
ENV S   106,Critical Thinking About Human-Environment Problems and   Solutions,8:00 am - 8:50 am,NH   1111,WELCH Z S,23 / 24,R,['n']
ENV S   111,The California Channel Islands,8:00 am - 9:15 am,GIRV 1004,NIDZIEKO N J,87 / 100,W F,['y']
ENV S   114B,Soil Genesis and Classification,2:00pm - 3:15pm,ELLSN3621,CHADWICK O A,7 / 12,M W,['y']
ENV S   114B,Soil Genesis and Classification,2:00pm - 4:50pm,PHELP2525,BINGHAM N L,7 / 12,F,['n']
ENV S   115,Energy and the Environment,8:00 am - 9:15 am,CHEM 1179,GEE Q P,285 / 288,T R,['y']
ENV S   115,Energy and the Environment,5:00pm - 5:50pm,GIRV 2127,POWERS L C,24 / 24,R,['n']
ENV S   115,Energy and the Environment,1:00pm - 1:50pm,HSSB 2251,WILLIAMS M L,24 / 24,F,['n']
ENV S   115,Energy and the Environment,8:00 am - 8:50 am,HSSB 1228,WILLIAMS M L,23 / 24,F,['n']
