Code,Title,Time,Location,Professor,Size,Days,Lecture
ES   1-   2,Intercollegiate Baseball,12:00pm - 6:00pm,BSBL FIELD,CHECKETTS A W,22 / 40,MTWRF,['y']
ES   1-   4A,Elementary Badminton,10:00am - 10:50am,RECENPVGYM,RINKLER KLOBU,26 / 28,T R,['y']
ES   1-   4B,Intermediate Badminton,10:00am - 10:50am,RECENPVGYM,HOUGHTON B L,0 / 24,T R,['y']
ES   1-   6A,Elementary Basketball,11:00am - 11:50am,RECENPVGYM,SHIPLEY A O,30 / 30,M W,['y']
ES   1-   6A,Elementary Basketball,11:00am - 11:50am,RECENPVGYM,COLSON G W,25 / 30,T R,['y']
ES   1-   6A,Elementary Basketball,1:00pm - 1:50pm,RECENPVGYM,FELIX M N,24 / 30,M W,['y']
ES   1-   6B,Intermediate Basketball,10:00am - 10:50am,RECENPVGYM,SHIPLEY A O,19 / 20,M W,['y']
ES   1-   6B,Intermediate Basketball,1:00pm - 1:50pm,RECENPVGYM,COLSON G W,18 / 20,T R,['y']
ES   1-   6C,Advanced Basketball,10:00am - 10:50am,RECENPVGYM,SHIPLEY A O,8 / 10,M W,['y']
ES   1-   6C,Advanced Basketball,1:00pm - 1:50pm,RECENPVGYM,COLSON G W,11 / 10,T R,['y']
ES   1-   7A,Elementary Boating and Sailing,10:30am - 12:20pm,SB   HARBR,SCHAUPETER B,6 / 15,M,['n']
ES   1-   7A,Elementary Boating and Sailing,12:30pm - 2:20pm,SB   HARBR,SCHAUPETER B,7 / 15,M,['n']
ES   1-   7A,Elementary Boating and Sailing,10:30am - 12:20pm,SB   HARBR,SCHAUPETER B,14 / 15,T,['n']
ES   1-   7A,Elementary Boating and Sailing,12:30pm - 2:20pm,SB   HARBR,SCHAUPETER B,13 / 15,T,['n']
ES   1-   7A,Elementary Boating and Sailing,10:30am - 12:20pm,SB   HARBR,SCHAUPETER B,6 / 15,W,['n']
ES   1-   7B,Intermediate Boating & Sailing,2:30pm - 4:20pm,SB   HARBR,SCHAUPETER B,14 / 15,M,['n']
ES   1-   9A,Elementary Bowling,1:00pm - 2:50pm,ZODO BOWL,SHEPARD T J,45 / 50,R,['n']
ES   1-   9A,Elementary Bowling,10:00am - 11:50am,ZODO BOWL,SHEPARD T J,39 / 50,M,['n']
ES   1-  10A,Elementary Aerobic and Fitness Conditioning,8:00 am - 8:50 am,RGYM 1430,T B A,0 / 0,T R,['y']
ES   1-  10A,Elementary Aerobic and Fitness Conditioning,11:00am - 11:50am,RGYM 1430,GAGE R J,50 / 50,M W,['y']
