Code,Title,Time,Location,Professor,Size,Days,Lecture
ESS       3,Nutrition For Health,9:30 am - 10:45am,IV   THEA2,JAMIESON A E,144 / 145,T R,['y']
ESS       3,Nutrition For Health,12:30pm - 1:45pm,LSB  1001,JAMIESON A E,149 / 150,T R,['y']
ESS       4A,Life Fitness,12:00pm - 1:50pm,RECEN2103,SLADE A M,44 / 45,T,['n']
ESS       4A,Life Fitness,12:00pm - 1:50pm,RECENPVGYM,SLADE A M,44 / 45,R,['n']
ESS       9,Principles of Health Promotion,1:00pm - 2:50pm,RECEN2103,SLADE A M,49 / 50,W,['n']
ESS     100,Research and Inquiry in Exercise and Sport,2:00pm - 3:15pm,RECEN1501,ORLANDO M D,70 / 60,T R,['y']
ESS     130,Sport Administration,11:00am - 12:15pm,RECEN1501,ORLANDO M D,73 / 60,T R,['y']
ESS     131,Sport and Exercise Psychology,9:30 am - 10:45am,PHELP3515,SLADE A M,89 / 80,T R,['y']
ESS     131,Sport and Exercise Psychology,12:30pm - 1:45pm,RECEN1501,SPAVENTA J A,0 / 58,T R,['y']
ESS     132,Sport Sociology,12:30pm - 1:45pm,RECEN1501,HATCHER K L,62 / 60,M W,['y']
ESS     132,Sport Sociology,10:00am - 12:30pm,RECEN1501,ORLANDO M D,70 / 60,F,['n']
ESS     140,Sport Management,9:30 am - 10:45am,RECEN1501,HATCHER K L,66 / 60,M W,['y']
ESS     160,Current Issues in Sport Management,8:00 am - 9:15 am,RECEN1501,HATCHER K L,57 / 60,M W,['y']
