Code,Title,Time,Location,Professor,Size,Days,Lecture
FAMST    70,Media Criticism,9:00 am - 10:50am,PLLOKTHTR,SIEGEL G D,230 / 250,M W F,['y']
FAMST    70,Media Criticism,1:00pm - 1:50pm,SSMS 2017,MORGENSTERN T,12 / 17,M,['n']
FAMST    70,Media Criticism,2:00pm - 2:50pm,SSMS 2017,MORGENSTERN T,17 / 18,M,['n']
FAMST    70,Media Criticism,3:00pm - 3:50pm,SSMS 2017,MORGENSTERN T,17 / 17,M,['n']
FAMST    70,Media Criticism,1:00pm - 1:50pm,SSMS 2303,MOORE J S,19 / 18,M,['n']
FAMST    70,Media Criticism,2:00pm - 2:50pm,SSMS 2303,MOORE J S,16 / 17,M,['n']
FAMST    70,Media Criticism,3:00pm - 3:50pm,SSMS 2303,MOORE J S,15 / 17,M,['n']
FAMST    70,Media Criticism,9:00 am - 9:50 am,SSMS 2017,PENABELLA M A,15 / 17,T,['n']
FAMST    70,Media Criticism,10:00am - 10:50am,SSMS 2017,PENABELLA M A,16 / 18,T,['n']
FAMST    70,Media Criticism,11:00am - 11:50am,SSMS 2017,PENABELLA M A,17 / 18,T,['n']
FAMST    70,Media Criticism,5:00pm - 5:50pm,SSMS 2013,COX N M,18 / 18,T,['n']
FAMST    70,Media Criticism,6:00pm - 6:50pm,SSMS 2013,COX N M,15 / 18,T,['n']
FAMST    70,Media Criticism,7:00pm - 7:50pm,SSMS 2013,COX N M,10 / 17,T,['n']
FAMST    70,Media Criticism,9:00 am - 9:50 am,SSMS 2013,ORZEL C H,9 / 19,R,['n']
FAMST    70,Media Criticism,10:00am - 10:50am,SSMS 2013,ORZEL C H,17 / 19,R,['n']
FAMST    70,Media Criticism,11:00am - 11:50am,SSMS 2013,ORZEL C H,17 / 19,R,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,11:00am - 1:20pm,PLLOKTHTR,WOLFE C C,148 / 149,M W,['y']
FAMST   101B,History of Cinema: The Development of Sound Film,11:00am - 12:15pm,BUCHN1940,FEE CHARGED.,148 / 149,T R,['y']
FAMST   101B,History of Cinema: The Development of Sound Film,4:00pm - 4:50pm,SSMS 2303,NIEHUSEN K P,17 / 18,T,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,5:00pm - 5:50pm,SSMS 2303,NIEHUSEN K P,19 / 18,T,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,6:00pm - 6:50pm,SSMS 2303,NIEHUSEN K P,18 / 18,T,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,8:00 am - 8:50 am,SSMS 2013,HUSER B J,12 / 14,W,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,9:00 am - 9:50 am,SSMS 2013,HUSER B J,16 / 16,W,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,10:00am - 10:50am,SSMS 2013,HUSER B J,17 / 16,W,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,8:00 am - 8:50 am,SSMS 2017,ZHANG XIUHE,16 / 16,W,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,9:00 am - 9:50 am,SSMS 2017,ZHANG XIUHE,16 / 16,W,['n']
FAMST   101B,History of Cinema: The Development of Sound Film,10:00am - 10:50am,SSMS 2017,ZHANG XIUHE,17 / 16,W,['n']
FAMST   101BH,History of Cinema: The Development of Sound - Honors,1:00pm - 1:50pm,SSMS 2303,WOLFE C C,2 / 15,R,['n']
FAMST   104,Production Technology,3:00pm - 4:15pm,PLLOKTHTR,LEARNED-WOLF,36 / 35,T R,['y']
FAMST   104,Production Technology,8:00 am - 8:50 am,PLLOKSTG,TEJEDA A,14 / 15,W,['n']
FAMST   104,Production Technology,9:00 am - 9:50 am,PLLOKSTG,TEJEDA A,13 / 15,W,['n']
FAMST   104,Production Technology,10:00am - 10:50am,PLLOKSTG,TEJEDA A,9 / 15,W,['n']
FAMST   106B,Crew Production,9:00 am - 10:50am,SSMS 2303,LEARNED-WOLF,14 / 18,T R,['y']
FAMST   106B,Crew Production,9:00 am - 10:50am,SSMS 2303,JENKINS C L,11 / 18,T R,['y']
FAMST   107,Introduction to Animation,11:00am - 12:50pm,PLLOKTHTR,JENKINS C L,51 / 45,T R,['y']
FAMST   113PW,Special Topics in Film and Media Studies,9:00 am - 11:50am,SSMS 2303,STEINKELLNER,17 / 18,F,['n']
FAMST   115,Sound Production,2:00pm - 3:50pm,SSMS 2414,HOLCOMB S J,16 / 13,M W,['y']
FAMST   118,Sponsored Campus Production,11:00am - 12:50pm,SSMS 2303,JENKINS C L,14 / 16,M W,['y']
FAMST   119ML,Film Programming: Magic Lantern,9:00 am - 10:50am,SSMS 2017,SARKAR B,25 / 25,M,['n']
FAMST   119ML,Film Programming: Magic Lantern,6:00pm - 11:50pm,IV   THEA1,DEPARTMENT APPROVAL REQUIRED TO FINALIZE REGISTRATION.,25 / 25,M   F,['y']
FAMST   122ME,Topics in National and Transnational Media: Middle East Media,1:00pm - 2:30pm,SSMS 2013,SHEREEN SAKR,20 / 20,M W,['y']
FAMST   151AE,American Film History: Film and Culture of the 80s,1:30pm - 4:15pm,PLLOKTHTR,MELNICK R D,104 / 95,M W,['y']
FAMST   165BA,Film and Social Reality: BLACK AUTEURS,1:00pm - 2:20pm,SSMS 2013,EVERETT A,15 / 18,T R,['y']
FAMST   165MV,Film and Social Reality,9:00 am - 10:50am,PLLOKTHTR,FELANDO C L,33 / 40,T R,['y']
FAMST   166EM,"Special Topics in Cultural Studies: Energy, Media, and Culture",1:00pm - 3:50pm,SSMS 2303,DAMLUJI M N,17 / 20,T,['n']
FAMST   166EM,"Special Topics in Cultural Studies: Energy, Media, and Culture",1:00pm - 2:50pm,SSMS 2311,FEE CHARGED.,17 / 20,R,['n']
FAMST   187AR,Topics in Film and Television Analysis: Archiving,2:00pm - 3:50pm,SSMS 2017,DRISKEL D B,16 / 16,T R,['y']
FAMST   187FT,Topics in Film and Television Analysis: Film and TV of the Sixties,9:00 am - 11:50am,SSMS 2013,EVERETT A,17 / 16,T,['n']
FAMST   187SH,Topics in Film and Television Analysis: Short Format Film,3:00pm - 4:50pm,SSMS 2013,FELANDO C L,13 / 18,T R,['y']
FAMST   188A,Basic Screenwriting,12:00pm - 1:50pm,SSMS 2017,MINER M A,20 / 18,T R,['y']
FAMST   188B,Advanced Screenwriting,4:00pm - 5:50pm,SSMS 2017,MINER M A,11 / 16,T R,['y']
FAMST   189FT,Topics in Contemporary Media Theory: FemTech Lab,4:00pm - 6:50pm,SSMS 2017,SHEREEN SAKR,14 / 18,M,['n']
FAMST   189TT,"Topics in Contemporary Media Theory: Taps & Traps: Surveillance, Observation, Capture",11:00am - 12:50pm,SSMS 2013,HAN L Y,8 / 18,M W,['y']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,1:00pm - 2:50pm,PLLOKTHTR,CHANG A Y,99 / 99,T R,['y']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,6:00pm - 6:50pm,SSMS 2017,STEENLAND J M,17 / 17,T,['n']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,7:00pm - 7:50pm,SSMS 2017,STEENLAND J M,19 / 18,T,['n']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,8:00pm - 8:50pm,SSMS 2017,STEENLAND J M,11 / 18,T,['n']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,4:00pm - 4:50pm,SSMS 2013,LERNER S E,17 / 18,W,['n']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,5:00pm - 5:50pm,SSMS 2013,LERNER S E,18 / 18,W,['n']
FAMST   192DT,Topics in Film and Media Theory: Digital Theory,6:00pm - 6:50pm,SSMS 2013,LERNER S E,17 / 18,W,['n']
