Code,Title,Time,Location,Professor,Size,Days,Lecture
GEOG      3A,Oceans and Atmosphere,9:00 am - 9:50 am,EMBARHALL,MONTINI T L,215 / 216,M W F,['y']
GEOG      3A,Oceans and Atmosphere,2:00pm - 2:50pm,PHELP2525,SOLGI M,27 / 27,W,['n']
GEOG      3A,Oceans and Atmosphere,5:00pm - 5:50pm,PHELP2525,CAI L,28 / 27,W,['n']
GEOG      3A,Oceans and Atmosphere,5:00pm - 5:50pm,PHELP2525,SOLGI M,27 / 27,R,['n']
GEOG      3A,Oceans and Atmosphere,3:00pm - 3:50pm,PHELP2525,CAI L,26 / 27,W,['n']
GEOG      3A,Oceans and Atmosphere,1:00pm - 1:50pm,PHELP2525,NOI E,26 / 27,R,['n']
GEOG      3A,Oceans and Atmosphere,11:00am - 11:50am,PHELP2525,CAI L,27 / 27,F,['n']
GEOG      3A,Oceans and Atmosphere,2:00pm - 2:50pm,PHELP2525,NOI E,27 / 27,R,['n']
GEOG      3A,Oceans and Atmosphere,10:00am - 10:50am,PHELP2525,SOLGI M,27 / 27,T,['n']
GEOG      5,"People, Place, and Environment",10:00am - 10:50am,MUSICLLCH,CHRASTIL E R,290 / 290,M W F,['y']
GEOG      5,"People, Place, and Environment",11:00am - 11:50am,ELLSN2620,FELICIANO M W,29 / 29,F,['n']
GEOG      5,"People, Place, and Environment",2:00pm - 2:50pm,ELLSN2620,BANKS J L,29 / 29,T,['n']
GEOG      5,"People, Place, and Environment",1:00pm - 1:50pm,ELLSN2620,FELICIANO M W,29 / 29,F,['n']
GEOG      5,"People, Place, and Environment",6:00pm - 6:50pm,ELLSN2620,PLUDOW B A,29 / 29,T,['n']
GEOG      5,"People, Place, and Environment",5:00pm - 5:50pm,ELLSN2620,FELICIANO M W,29 / 29,W,['n']
GEOG      5,"People, Place, and Environment",1:00pm - 1:50pm,ELLSN2620,BANKS J L,29 / 29,T,['n']
GEOG      5,"People, Place, and Environment",11:00am - 11:50am,ELLSN2620,BANKS J L,29 / 29,T,['n']
GEOG      5,"People, Place, and Environment",10:00am - 10:50am,ELLSN2620,GOTO E A,29 / 29,R,['n']
GEOG      5,"People, Place, and Environment",11:00am - 11:50am,ELLSN2620,GOTO E A,29 / 29,R,['n']
GEOG      5,"People, Place, and Environment",12:00pm - 12:50pm,ELLSN2620,GOTO E A,29 / 29,R,['n']
GEOG      8,Living with Global Warming,9:30 am - 10:45am,ARTS 1353,JONES C,54 / 54,T R,['y']
GEOG      8,Living with Global Warming,12:00pm - 1:50pm,ELLSN3620,XIAO J,27 / 27,T,['n']
GEOG      8,Living with Global Warming,12:00pm - 1:50pm,ELLSN3620,ROMICH T L,27 / 27,W,['n']
GEOG    110,Introduction to Meteorology,12:30pm - 1:45pm,ELLSN3621,DE CARVALHO L,46 / 48,M W,['y']
GEOG    110,Introduction to Meteorology,5:00pm - 5:50pm,ELLSN3620,MILLER K M,25 / 24,T,['n']
GEOG    110,Introduction to Meteorology,10:00am - 10:50am,PHELP2525,MILLER K M,21 / 24,W,['n']
GEOG    114B,Soil Genesis and Classification,2:00pm - 3:15pm,ELLSN3621,CHADWICK O A,6 / 12,M W,['y']
GEOG    114B,Soil Genesis and Classification,2:00pm - 4:50pm,PHELP2525,BINGHAM N L,6 / 12,F,['n']
GEOG    115B,Remote Sensing of the Environment 2,9:30 am - 10:45am,PSYCH1902,CHU V W,64 / 72,M W,['y']
