Code,Title,Time,Location,Professor,Size,Days,Lecture
GER       1G,Introduction to Reading German (for Graduate Students),10:00am - 11:50am,PHELP5312,KOMMERELL G,19 / 20,M W,['y']
GER       2,Elementary German,10:00am - 10:50am,GIRV 2120,REDER E R,29 / 26,MTWR,['y']
GER       2,Elementary German,10:00am - 10:50am,GIRV 2108,SHEEDY M A,19 / 26,MTWR,['y']
GER       2,Elementary German,11:00am - 11:50am,GIRV 2112,SHEEDY M A,28 / 26,MTWR,['y']
GER       2,Elementary German,2:00pm - 2:50pm,PHELP1508,REDER E R,15 / 26,MTWR,['y']
GER       2,Elementary German,1:00pm - 1:50pm,GIRV 2108,MEYR J E,27 / 26,MTWR,['y']
GER       2,Elementary German,12:00pm - 12:50pm,GIRV 2112,REDER E R,25 / 26,MTWR,['y']
GER       2,Elementary German,2:00pm - 2:50pm,NH   1111,MEYR J E,25 / 26,MTWR,['y']
GER       5,Intermediate German,11:00am - 11:50am,GIRV 2120,REDER E R,27 / 26,MTWR,['y']
GER       5,Intermediate German,1:00pm - 1:50pm,PHELP2514,SHEEDY M A,16 / 26,MTWR,['y']
GER       5,Intermediate German,10:00am - 10:50am,PHELP2514,MEYR J E,23 / 26,MTWR,['y']
GER      35,The Making of the Modern World,11:00am - 12:15pm,BUCHN1930,VAGT C,50 / 50,T R,['y']
GER      35,The Making of the Modern World,4:00pm - 4:50pm,GIRV 2116,BELLOMI J J,25 / 25,W,['n']
GER      35,The Making of the Modern World,5:00pm - 5:50pm,GIRV 2123,BELLOMI J J,25 / 25,W,['n']
GER     101B,Advanced German,12:30pm - 1:45pm,HSSB 1207,WHITE K D,25 / 26,T R,['y']
GER     101B,Advanced German,12:30pm - 1:45pm,HSSB 1214,WHITE K D,16 / 26,M W,['y']
GER     108,Germany Today: Media and Politics after 1989,3:30pm - 4:45pm,HSSB 1224,VAGT C,23 / 25,T R,['y']
GER     113,Special Topics in German Literature,11:00am - 12:15pm,PHELP6320,KITTLER W D,5 / 25,M W,['y']
GER     179C,Mediatechnology,2:00pm - 3:15pm,WEBB 1100,KITTLER W D,46 / 46,M W,['y']
