Code,Title,Time,Location,Professor,Size,Days,Lecture
HIST      2A,World History,11:00am - 12:15pm,HFH  1104,DIGESER E D,155 / 162,T R,['y']
HIST      2A,World History,12:00pm - 12:50pm,HSSB 1228,THOMPSON W K,17 / 18,M,['n']
HIST      2A,World History,4:00pm - 4:50pm,HSSB 2202,THOMPSON W K,17 / 18,M,['n']
HIST      2A,World History,3:00pm - 3:50pm,HSSB 2202,THOMPSON W K,18 / 18,M,['n']
HIST      2A,World History,4:00pm - 4:50pm,HSSB 3201,ALSHAIF G A,18 / 18,T,['n']
HIST      2A,World History,5:00pm - 5:50pm,HSSB 2202,ALSHAIF G A,18 / 18,T,['n']
HIST      2A,World History,6:00pm - 6:50pm,HSSB 2202,ALSHAIF G A,16 / 18,T,['n']
HIST      2A,World History,2:00pm - 2:50pm,HSSB 2202,DEVRIS J J,17 / 18,T,['n']
HIST      2A,World History,3:00pm - 3:50pm,HSSB 4202,DEVRIS J J,17 / 18,W,['n']
HIST      2A,World History,2:00pm - 2:50pm,HSSB 4201,DEVRIS J J,17 / 18,W,['n']
HIST      2B,World History,12:30pm - 1:45pm,IV   THEA1,ROBERTS L S,433 / 432,T R,['y']
HIST      2B,World History,4:00pm - 4:50pm,HSSB 2201,SCHMIDT E M,18 / 18,T,['n']
HIST      2B,World History,5:00pm - 5:50pm,HSSB 3202,BOCCHINO A J,18 / 18,W,['n']
HIST      2B,World History,6:00pm - 6:50pm,GIRV 2135,ANDERSON D D,18 / 18,W,['n']
HIST      2B,World History,7:00pm - 7:50pm,GIRV 2135,ANDERSON D D,18 / 18,W,['n']
HIST      2B,World History,8:00 am - 8:50 am,HSSB 1236,ROBERTS C G,18 / 18,F,['n']
HIST      2B,World History,4:00pm - 4:50pm,HSSB 2252,SCHMIDT S,19 / 18,R,['n']
HIST      2B,World History,8:00 am - 8:50 am,HSSB 2202,THOMAS-MCGILL,18 / 18,R,['n']
HIST      2B,World History,6:00pm - 6:50pm,HSSB 2202,SCHMIDT S,19 / 18,R,['n']
HIST      2B,World History,7:00pm - 7:50pm,GIRV 2135,ANDERSON D D,18 / 18,R,['n']
HIST      2B,World History,9:00 am - 9:50 am,HSSB 2202,KHRLOBIAN C Z,18 / 18,F,['n']
HIST      2B,World History,10:00am - 10:50am,HSSB 2202,KHRLOBIAN C Z,18 / 18,F,['n']
HIST      2B,World History,11:00am - 11:50am,HSSB 2201,KHRLOBIAN C Z,18 / 18,F,['n']
HIST      2B,World History,2:00pm - 2:50pm,HSSB 2202,ROBERTS C G,18 / 18,F,['n']
HIST      2B,World History,3:00pm - 3:50pm,GIRV 2135,DOU L,18 / 18,F,['n']
HIST      2B,World History,4:00pm - 4:50pm,GIRV 2135,DOU L,18 / 18,F,['n']
HIST      2B,World History,12:00pm - 12:50pm,GIRV 2135,DOU L,18 / 18,M,['n']
HIST      2B,World History,1:00pm - 1:50pm,HSSB 2202,BOCCHINO A J,17 / 18,M,['n']
HIST      2B,World History,5:00pm - 5:50pm,HSSB 2202,SCHMIDT E M,18 / 18,M,['n']
HIST      2B,World History,9:00 am - 9:50 am,GIRV 2135,BOCCHINO A J,18 / 18,M,['n']
HIST      2B,World History,4:00pm - 4:50pm,GIRV 2135,THOMAS-MCGILL,18 / 18,M,['n']
HIST      2B,World History,5:00pm - 5:50pm,GIRV 2135,THOMAS-MCGILL,18 / 18,M,['n']
HIST      2B,World History,8:00 am - 8:50 am,HSSB 2202,SCHMIDT E M,17 / 18,T,['n']
HIST      2B,World History,1:00pm - 1:50pm,HSSB 2202,ROBERTS C G,18 / 18,F,['n']
HIST      2B,World History,1:00pm - 1:50pm,ELLSN2816,SCHMIDT S,19 / 18,M,['n']
HIST      4B,Medieval and Early Modern Europe,3:30pm - 4:45pm,CHEM 1179,SONNINO P M,316 / 324,T R,['y']
HIST      4B,Medieval and Early Modern Europe,5:00pm - 5:50pm,GIRV 2135,CRISLER J F,18 / 18,T,['n']
HIST      4B,Medieval and Early Modern Europe,8:00 am - 8:50 am,ELLSN2816,GIAMBONI G,16 / 18,F,['n']
HIST      4B,Medieval and Early Modern Europe,9:00 am - 9:50 am,HSSB 2202,COLON M R,18 / 18,R,['n']
HIST      4B,Medieval and Early Modern Europe,6:00pm - 6:50pm,GIRV 2135,CRISLER J F,17 / 18,T,['n']
HIST      4B,Medieval and Early Modern Europe,8:00 am - 8:50 am,GIRV 2135,GIAMBONI G,15 / 18,W,['n']
HIST      4B,Medieval and Early Modern Europe,9:00 am - 9:50 am,GIRV 2135,GIAMBONI G,18 / 18,W,['n']
HIST      4B,Medieval and Early Modern Europe,3:00pm - 3:50pm,ELLSN2816,CRISLER J F,18 / 18,F,['n']
HIST      4B,Medieval and Early Modern Europe,7:00pm - 7:50pm,ELLSN2816,COLON M R,18 / 18,W,['n']
HIST      4B,Medieval and Early Modern Europe,8:00 am - 8:50 am,ELLSN2816,COLON M R,17 / 18,R,['n']
HIST      4B,Medieval and Early Modern Europe,4:00pm - 4:50pm,ELLSN2816,CRISLER J F,17 / 18,F,['n']
HIST      4B,Medieval and Early Modern Europe,1:00pm - 1:50pm,HSSB 2202,GRECO A L,18 / 18,W,['n']
HIST      4B,Medieval and Early Modern Europe,7:00pm - 7:50pm,ELLSN2816,TYRRELL B P,18 / 18,R,['n']
HIST      4B,Medieval and Early Modern Europe,6:00pm - 6:50pm,GIRV 2135,TYRRELL B P,18 / 18,R,['n']
HIST      4B,Medieval and Early Modern Europe,5:00pm - 5:50pm,GIRV 2135,TYRRELL B P,18 / 18,R,['n']
HIST      4B,Medieval and Early Modern Europe,9:00 am - 9:50 am,ELLSN2816,TYRRELL B P,18 / 18,R,['n']
HIST      4B,Medieval and Early Modern Europe,4:00pm - 4:50pm,HSSB 3202,GRECO A L,18 / 18,W,['n']
HIST      4B,Medieval and Early Modern Europe,2:00pm - 2:50pm,HSSB 3202,GRECO A L,18 / 18,W,['n']
HIST      4B,Medieval and Early Modern Europe,3:00pm - 3:50pm,HSSB 4201,GRECO A L,18 / 18,W,['n']
HIST      8,Introduction to History of Latin America,5:00pm - 6:15pm,CHEM 1171,LAURENT-PERRA,108 / 108,T R,['y']
HIST      8,Introduction to History of Latin America,7:00pm - 7:50pm,ELLSN2816,ZAMIR S M,18 / 18,M,['n']
HIST      8,Introduction to History of Latin America,8:00 am - 8:50 am,ELLSN2816,SOTO SEGURA A,18 / 18,T,['n']
HIST      8,Introduction to History of Latin America,9:00 am - 9:50 am,ELLSN2816,SOTO SEGURA A,18 / 18,T,['n']
HIST      8,Introduction to History of Latin America,10:00am - 10:50am,HSSB 2202,SOTO SEGURA A,18 / 18,T,['n']
HIST      8,Introduction to History of Latin America,12:00pm - 12:50pm,HSSB 1228,ZAMIR S M,18 / 18,W,['n']
HIST      8,Introduction to History of Latin America,1:00pm - 1:50pm,ELLSN2816,ZAMIR S M,18 / 18,W,['n']
HIST      9,Historical Investigations: Methods and Skills,9:00 am - 11:50am,HSSB 4020,PLANE A M,33 / 30,T,['n']
HIST      9,Historical Investigations: Methods and Skills,2:00pm - 3:15pm,GIRV 2124,CHATTO U,29 / 30,T R,['y']
HIST     17B,The American People,3:30pm - 4:45pm,IV   THEA1,STEPHENS C C,471 / 486,T R,['y']
HIST     17B,The American People,2:00pm - 2:50pm,HSSB 4201,HALLBAUER J M,17 / 18,M,['n']
HIST     17B,The American People,8:00 am - 8:50 am,GIRV 2135,SMITH M A,18 / 18,M,['n']
HIST     17B,The American People,3:00pm - 3:50pm,HSSB 4201,JOHNSON N R,17 / 18,M,['n']
HIST     17B,The American People,8:00 am - 8:50 am,HSSB 2201,MACMAHON C M,18 / 18,T,['n']
HIST     17B,The American People,5:00pm - 5:50pm,GIRV 1108,JOHNSON N R,17 / 18,M,['n']
HIST     17B,The American People,5:00pm - 5:50pm,HSSB 2201,JENSEN A M,18 / 18,T,['n']
HIST     17B,The American People,6:00pm - 6:50pm,HSSB 2201,JENSEN A M,16 / 18,T,['n']
HIST     17B,The American People,8:00 am - 8:50 am,HSSB 2202,CONTRERAS A L,18 / 18,W,['n']
HIST     17B,The American People,12:00pm - 12:50pm,GIRV 2135,TUMEN M E,17 / 18,F,['n']
HIST     17B,The American People,5:00pm - 5:50pm,HSSB 4041,CONTRERAS A L,18 / 18,W,['n']
HIST     17B,The American People,2:00pm - 2:50pm,GIRV 2135,HUGHES D L,18 / 18,T,['n']
HIST     17B,The American People,8:00 am - 8:50 am,GIRV 2135,HUGHES D L,17 / 18,R,['n']
HIST     17B,The American People,8:00 am - 8:50 am,HSSB 2251,HALLBAUER J M,15 / 18,M,['n']
HIST     17B,The American People,5:00pm - 5:50pm,HSSB 2202,HALLBAUER J M,19 / 18,R,['n']
HIST     17B,The American People,6:00pm - 6:50pm,HSSB 3201,JENSEN A M,17 / 18,R,['n']
HIST     17B,The American People,8:00 am - 8:50 am,HSSB 2202,DUNNE S C,17 / 18,F,['n']
HIST     17B,The American People,9:00 am - 9:50 am,HSSB 2201,DUNNE S C,17 / 18,F,['n']
HIST     17B,The American People,7:00pm - 7:50pm,HSSB 2251,JOHNSON N R,19 / 18,M,['n']
HIST     17B,The American People,3:00pm - 3:50pm,HSSB 2202,DUNNE S C,18 / 18,F,['n']
HIST     17B,The American People,3:00pm - 3:50pm,HSSB 1232,CONTRERAS A L,18 / 18,W,['n']
HIST     17B,The American People,8:00 am - 8:50 am,HSSB 2251,MACMAHON C M,16 / 18,F,['n']
HIST     17B,The American People,4:00pm - 4:50pm,HSSB 2202,TUMEN M E,16 / 18,F,['n']
HIST     17B,The American People,3:00pm - 3:50pm,HSSB 2251,MACMAHON C M,18 / 18,F,['n']
HIST     17B,The American People,5:00pm - 5:50pm,HSSB 4202,SMITH M A,18 / 18,M,['n']
HIST     17B,The American People,3:00pm - 3:50pm,GIRV 2135,SMITH M A,18 / 18,M,['n']
HIST     17B,The American People,1:00pm - 1:50pm,HSSB 2202,HUGHES D L,18 / 18,T,['n']
HIST     17B,The American People,1:00pm - 1:50pm,GIRV 2135,TUMEN M E,18 / 18,F,['n']
HIST     20,Science and the Modern World,3:30pm - 4:45pm,GIRV 1004,MARTIN J A,155 / 162,M W,['y']
HIST     20,Science and the Modern World,8:00 am - 8:50 am,GIRV 1108,WARDEN P M,16 / 18,T,['n']
HIST     20,Science and the Modern World,2:00pm - 2:50pm,SH   1609,LIU YU,16 / 18,F,['n']
HIST     20,Science and the Modern World,6:00pm - 6:50pm,SH   1609,GILLERAN S W,16 / 18,M,['n']
HIST     20,Science and the Modern World,5:00pm - 5:50pm,SH   1609,GILLERAN S W,18 / 18,M,['n']
HIST     20,Science and the Modern World,2:00pm - 2:50pm,HSSB 1214,WARDEN P M,18 / 18,R,['n']
HIST     20,Science and the Modern World,1:00pm - 1:50pm,HSSB 1227,WARDEN P M,17 / 18,R,['n']
HIST     20,Science and the Modern World,3:00pm - 3:50pm,HSSB 2201,LIU YU,18 / 18,T,['n']
HIST     20,Science and the Modern World,2:00pm - 2:50pm,HSSB 2202,LIU YU,17 / 18,W,['n']
HIST     20,Science and the Modern World,2:00pm - 2:50pm,HSSB 2202,GILLERAN S W,19 / 18,M,['n']
HIST     25,Violence and the Japanese State,9:30 am - 10:45am,TD-W 2600,FRUHSTUCK S,20 / 18,T R,['y']
HIST     25,Violence and the Japanese State,12:00pm - 12:50pm,HSSB 3202,MOORE K,5 / 6,R,['n']
HIST     25,Violence and the Japanese State,1:00pm - 1:50pm,HSSB 1215,MOORE K,7 / 6,R,['n']
HIST     25,Violence and the Japanese State,10:00am - 10:50am,HSSB 2201,MOORE K,8 / 6,F,['n']
HIST     49B,Survey of African History,5:00pm - 6:15pm,LSB  1001,MIESCHER S F,77 / 78,T R,['y']
HIST     49B,Survey of African History,8:00 am - 8:50 am,GIRV 2110,PULKKINEN T J,13 / 13,M,['n']
HIST     49B,Survey of African History,3:00pm - 3:50pm,LSB  1101,PULKKINEN T J,13 / 13,F,['n']
HIST     49B,Survey of African History,1:00pm - 1:50pm,GIRV 1106,WEBB M C,13 / 13,W,['n']
HIST     49B,Survey of African History,3:00pm - 3:50pm,GIRV 2135,WEBB M C,13 / 13,R,['n']
HIST     49B,Survey of African History,4:00pm - 4:50pm,GIRV 1106,PULKKINEN T J,12 / 13,F,['n']
HIST     49B,Survey of African History,2:00pm - 2:50pm,GIRV 1106,WEBB M C,13 / 13,M,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",2:00pm - 3:15pm,HFH  1104,O'CONNOR A M,136 / 162,M W,['y']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",8:00 am - 8:50 am,GIRV 2135,COHEN N A,14 / 18,T,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",9:00 am - 9:50 am,HSSB 2202,COHEN N A,12 / 18,T,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",8:00 am - 8:50 am,HSSB 1224,RAGHU P,15 / 18,F,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",4:00pm - 4:50pm,GIRV 2135,KASSNER N M,18 / 18,W,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",5:00pm - 5:50pm,GIRV 2135,KASSNER N M,18 / 18,W,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",6:00pm - 6:50pm,ELLSN2816,KASSNER N M,15 / 18,W,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",9:00 am - 9:50 am,GIRV 2135,RAGHU P,14 / 18,F,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",10:00am - 10:50am,GIRV 2135,RAGHU P,15 / 18,F,['n']
HIST     74,"Poverty, Inequality and Social Justice in Historical and Global Context",11:00am - 11:50am,HSSB 2202,COHEN N A,15 / 18,F,['n']
HIST     87,Japanese History Through Art and Literature,8:00 am - 9:15 am,CHEM 1171,MCDONALD K L,108 / 108,T R,['y']
HIST     87,Japanese History Through Art and Literature,10:00am - 10:50am,ELLSN2816,POLATIS K N,18 / 18,W,['n']
HIST     87,Japanese History Through Art and Literature,3:00pm - 3:50pm,HSSB 3202,POLATIS K N,18 / 18,W,['n']
HIST     87,Japanese History Through Art and Literature,3:00pm - 3:50pm,GIRV 2135,THORNBURG M E,18 / 18,W,['n']
HIST     87,Japanese History Through Art and Literature,11:00am - 11:50am,GIRV 2135,THORNBURG M E,18 / 18,F,['n']
HIST     87,Japanese History Through Art and Literature,2:00pm - 2:50pm,GIRV 2135,THORNBURG M E,18 / 18,F,['n']
HIST     87,Japanese History Through Art and Literature,1:00pm - 1:50pm,ELLSN2816,POLATIS K N,18 / 18,F,['n']
HIST    100H,Historical Writing,1:00pm - 3:50pm,ELLSN2816,LANSING C L,5 / 15,R,['n']
HIST    106B,"The Scientific Revolution, 1500 to 1800",10:00am - 10:50am,GIRV 2112,BOULEY B A,42 / 42,M W F,['y']
HIST    111F,"Achaemenid Persia, 559-330BCE",3:30pm - 4:45pm,ARTS 1356,LEE J W,44 / 42,M W,['y']
HIST    115B,"The Worlds of Renaissance Italy, 1300-1500",2:00pm - 3:15pm,387  1011,LANSING C L,42 / 42,M W,['y']
HIST    117E,Society and Nature in the Middle Ages,2:00pm - 3:15pm,387  1011,FARMER S A,40 / 42,T R,['y']
HIST    121E,Topics in Early Modern European History,12:30pm - 1:45pm,387  1011,NORTH M F,44 / 42,T R,['y']
HIST    121R,"Undergraduate Research Seminar in Early Modern Europe,   1450-1700",2:00pm - 4:50pm,HSSB 4041,BERNSTEIN H J,13 / 15,T,['n']
HIST    133B,"Twentieth Century Germany, Part I",2:00pm - 3:15pm,ARTS 1349,MARCUSE H,46 / 42,T R,['y']
HIST    136M,History of U.S.-Mexican Relations,5:00pm - 6:15pm,ARTS 1356,CASTILLO-MUNO,43 / 42,M W,['y']
HIST    140A,Early Modern Britain,12:30pm - 1:45pm,GIRV 2115,MCGEE J S,40 / 42,W F,['y']
HIST    141A,Nineteenth-Century Britain,9:30 am - 10:45am,GIRV 2115,HENDERSON J G,38 / 42,W F,['y']
HIST    144B,Immigration and the U.S.-Mexico Border,2:00pm - 3:15pm,HFH  1104,CHAVEZ-GARCIA,150 / 150,T R,['y']
HIST    146,History of the Modern Middle East,12:30pm - 1:45pm,387  1011,ALSABAGH M H,42 / 42,M W,['y']
