Code,Title,Time,Location,Professor,Size,Days,Lecture
INT      10,Transitioning to Academic Excellence,5:00pm - 6:15pm,PHELP1425,ROOSE H M,47 / 40,M,['n']
INT      75,Underserved Medicine,5:00pm - 7:20pm,EMBARHALL,PRYSTOWSKY J,252 / 247,T,['n']
INT      75,Underserved Medicine,12:00pm - 12:50pm,PHELP1425,PRYSTOWSKY J,51 / 65,W,['n']
INT      75,Underserved Medicine,11:00am - 11:50am,PHELP1425,PRYSTOWSKY J,68 / 65,W,['n']
INT      75,Underserved Medicine,1:00pm - 1:50pm,PHELP1160,PRYSTOWSKY J,70 / 70,W,['n']
INT      75,Underserved Medicine,2:00pm - 2:50pm,PHELP1425,PRYSTOWSKY J,63 / 65,W,['n']
INT      80EM,Mediated Worlds/THEMAS Engineering+Mathematics Emphasis,12:30pm - 1:45pm,ARTS 1353,NOVAK M J,45 / 54,T R,['y']
INT      80EM,Mediated Worlds/THEMAS Engineering+Mathematics Emphasis,4:00pm - 4:50pm,GIRV 2135,Messages:,17 / 18,T,['n']
INT      80EM,Mediated Worlds/THEMAS Engineering+Mathematics Emphasis,2:00pm - 2:50pm,GIRV 2135,Messages:,16 / 18,R,['n']
INT      80EM,Mediated Worlds/THEMAS Engineering+Mathematics Emphasis,3:00pm - 3:50pm,HSSB 4202,Messages:,12 / 18,R,['n']
INT      84AH,Introductory Honors Seminar: Special Topics,5:00pm - 6:50pm,BRDA 3302,BIBILASHVILI,23 / 20,W,['n']
INT      84AQ,Introductory Honors Seminar: Special Topics,2:00pm - 3:50pm,HSSB 2201,BERMUDEZ S,18 / 20,R,['n']
INT      84ZB,Introductory Honors Seminar: Special Topics,4:00pm - 4:50pm,GIRV 1106,SIMMS A R,11 / 11,T R,['y']
INT      84ZI,Introductory Honors Seminar: Special Topics,12:30pm - 5:20pm,LSB  4307,MAZER S J,10 / 10,F,['n']
INT      84ZT,Introductory Honors Seminar: Special Topics,8:00 am - 8:50 am,SH   1607,STOPPLE J,22 / 20,M W,['y']
INT      84ZW,Introductory Honors Seminar: Special Topics,2:00pm - 3:50pm,GIRV 1108,WELDEAB S,18 / 20,F,['n']
INT      89AA,First Year Discovery & Linked Seminars,1:00pm - 2:50pm,GIRV 2116,CASTILLO J L,40 / 40,W,['n']
INT      89AD,Freshman Seminars - Discovery & Linked,2:00pm - 3:50pm,GIRV 2129,CARLSON C A,38 / 40,F,['n']
INT      94FH,First Year Exploration Seminars,12:00pm - 12:50pm,ED   4205,SINGER G H S,20 / 20,T,['n']
INT      94JK,First Year Exploration Seminars,2:00pm - 4:20pm,HSSB 3202,MCCRACKEN E,18 / 20,T,['n']
INT      94JV,First Year Exploration Seminars,2:00pm - 2:50pm,HSSB 3201,COOPER D,23 / 20,T,['n']
INT      94NU,First Year Exploration Seminars,9:00 am - 10:50am,HSSB 3202,GARCIA M T,11 / 20,M,['n']
INT      94PO,First Year Exploration Seminars,4:00pm - 4:50pm,TD-W 1530,SCOTT V,19 / 20,W,['n']
INT      94QC,First Year Exploration Seminars,9:00 am - 9:50 am,GIRV 2110,NORRIS A,15 / 16,W,['n']
