Code,Title,Time,Location,Professor,Size,Days,Lecture
LING      2G,EMS: Intermediate Graduate Writing for International Students,11:00am - 12:50pm,GIRV 2108,RIGHTMIRE S R,10 / 15,M W,['y']
LING      3A,EMS:  Academic English,9:00 am - 10:50am,GIRV 2119,LASHMET A J,18 / 18,T R,['y']
LING      3A,EMS:  Academic English,9:00 am - 10:50am,GIRV 2123,ROBERTSON J L,15 / 18,M W,['y']
LING      3A,EMS:  Academic English,2:00pm - 3:50pm,HSSB 1236,ROBERTSON J L,18 / 18,M W,['y']
LING      3A,EMS:  Academic English,3:00pm - 4:50pm,HSSB 1224,LASHMET A J,17 / 18,M W,['y']
LING      3A,EMS:  Academic English,3:00pm - 4:50pm,SH   1609,SMALL A L,18 / 18,T R,['y']
LING      3A,EMS:  Academic English,12:00pm - 1:50pm,GIRV 2127,LASHMET A J,16 / 18,T R,['y']
LING      3A,EMS:  Academic English,11:00am - 12:50pm,NH   1109,SMALL A L,17 / 18,T R,['y']
LING      3B,EMS: Academic English,12:00pm - 1:50pm,NH   1111,BAKER A D,17 / 18,T R,['y']
LING      3B,EMS: Academic English,8:00 am - 9:50 am,GIRV 2127,BOWMAN I K,17 / 18,T R,['y']
LING      3B,EMS: Academic English,11:00am - 12:50pm,PHELP1508,NICOLAESCU A,15 / 18,M W,['y']
LING      3B,EMS: Academic English,1:00pm - 2:50pm,GIRV 2123,CORONA K D,18 / 18,T R,['y']
LING      3B,EMS: Academic English,8:00 am - 9:50 am,SH   1609,BAKER A D,18 / 18,M W,['y']
LING      3B,EMS: Academic English,10:00am - 11:50am,GIRV 2127,WESTMACOTT B,18 / 18,T R,['y']
LING      3B,EMS: Academic English,2:00pm - 3:50pm,HSSB 1233,RIGHTMIRE S R,17 / 18,M W,['y']
LING      3B,EMS: Academic English,5:00pm - 6:50pm,HSSB 1211,CORONA K D,18 / 18,M W,['y']
LING      3C,EMS: Academic English,2:00pm - 3:50pm,HSSB 1237,NICOLAESCU A,18 / 18,M W,['y']
LING      3C,EMS: Academic English,10:00am - 11:50am,NH   1109,WESTMACOTT B,13 / 18,M W,['y']
LING      3C,EMS: Academic English,3:00pm - 4:50pm,HSSB 1223,SMALL A L,18 / 18,M W,['y']
