Code,Title,Time,Location,Professor,Size,Days,Lecture
MATH      2B,Calculus with Algebra and Trigonometry,10:00am - 10:50am,BUCHN1930,GARFIELD P M,100 / 100,M W F,['y']
MATH      2B,Calculus with Algebra and Trigonometry,5:00pm - 5:50pm,PHELP3519,MERKL K E,25 / 25,T R,['y']
MATH      2B,Calculus with Algebra and Trigonometry,6:00pm - 6:50pm,ARTS 1356,MERKL K E,25 / 25,T R,['y']
MATH      2B,Calculus with Algebra and Trigonometry,5:00pm - 5:50pm,PHELP2536,PABLO S R,25 / 25,T R,['y']
MATH      2B,Calculus with Algebra and Trigonometry,6:00pm - 6:50pm,ARTS 1353,PABLO S R,25 / 25,T R,['y']
MATH      3A,"Calculus with Applications, First Course",3:30pm - 4:45pm,NH   1006,YANG XU,100 / 100,T R,['y']
MATH      3A,"Calculus with Applications, First Course",8:00 am - 8:50 am,HSSB 1232,KALAULI A K,25 / 25,W,['n']
MATH      3A,"Calculus with Applications, First Course",7:00pm - 7:50pm,HSSB 1228,REYES M A,25 / 25,W,['n']
MATH      3A,"Calculus with Applications, First Course",5:00pm - 5:50pm,GIRV 2120,KALAULI A K,25 / 25,W,['n']
MATH      3A,"Calculus with Applications, First Course",6:00pm - 6:50pm,HSSB 2251,REYES M A,25 / 25,W,['n']
MATH      3A,"Calculus with Applications, First Course",8:00 am - 8:50 am,HSSB 1215,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,R,['n']
MATH      3A,"Calculus with Applications, First Course",8:00 am - 9:15 am,NH   1006,KELZ J M,75 / 75,T R,['y']
MATH      3A,"Calculus with Applications, First Course",7:00pm - 7:50pm,HSSB 1228,HIGGINS V B,25 / 25,M,['n']
MATH      3A,"Calculus with Applications, First Course",6:00pm - 6:50pm,HSSB 1237,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,M,['n']
MATH      3A,"Calculus with Applications, First Course",5:00pm - 5:50pm,HSSB 1227,HIGGINS V B,25 / 25,M,['n']
MATH      3A,"Calculus with Applications, First Course",8:00 am - 8:50 am,HSSB 1224,HIGGINS V B,25 / 25,M,['n']
MATH      3A,"Calculus with Applications, First Course",4:00pm - 4:50pm,HSSB 1232,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",11:00am - 11:50am,LSB  1001,LOPEZ C,150 / 150,M W F,['y']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1214,LOPEZ C,25 / 25,R,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,HSSB 1215,GONZALES D M,25 / 25,R,['n']
MATH      3B,"Calculus with Applications, Second Course",6:00pm - 6:50pm,HSSB 1236,GONZALES D M,25 / 25,T,['n']
MATH      3B,"Calculus with Applications, Second Course",7:00pm - 7:50pm,LSB  1101,GONZALES D M,25 / 25,R,['n']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1214,GONZALES D M,25 / 25,T,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,HSSB 1228,GONZALES D M,25 / 25,T,['n']
MATH      3B,"Calculus with Applications, Second Course",11:00am - 12:15pm,IV   THEA1,LABUTIN D A,324 / 325,T R,['y']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1231,KIRBY G R,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,GIRV 2119,KIRBY G R,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",6:00pm - 6:50pm,HSSB 1237,KIRBY G R,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",7:00pm - 7:50pm,HSSB 1227,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1228,MARTINS RODRI,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,GIRV 2116,MARTINS RODRI,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",6:00pm - 6:50pm,HSSB 1236,MARTINS RODRI,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",4:00pm - 4:50pm,GIRV 2115,MARTINS RODRI,25 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1215,PARKER M,24 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,HSSB 1224,KIRBY G R,25 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",6:00pm - 6:50pm,HSSB 1236,PARKER M,25 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",7:00pm - 7:50pm,HSSB 1227,PARKER M,25 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1214,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,HSSB 1223,PARKER M,25 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",6:00pm - 6:50pm,HSSB 1233,KIRBY G R,25 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",7:00pm - 7:50pm,HSSB 1224,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,M,['n']
MATH      3B,"Calculus with Applications, Second Course",5:00pm - 5:50pm,GIRV 2115,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",6:00pm - 6:50pm,HSSB 1233,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",4:00pm - 4:50pm,GIRV 2112,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",8:00 am - 8:50 am,HSSB 1227,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,W,['n']
MATH      3B,"Calculus with Applications, Second Course",7:00pm - 7:50pm,HSSB 1224,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 25,W,['n']
MATH      4A,Linear Algebra with Applications,8:00 am - 9:15 am,IV   THEA1,PONCE G,475 / 475,T R,['y']
MATH      4A,Linear Algebra with Applications,8:00 am - 8:50 am,HSSB 1211,ROBERTS J A,25 / 25,M,['n']
MATH      4A,Linear Algebra with Applications,8:00 am - 8:50 am,HSSB 1207,BAGHERI A R,25 / 25,M,['n']
