Code,Title,Time,Location,Professor,Size,Days,Lecture
MATRL    10,"Materials in Society, The Stuff of Dreams",12:30pm - 1:45pm,PHELP1417,STEMMER S,28 / 28,T R,['y']
MATRL    10,"Materials in Society, The Stuff of Dreams",3:00pm - 3:50pm,HSSB 3202,Messages:,14 / 14,R,['n']
MATRL    10,"Materials in Society, The Stuff of Dreams",5:00pm - 5:50pm,GIRV 1106,Messages:,14 / 14,T,['n']
MATRL   100B,Structures and Properties II,2:00pm - 3:15pm,PHELP2536,GIANOLA D S,33 / 40,T R,['y']
MATRL   100B,Structures and Properties II,1:00pm - 1:50pm,ARTS 1353,Messages:,17 / 20,M,['n']
MATRL   100B,Structures and Properties II,4:00pm - 4:50pm,GIRV 1119,Messages:,16 / 20,W,['n']
MATRL   101,Introduction to the Structure and Properties of Materials,8:00 am - 9:15 am,BUCHN1920,BATES C M,120 / 138,T R,['y']
MATRL   101,Introduction to the Structure and Properties of Materials,6:00pm - 6:50pm,HSSB 4201,Messages:,22 / 23,M,['n']
MATRL   101,Introduction to the Structure and Properties of Materials,6:00pm - 6:50pm,PHELP1417,Messages:,9 / 23,M,['n']
MATRL   101,Introduction to the Structure and Properties of Materials,4:00pm - 4:50pm,HSSB 4201,Messages:,23 / 23,M,['n']
MATRL   101,Introduction to the Structure and Properties of Materials,4:00pm - 4:50pm,GIRV 2120,Messages:,20 / 23,R,['n']
MATRL   101,Introduction to the Structure and Properties of Materials,5:00pm - 5:50pm,HSSB 3202,Messages:,23 / 23,M,['n']
MATRL   101,Introduction to the Structure and Properties of Materials,4:00pm - 4:50pm,HSSB 3202,Messages:,23 / 23,M,['n']
MATRL   135,Biophysics and Biomolecular Materials,11:00am - 12:15pm,PHELP1417,SAFINYA C R,11 / 12,T R,['y']
MATRL   160,Introduction to Polymer Science,10:00am - 11:15am,ENGR21519,SEGALMAN R A,9 / 9,M W,['y']
MATRL   162B,Fundamentals of the Solid State,2:00pm - 3:15pm,PHELP2532,DENBAARS S P,0 / 8,M W,['y']
MATRL   162B,Fundamentals of the Solid State,6:00pm - 6:50pm,PHELP1417,"CROSS-LISTED COURSE, REFER TO CURRENT CATALOG.",0 / 8,W,['n']
MATRL   186A,Manufacturing and Materials,9:30 am - 10:45am,PHELP1417,LEVI C G,5 / 10,T R,['y']
