Code,Title,Time,Location,Professor,Size,Days,Lecture
MCDB      1B,Introductory Biology II--Physiology,12:00pm - 12:50pm,CAMPBHALL,NGUYEN A T,541 / 850,M W F,['y']
MCDB      1B,Introductory Biology II--Physiology,12:00pm - 12:50pm,BUCHN1910,WILTON M B,281 / 280,M W F,['y']
MCDB      1B,Introductory Biology II--Physiology,9:00 am - 9:50 am,BSIF 1217,WILTON M B,35 / 35,F,['n']
MCDB      1B,Introductory Biology II--Physiology,10:00am - 10:50am,BSIF 1217,WILTON M B,35 / 35,F,['n']
MCDB      1B,Introductory Biology II--Physiology,2:00pm - 2:50pm,BSIF 1217,WILTON M B,34 / 35,R,['n']
MCDB      1B,Introductory Biology II--Physiology,1:00pm - 1:50pm,BSIF 1217,WILTON M B,35 / 35,R,['n']
MCDB      1B,Introductory Biology II--Physiology,9:00 am - 9:50 am,BSIF 1217,ZIRRETTA L,35 / 35,R,['n']
MCDB      1B,Introductory Biology II--Physiology,10:00am - 10:50am,BSIF 1217,ZIRRETTA L,37 / 35,R,['n']
MCDB      1B,Introductory Biology II--Physiology,3:00pm - 3:50pm,BSIF 1217,ZIRRETTA L,35 / 35,W,['n']
MCDB      1B,Introductory Biology II--Physiology,4:00pm - 4:50pm,BSIF 1217,ZIRRETTA L,35 / 35,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2211,NGUYEN A T,9 / 10,T,['n']
MCDB      1BL,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2112,NGUYEN A T,9 / 10,T,['n']
MCDB      1BL,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2211,NGUYEN A T,10 / 10,T,['n']
MCDB      1BL,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2112,NGUYEN A T,10 / 10,T,['n']
MCDB      1BL,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2211,NGUYEN A T,10 / 10,T,['n']
MCDB      1BL,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2112,NGUYEN A T,9 / 10,T,['n']
MCDB      1BL,Introductory Biology Laboratory II,9:00 am - 11:50am,BSIF 2211,NGUYEN A T,8 / 10,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,9:00 am - 11:50am,BSIF 2112,NGUYEN A T,9 / 10,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2211,NGUYEN A T,8 / 10,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,1:00pm - 3:50pm,BSIF 2112,NGUYEN A T,10 / 10,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2211,NGUYEN A T,10 / 10,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,7:00pm - 9:50pm,BSIF 2112,NGUYEN A T,10 / 10,W,['n']
MCDB      1BL,Introductory Biology Laboratory II,8:00 am - 10:50am,BSIF 2211,NGUYEN A T,10 / 10,R,['n']
