Code,Title,Time,Location,Professor,Size,Days,Lecture
MUS       3B,Writing about Music,1:30pm - 2:50pm,MUSIC1145,HELLIER-TINOC,46 / 50,M W,['y']
MUS       3B,Writing about Music,9:00 am - 9:50 am,MUSIC2230,VANDERLINDEN,19 / 25,R,['n']
MUS       3B,Writing about Music,10:00am - 10:50am,MUSIC2230,VANDERLINDEN,27 / 25,R,['n']
MUS       4B,Musicianship,8:00 am - 8:50 am,MUSIC2230,HOCK M A,9 / 20,M W F,['y']
MUS       4B,Musicianship,8:00 am - 8:50 am,MUSIC1207,MURNANE E H,11 / 20,M W F,['y']
MUS       4B,Musicianship,8:00 am - 8:50 am,MUSIC2224,THOMPSON B L,6 / 20,M W F,['y']
MUS       4E,Musicianship,10:00am - 10:50am,MUSIC2230,HOCK M A,4 / 20,M W F,['y']
MUS       4E,Musicianship,10:00am - 10:50am,MUSIC1207,MURNANE E H,6 / 20,M W F,['y']
MUS       4E,Musicianship,10:00am - 10:50am,MUSIC2224,THOMPSON B L,4 / 20,M W F,['y']
MUS       5B,Theory of Western Art Music: Harmonic Practices and Analysis I,9:00 am - 9:50 am,MUSIC1145,JURKOWSKI N W,35 / 45,M W F,['y']
MUS       5B,Theory of Western Art Music: Harmonic Practices and Analysis I,9:00 am - 9:50 am,MUSIC2224,HAMBLETON E J,15 / 23,T,['n']
MUS       5B,Theory of Western Art Music: Harmonic Practices and Analysis I,10:00am - 10:50am,MUSIC2224,HAMBLETON E J,20 / 22,T,['n']
MUS       8,Class Composition,11:00am - 12:50pm,MUSIC1207,EVANS M P,10 / 10,W,['n']
MUS      10B,History of Western Music from Early Modern Culture through   Modernism,11:00am - 12:20pm,MUSIC1145,SPRIGGE M A,23 / 50,T R,['y']
MUS      10B,History of Western Music from Early Modern Culture through   Modernism,2:00pm - 2:50pm,MUSIC1207,FISCHER J P,17 / 25,T,['n']
MUS      10B,History of Western Music from Early Modern Culture through   Modernism,3:00pm - 3:50pm,MUSIC1207,FISCHER J P,6 / 25,T,['n']
MUS      11,Fundamentals of Music,11:00am - 11:50am,MUSIC1145,ZIGTERMAN K L,146 / 140,M W F,['y']
MUS      11,Fundamentals of Music,9:00 am - 9:50 am,MUSIC1232,BAUSCH T C,16 / 14,T,['n']
MUS      11,Fundamentals of Music,10:00am - 10:50am,MUSIC1232,BAUSCH T C,14 / 14,T,['n']
MUS      11,Fundamentals of Music,9:00 am - 9:50 am,MUSIC2224,CASSIDY T C,16 / 14,R,['n']
MUS      11,Fundamentals of Music,10:00am - 10:50am,MUSIC2224,CASSIDY T C,15 / 14,R,['n']
MUS      11,Fundamentals of Music,11:00am - 11:50am,MUSIC1213,CASSIDY T C,13 / 14,R,['n']
MUS      11,Fundamentals of Music,11:00am - 11:50am,MUSIC1232,BAUSCH T C,15 / 14,T,['n']
MUS      11,Fundamentals of Music,12:00pm - 12:50pm,MUSIC1232,BAUSCH T C,15 / 14,T,['n']
MUS      11,Fundamentals of Music,12:00pm - 12:50pm,MUSIC1213,CASSIDY T C,14 / 14,R,['n']
MUS      11,Fundamentals of Music,1:00pm - 1:50pm,MUSIC1213,YOON H,14 / 14,T,['n']
MUS      11,Fundamentals of Music,2:00pm - 2:50pm,MUSIC1213,YOON H,14 / 14,T,['n']
MUS      15,Music Appreciation,11:00am - 12:15pm,MUSICLLCH,O'CONNELL B A,449 / 450,T R,['y']
MUS      15,Music Appreciation,12:00pm - 12:50pm,MUSIC1213,MCBRIEN K M,30 / 30,M,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC1213,MCBRIEN K M,30 / 30,M,['n']
MUS      15,Music Appreciation,11:00am - 11:50am,MUSIC2224,LOMBARDINO M,30 / 30,W,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC1207,CLEMENTZ M C,30 / 30,F,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC1213,WHITEMAN M L,30 / 30,W,['n']
MUS      15,Music Appreciation,11:00am - 11:50am,MUSIC1213,MCBRIEN K M,30 / 30,M,['n']
MUS      15,Music Appreciation,10:00am - 10:50am,MUSIC2230,MICHAELS T W,30 / 30,T,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC1207,MICHAELS T W,30 / 30,R,['n']
MUS      15,Music Appreciation,10:00am - 10:50am,MUSIC1207,MICHAELS T W,29 / 30,R,['n']
MUS      15,Music Appreciation,11:00am - 11:50am,MUSIC1207,CLEMENTZ M C,30 / 30,F,['n']
MUS      15,Music Appreciation,12:00pm - 12:50pm,MUSIC2224,LOMBARDINO M,30 / 30,W,['n']
MUS      15,Music Appreciation,12:00pm - 12:50pm,MUSIC1207,CLEMENTZ M C,31 / 30,F,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC2224,WHITEMAN M L,30 / 30,M,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC2224,LOMBARDINO M,30 / 30,W,['n']
MUS      15,Music Appreciation,9:00 am - 9:50 am,MUSIC2230,WHITEMAN M L,29 / 30,T,['n']
MUS  CS  15,Music Colloquium,4:00pm - 5:50pm,CRST OLT,HOGAN L A,26 / 30,W,['n']
MUS      16,Listening to Jazz: Demystifying America’s Musical Art Form,11:00am - 12:15pm,PSYCH1902,NATHAN J S,60 / 60,T R,['y']
MUS      17,World Music,10:00am - 10:50am,MUSIC1145,JACK M Z,139 / 140,M W F,['y']
MUS      17,World Music,9:00 am - 9:50 am,MUSIC1207,THOMSON S B,24 / 24,M,['n']
MUS      17,World Music,11:00am - 11:50am,MUSIC1207,THOMSON S B,21 / 23,M,['n']
MUS      17,World Music,9:00 am - 9:50 am,MUSIC1207,KARVELAS B A,24 / 24,T,['n']
MUS      17,World Music,10:00am - 10:50am,MUSIC1207,KARVELAS B A,24 / 23,T,['n']
MUS      17,World Music,11:00am - 11:50am,MUSIC1207,WEISS K C,22 / 24,T,['n']
MUS      17,World Music,12:00pm - 12:50pm,MUSIC1207,WEISS K C,24 / 24,T,['n']
MUS      20A,Elementary Voice I,3:30pm - 4:45pm,MUSIC2224,MAYES B J,21 / 40,M W,['y']
MUS      20B,Elementary Voice II,9:30 am - 10:45am,MUSIC1213,NEWBERRY K S,10 / 30,T R,['y']
MUS      20C,Elementary Voice III,3:30pm - 4:45pm,MUSIC1207,MERER N H,10 / 20,M W,['y']
MUS      22D,Practicum in World Music Performance: Dastgah,5:00pm - 6:15pm,MUSIC1213,OSQUEEZADEH B,1 / 15,T,['n']
MUS      22P,Practicum in World Music Performance: Middle Eastern   percussion,7:00pm - 8:50pm,MUSIC2230,RUDNICKI S,12 / 12,M,['n']
MUS      25,Intermediate Voice,2:30pm - 4:00pm,MUSIC2236,BRECHER B H,4 / 10,W,['n']
MUS      28B,Intermediate Trombone,11:00am - 12:50pm,MUSIC2321,BOOTH W C,2 / 6,T,['n']
MUS      31B,Class Piano,10:00am - 10:50am,MUSIC1232,YU P,12 / 12,M W F,['y']
