Code,Title,Time,Location,Professor,Size,Days,Lecture
PHIL      1,Short Introduction to Philosophy,9:00 am - 9:50 am,IV   THEA1,BAGWELL J N,180 / 180,M W F,['y']
PHIL      1,Short Introduction to Philosophy,7:00pm - 7:50pm,GIRV 2124,HANSCHMANN J,30 / 30,T,['n']
PHIL      1,Short Introduction to Philosophy,5:00pm - 5:50pm,GIRV 2112,COLLINS J T,30 / 30,W,['n']
PHIL      1,Short Introduction to Philosophy,6:00pm - 6:50pm,GIRV 2108,COLLINS J T,30 / 30,W,['n']
PHIL      1,Short Introduction to Philosophy,4:00pm - 4:50pm,PHELP1445,HANSCHMANN J,30 / 30,M,['n']
PHIL      1,Short Introduction to Philosophy,3:00pm - 3:50pm,GIRV 2115,NORTON P R,30 / 30,M,['n']
PHIL      1,Short Introduction to Philosophy,4:00pm - 4:50pm,GIRV 2115,NORTON P R,30 / 30,M,['n']
PHIL      3,Critical Thinking,9:30 am - 10:45am,CHEM 1179,BARNES D B,233 / 240,T R,['y']
PHIL      3,Critical Thinking,9:00 am - 9:50 am,PHELP1508,COSTIGAN T J,31 / 30,W,['n']
PHIL      3,Critical Thinking,2:00pm - 2:50pm,GIRV 2119,MOKRISKI D A,30 / 30,F,['n']
PHIL      3,Critical Thinking,2:00pm - 2:50pm,PHELP1444,BRITTON C J,27 / 30,F,['n']
PHIL      3,Critical Thinking,7:00pm - 7:50pm,GIRV 2108,COSTIGAN T J,29 / 30,T,['n']
PHIL      3,Critical Thinking,6:00pm - 6:50pm,GIRV 2123,BRITTON C J,26 / 30,W,['n']
PHIL      3,Critical Thinking,3:00pm - 3:50pm,GIRV 2119,MOKRISKI D A,28 / 30,F,['n']
PHIL      3,Critical Thinking,7:00pm - 7:50pm,GIRV 2108,BRITTON C J,28 / 30,W,['n']
PHIL      3,Critical Thinking,5:00pm - 5:50pm,GIRV 1116,COSTIGAN T J,34 / 30,T,['n']
PHIL      4,Introduction to Ethics,11:00am - 11:50am,MUSICLLCH,ZIMMERMAN A Z,300 / 300,M W F,['y']
PHIL      4,Introduction to Ethics,9:00 am - 9:50 am,GIRV 2115,ABNEY D P,30 / 30,T,['n']
PHIL      4,Introduction to Ethics,5:00pm - 5:50pm,387  1015,ABNEY D P,29 / 30,T,['n']
PHIL      4,Introduction to Ethics,2:00pm - 2:50pm,PHELP1445,KING D A,32 / 30,F,['n']
PHIL      4,Introduction to Ethics,8:00 am - 8:50 am,387  1011,ABNEY D P,30 / 30,T,['n']
PHIL      4,Introduction to Ethics,1:00pm - 1:50pm,387  1015,LEBRUN A S,31 / 30,T,['n']
PHIL      4,Introduction to Ethics,3:00pm - 3:50pm,GIRV 2115,KING D A,30 / 30,T,['n']
PHIL      4,Introduction to Ethics,9:00 am - 9:50 am,GIRV 1116,KYLER B E,30 / 30,W,['n']
PHIL      4,Introduction to Ethics,4:00pm - 4:50pm,GIRV 2123,LEBRUN A S,29 / 30,M,['n']
PHIL      4,Introduction to Ethics,3:00pm - 3:50pm,PHELP1445,KING D A,31 / 30,F,['n']
PHIL      4,Introduction to Ethics,8:00 am - 8:50 am,387  1015,KYLER B E,28 / 30,W,['n']
PHIL     20B,History of Philosophy,10:00am - 10:50am,GIRV 1004,ZYLSTRA S J,120 / 120,M W F,['y']
PHIL     20B,History of Philosophy,9:00 am - 9:50 am,NH   1109,ZAHN S E,30 / 30,R,['n']
PHIL     20B,History of Philosophy,4:00pm - 4:50pm,GIRV 2124,ZAHN S E,30 / 30,M,['n']
PHIL     20B,History of Philosophy,5:00pm - 5:50pm,PHELP1444,JOSEPHSON M A,30 / 30,M,['n']
PHIL     20B,History of Philosophy,6:00pm - 6:50pm,PHELP1445,JOSEPHSON M A,30 / 30,M,['n']
PHIL    100A,Ethics,12:30pm - 1:45pm,BUCHN1940,HANSER M F,128 / 120,T R,['y']
PHIL    100A,Ethics,7:00pm - 7:50pm,NH   1111,PIERCE S G,33 / 30,T,['n']
PHIL    100A,Ethics,10:00am - 10:50am,SH   5617,MAINWARING T,32 / 30,W,['n']
PHIL    100A,Ethics,8:00 am - 8:50 am,GIRV 2112,PIERCE S G,32 / 30,R,['n']
PHIL    100A,Ethics,7:00pm - 7:50pm,NH   1111,MAINWARING T,31 / 30,W,['n']
PHIL    100D,Philosophy of Mind,11:00am - 12:15pm,PHELP1160,FALVEY K T,65 / 60,T R,['y']
PHIL    100D,Philosophy of Mind,7:00pm - 7:50pm,GIRV 2129,BATOON A B,33 / 30,T,['n']
PHIL    100D,Philosophy of Mind,7:00pm - 7:50pm,GIRV 2123,BATOON A B,32 / 30,W,['n']
PHIL    100E,Metaphysics,5:00pm - 6:15pm,TD-W 2600,STORY D E,60 / 60,M W,['y']
PHIL    100E,Metaphysics,7:00pm - 7:50pm,GIRV 2120,TROXEL S A,30 / 30,M,['n']
PHIL    100E,Metaphysics,7:00pm - 7:50pm,GIRV 2120,TROXEL S A,30 / 30,T,['n']
PHIL    116,Meaning and Reference,2:00pm - 3:15pm,387  1015,ROBERTSON T,8 / 35,M W,['y']
PHIL    124D,Philosophy of Quantum Mechanics,9:30 am - 10:45am,GIRV 2129,HUMPHREY S F,34 / 35,T R,['y']
PHIL    131,Advanced Topics in Applied Ethics.,12:30pm - 1:45pm,GIRV 1115,ZYLSTRA S J,33 / 35,M W,['y']
PHIL    144,Advanced Topics in the Philosophy of Law,5:00pm - 6:15pm,GIRV 2129,HANSER M F,38 / 35,T R,['y']
PHIL    145,Punishment and Responsibility,3:30pm - 4:45pm,GIRV 2119,JARRETT G C,42 / 35,T R,['y']
PHIL    150D,Advanced Topics in Philosophy of Mind,2:00pm - 3:15pm,387  1015,FALVEY K T,27 / 35,T R,['y']
PHIL    153,Aristotle,4:00pm - 6:20pm,GIRV 1116,MCKIRAHAN R D,35 / 35,R,['n']
PHIL    173,Frege,12:30pm - 1:45pm,GIRV 2116,SALMON N U,11 / 35,M   F,['y']
PHIL    176,Historical Philosophers,2:00pm - 3:15pm,GIRV 2129,ZIMMERMAN A Z,35 / 35,M W,['y']
PHIL    183,Beginning Modern Logic,2:00pm - 3:15pm,SH   1431,SALMON N U,90 / 90,M   F,['y']
PHIL    183,Beginning Modern Logic,8:00pm - 8:50pm,GIRV 2124,DICKEY K M,32 / 30,M,['n']
PHIL    183,Beginning Modern Logic,8:00pm - 8:50pm,GIRV 2124,DICKEY K M,28 / 30,W,['n']
PHIL    183,Beginning Modern Logic,7:00pm - 7:50pm,GIRV 2120,DICKEY K M,30 / 30,R,['n']
