Code,Title,Time,Location,Professor,Size,Days,Lecture
PHYS      1,Basic Physics,12:30pm - 1:45pm,BRDA 1610,FREUND E G,291 / 286,M W,['y']
PHYS      1,Basic Physics,12:00pm - 1:50pm,PHELP2524,WANG SHANNON,51 / 48,F,['n']
PHYS      1,Basic Physics,3:00pm - 4:50pm,PHELP3523,HO S H,45 / 47,T,['n']
PHYS      1,Basic Physics,5:00pm - 6:50pm,PHELP3523,HO S H,51 / 48,T,['n']
PHYS      1,Basic Physics,2:00pm - 3:50pm,PHELP2524,WANG SHANNON,48 / 48,F,['n']
PHYS      1,Basic Physics,3:00pm - 4:50pm,ARTS 1356,WANG SHANNON,45 / 47,R,['n']
PHYS      1,Basic Physics,5:00pm - 6:50pm,ARTS 1349,WANG SHANNON,51 / 48,R,['n']
PHYS      1,Basic Physics,3:30pm - 4:45pm,BRDA 1610,FREUND E G,285 / 286,T R,['y']
PHYS      1,Basic Physics,2:00pm - 3:50pm,NH   1109,ALLWRIGHT G,50 / 48,M,['n']
PHYS      1,Basic Physics,4:00pm - 5:50pm,NH   1109,ALLWRIGHT G,48 / 48,M,['n']
PHYS      1,Basic Physics,5:00pm - 6:50pm,ARTS 1349,PERKINS J N,45 / 47,W,['n']
PHYS      1,Basic Physics,1:00pm - 2:50pm,GIRV 1112,PERKINS J N,48 / 48,F,['n']
PHYS      1,Basic Physics,3:00pm - 4:50pm,GIRV 1112,PERKINS J N,49 / 48,F,['n']
PHYS      1,Basic Physics,5:00pm - 6:50pm,GIRV 1112,PERKINS J N,45 / 47,F,['n']
PHYS      1,Basic Physics,12:30pm - 1:45pm,BRDA 1640,NELSON H,100 / 94,T R,['y']
PHYS      1,Basic Physics,9:00 am - 10:50am,ARTS 1353,MCCUNE A D,51 / 48,M,['n']
PHYS      1,Basic Physics,4:00pm - 5:50pm,GIRV 2127,MCCUNE A D,49 / 46,M,['n']
PHYS      3,Basic Physics,8:00 am - 9:15 am,BRDA 1640,GIESSINGER E,93 / 94,T R,['y']
