Code,Title,Time,Location,Professor,Size,Days,Lecture
RG ST     1,Introduction to the Study of Religion,11:00am - 12:15pm,PSYCH1924,HILLIS G A,126 / 120,M W,['y']
RG ST     1,Introduction to the Study of Religion,8:00 am - 8:50 am,HSSB 4202,VEECK S,15 / 15,T,['n']
RG ST     1,Introduction to the Study of Religion,8:00 am - 8:50 am,HSSB 3001E,VEECK S,15 / 15,M,['n']
RG ST     1,Introduction to the Study of Religion,8:00 am - 8:50 am,BUCHN1934,LAMBELET P G,17 / 15,W,['n']
RG ST     1,Introduction to the Study of Religion,9:00 am - 9:50 am,HSSB 3001E,VEECK S,15 / 15,M,['n']
RG ST     1,Introduction to the Study of Religion,10:00am - 10:50am,HSSB 3001E,VEECK S,14 / 15,M,['n']
RG ST     1,Introduction to the Study of Religion,12:00pm - 12:50pm,HSSB 3041,LAMBELET P G,16 / 15,R,['n']
RG ST     1,Introduction to the Study of Religion,1:00pm - 1:50pm,HSSB 3041,LAMBELET P G,15 / 15,R,['n']
RG ST     1,Introduction to the Study of Religion,2:00pm - 2:50pm,HSSB 3001E,LAMBELET P G,19 / 15,R,['n']
RG ST     4,Introduction to Buddhism,11:00am - 12:15pm,LSB  1001,HILLIS G A,62 / 60,T R,['y']
RG ST     4,Introduction to Buddhism,8:00 am - 8:50 am,HSSB 2252,XU T,8 / 8,W,['n']
RG ST     4,Introduction to Buddhism,9:00 am - 9:50 am,HSSB 2252,XU T,7 / 7,W,['n']
RG ST     4,Introduction to Buddhism,10:00am - 10:50am,HSSB 2252,DUOER D,9 / 8,W,['n']
RG ST     4,Introduction to Buddhism,1:00pm - 1:50pm,HSSB 2252,XU T,6 / 7,R,['n']
RG ST     4,Introduction to Buddhism,2:00pm - 2:50pm,HSSB 2252,XU T,8 / 8,R,['n']
RG ST     4,Introduction to Buddhism,8:00 am - 8:50 am,HSSB 1233,DUOER D,7 / 7,F,['n']
RG ST     4,Introduction to Buddhism,9:00 am - 9:50 am,HSSB 3041,DUOER D,8 / 8,F,['n']
RG ST     4,Introduction to Buddhism,10:00am - 10:50am,HSSB 3041,DUOER D,9 / 7,F,['n']
RG ST     5,"Introduction to Judaism, Christianity, and Islam",12:30pm - 1:45pm,PHELP2516,AMIHAY A,64 / 60,M W,['y']
RG ST     5,"Introduction to Judaism, Christianity, and Islam",9:00 am - 9:50 am,HSSB 3001E,HU S B,17 / 15,W,['n']
RG ST     5,"Introduction to Judaism, Christianity, and Islam",10:00am - 10:50am,HSSB 3001E,HU S B,17 / 15,W,['n']
RG ST     5,"Introduction to Judaism, Christianity, and Islam",2:00pm - 2:50pm,HSSB 4202,HU S B,15 / 15,R,['n']
RG ST     5,"Introduction to Judaism, Christianity, and Islam",3:00pm - 3:50pm,HSSB 3001E,HU S B,15 / 15,R,['n']
RG ST     7,Introduction to American Religion,9:00 am - 9:50 am,BUCHN1920,WALKER D S,104 / 120,M W F,['y']
RG ST     7,Introduction to American Religion,8:00 am - 8:50 am,GIRV 1106,KING S L,15 / 15,T,['n']
RG ST     7,Introduction to American Religion,9:00 am - 9:50 am,HSSB 2252,KING S L,12 / 15,T,['n']
RG ST     7,Introduction to American Religion,10:00am - 10:50am,HSSB 4041,KING S L,12 / 15,T,['n']
RG ST     7,Introduction to American Religion,10:00am - 10:50am,HSSB 2202,KING S L,12 / 15,R,['n']
RG ST     7,Introduction to American Religion,11:00am - 11:50am,HSSB 3001E,KNIGHT K T,13 / 15,F,['n']
RG ST     7,Introduction to American Religion,12:00pm - 12:50pm,GIRV 2135,KNIGHT K T,13 / 15,R,['n']
RG ST     7,Introduction to American Religion,1:00pm - 1:50pm,HSSB 3201,KNIGHT K T,13 / 15,R,['n']
RG ST     7,Introduction to American Religion,10:00am - 10:50am,GIRV 1106,KNIGHT K T,14 / 15,F,['n']
RG ST    10B,Elementary Arabic II,11:00am - 11:50am,HSSB 3041,CAMPO M,18 / 35,MTWR,['y']
RG ST    10B,Elementary Arabic II,8:00 am - 8:50 am,HSSB 3041,THONNART M M,7 / 15,M,['n']
RG ST    10B,Elementary Arabic II,8:00 am - 8:50 am,HSSB 3041,THONNART M M,11 / 15,W,['n']
RG ST    10B,Elementary Arabic II,1:00pm - 1:50pm,HSSB 3001E,CAMPO M,13 / 30,MTWR,['y']
RG ST    10B,Elementary Arabic II,9:00 am - 9:50 am,HSSB 3001E,ABURQAYEQ G M,7 / 13,F,['n']
RG ST    10B,Elementary Arabic II,10:00am - 10:50am,HSSB 3001E,ABURQAYEQ G M,6 / 13,F,['n']
RG ST    10E,Intermediate Arabic V,9:00 am - 9:50 am,HSSB 3041,CAMPO M,15 / 35,MTWR,['y']
RG ST    10E,Intermediate Arabic V,10:00am - 10:50am,HSSB 4041,TUNC E,12 / 15,R,['n']
RG ST    10E,Intermediate Arabic V,11:00am - 11:50am,HSSB 4041,TUNC E,3 / 15,R,['n']
RG ST    11B,Elementary Hindi II,9:30 am - 10:45am,HSSB 3001E,FOWLER D S,11 / 20,T R,['y']
RG ST    12,Religious Approaches to Death,12:30pm - 1:45pm,IV   THEA1,WHITE D G,476 / 480,M W,['y']
RG ST    12,Religious Approaches to Death,8:00 am - 8:50 am,HSSB 2202,APPLEWHITE C,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,9:00 am - 9:50 am,GIRV 1106,APPLEWHITE C,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,10:00am - 10:50am,ELLSN2816,VYAS M M,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,4:00pm - 4:50pm,GIRV 1106,VYAS M M,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,8:00 am - 8:50 am,HSSB 3202,EVANS M M,15 / 15,T,['n']
RG ST    12,Religious Approaches to Death,5:00pm - 5:50pm,GIRV 1106,EVANS M M,16 / 15,M,['n']
RG ST    12,Religious Approaches to Death,6:00pm - 6:50pm,GIRV 2135,EVANS M M,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,7:00pm - 7:50pm,GIRV 2135,VYAS M M,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,3:00pm - 3:50pm,HSSB 2202,ROSE D J,15 / 15,T,['n']
RG ST    12,Religious Approaches to Death,4:00pm - 4:50pm,HSSB 4202,ROSE D J,15 / 15,T,['n']
RG ST    12,Religious Approaches to Death,8:00 am - 8:50 am,HSSB 4201,APPLEWHITE C,15 / 15,W,['n']
RG ST    12,Religious Approaches to Death,8:00pm - 8:50pm,GIRV 2135,VYAS M M,15 / 15,M,['n']
RG ST    12,Religious Approaches to Death,10:00am - 10:50am,GIRV 2110,APPLEWHITE C,15 / 15,W,['n']
RG ST    12,Religious Approaches to Death,5:00pm - 5:50pm,GIRV 2110,ROSE D J,15 / 15,T,['n']
